"","colour","ymin","lower","middle","upper","ymax","notchupper","notchlower","x","flipped_aes","PANEL","group","ymin_final","ymax_final","xmin","xmax","weight","fill","alpha","shape","linetype","linewidth"
"1","#440154FF",16.08,17.55,19.02,20.48,21.94,21.6927853361865,16.3472146638135,0.75,FALSE,"1",1,16.08,21.94,0.6375,0.8625,1,"white",NA,19,"solid",0.5
"2","#21908CFF",16.58,18.38,20.18,22.95,25.72,24.3488153537106,16.0111846462894,1,FALSE,"1",2,16.58,25.72,0.8875,1.1125,1,"white",NA,19,"solid",0.5
"3","#CC9900",16.81,17.39,17.97,23.21,28.45,23.2790821353601,12.6609178646399,1.25,FALSE,"1",3,16.81,28.45,1.1375,1.3625,1,"white",NA,19,"solid",0.5
"4","#440154FF",11.82,12.07,12.32,12.595,12.87,12.7989120482928,11.8410879517072,1.75,FALSE,"1",4,11.82,12.87,1.6375,1.8625,1,"white",NA,19,"solid",0.5
"5","#21908CFF",12.05,13.885,15.72,15.785,15.85,17.4532055081073,13.9867944918927,2,FALSE,"1",5,12.05,15.85,1.8875,2.1125,1,"white",NA,19,"solid",0.5
"6","#CC9900",13.33,14.325,15.32,16.475,17.63,17.2812588644372,13.3587411355628,2.25,FALSE,"1",6,13.33,17.63,2.1375,2.3625,1,"white",NA,19,"solid",0.5
"7","#440154FF",4.3,4.69,5.08,5.465,5.85,5.7869654046227,4.3730345953773,2.75,FALSE,"1",7,4.3,5.85,2.6375,2.8625,1,"white",NA,19,"solid",0.5
"8","#21908CFF",4.57,5.165,5.76,6.345,6.93,6.83641184187714,4.68358815812286,3,FALSE,"1",8,4.57,6.93,2.8875,3.1125,1,"white",NA,19,"solid",0.5
"9","#CC9900",4.89,5.535,6.18,6.29,6.4,6.8687211361163,5.4912788638837,3.25,FALSE,"1",9,4.89,6.4,3.1375,3.3625,1,"white",NA,19,"solid",0.5
"10","#440154FF",13.44,13.91,14.38,15.79,17.2,16.0949612396009,12.6650387603991,3.75,FALSE,"1",10,13.44,17.2,3.6375,3.8625,1,"white",NA,19,"solid",0.5
"11","#21908CFF",3.76,6.55,9.34,14.39,19.44,16.4917532545057,2.18824674549427,4,FALSE,"1",11,3.76,19.44,3.8875,4.1125,1,"white",NA,19,"solid",0.5
"12","#CC9900",2.56,5.915,9.27,11.68,14.09,14.5289103969675,4.01108960303245,4.25,FALSE,"1",12,2.56,14.09,4.1375,4.3625,1,"white",NA,19,"solid",0.5
"13","#440154FF",7.14,7.17,7.2,7.28,7.36,7.30034347678516,7.09965652321484,4.75,FALSE,"1",13,7.14,7.36,4.6375,4.8625,1,"white",NA,19,"solid",0.5
"14","#21908CFF",6.39,6.71,7.03,7.785,8.54,8.01062943221858,6.04937056778142,5,FALSE,"1",14,6.39,8.54,4.8875,5.1125,1,"white",NA,19,"solid",0.5
"15","#CC9900",4.98,5.91,6.84,7.225,7.61,8.03956065429528,5.64043934570472,5.25,FALSE,"1",15,4.98,7.61,5.1375,5.3625,1,"white",NA,19,"solid",0.5
