"","colour","ymin","lower","middle","upper","ymax","notchupper","notchlower","x","flipped_aes","PANEL","group","ymin_final","ymax_final","xmin","xmax","weight","fill","alpha","shape","linetype","linewidth"
"1","#440154FF",0.0335416400969264,0.0442247102329025,0.0549077803688785,0.0559203731963768,0.0569329660238751,0.0655767211421731,0.0442388395955839,0.75,FALSE,"1",1,0.0335416400969264,0.0569329660238751,0.6375,0.8625,1,"white",NA,19,"solid",0.5
"2","#21908CFF",0.0392416225749559,0.0484290595438208,0.0576164965126857,0.0633430212001345,0.0690695458875834,0.071221212560277,0.0440117804650945,1,FALSE,"1",2,0.0392416225749559,0.0690695458875834,0.8875,1.1125,1,"white",NA,19,"solid",0.5
"3","#FDE725FF",0.029368932038835,0.0309246234997324,0.0324803149606299,0.0336293674995828,0.0347784200385356,0.0349476187493461,0.0300130111719138,1.25,FALSE,"1",3,0.029368932038835,0.0347784200385356,1.1375,1.3625,1,"white",NA,19,"solid",0.5
"4","#440154FF",0.347404667771968,0.365047604776709,0.382690541781451,0.403185423530115,0.423680305278779,0.417480372060713,0.347900711502188,1.75,FALSE,"1",4,0.347404667771968,0.423680305278779,1.6375,1.8625,1,"white",NA,19,"solid",0.5
"5","#21908CFF",0.350793650793651,0.400230105803304,0.449666560812956,0.469046360362002,0.488426159911048,0.512441672101613,0.3868914495243,2,FALSE,"1",5,0.350793650793651,0.488426159911048,1.8875,2.1125,1,"white",NA,19,"solid",0.5
"6","#FDE725FF",0.374507874015748,0.392897140891369,0.41128640776699,0.456654764577137,0.502023121387283,0.469446968059623,0.353125847474358,2.25,FALSE,"1",6,0.374507874015748,0.502023121387283,2.1375,2.3625,1,"white",NA,19,"solid",0.5
"7","#440154FF",0.0714194618033414,0.0716965869542465,0.0719737121051516,0.0727751939772774,0.0735766758494031,0.0729576319122043,0.0709897922980988,2.75,FALSE,"1",7,0.0714194618033414,0.0735766758494031,2.6375,2.8625,1,"white",NA,19,"solid",0.5
"8","#21908CFF",0.0638835540281007,0.0671116722188773,0.0703397904096539,0.0778506712189363,0.0853615520282187,0.0801360494720015,0.0605435313473062,3,FALSE,"1",8,0.0638835540281007,0.0853615520282187,2.8875,3.1125,1,"white",NA,19,"solid",0.5
"9","#FDE725FF",0.0498073217726397,0.0591064167918317,0.0684055118110236,0.0722488724103662,0.0760922330097087,0.0803942362679179,0.0564167873541293,3.25,FALSE,"1",9,0.0498073217726397,0.0760922330097087,3.1375,3.3625,1,"white",NA,19,"solid",0.5
"10","#440154FF",0.0457918168327327,0.045967533760719,0.0461432506887052,0.0573147065839904,0.0684861624792756,0.0564942940775153,0.0357922072998952,3.75,FALSE,"1",10,0.0457918168327327,0.0684861624792756,3.6375,3.8625,1,"white",NA,19,"solid",0.5
"11","#21908CFF",0.0920927278501111,0.0940181452301702,0.0959435626102293,0.101191229399727,0.106438896189225,0.102486946290647,0.089400178929812,4,FALSE,"1",11,0.0920927278501111,0.106438896189225,3.8875,4.1125,1,"white",NA,19,"solid",0.5
"12","#FDE725FF",0.090255905511811,0.0925749662433814,0.0948940269749518,0.114862062031165,0.134830097087379,0.115224614963952,0.0745634389859513,4.25,FALSE,"1",12,0.090255905511811,0.134830097087379,4.1375,4.3625,1,"white",NA,19,"solid",0.5
"13","#440154FF",0.200869196523214,0.217916232788696,0.234963269054178,0.252158333927676,0.269353398801173,0.266199373424307,0.203727164684049,4.75,FALSE,"1",13,0.200869196523214,0.269353398801173,4.6375,4.8625,1,"white",NA,19,"solid",0.5
"14","#21908CFF",0.147348364560178,0.158582703456678,0.169817042353179,0.171548732816801,0.173280423280423,0.181644828408571,0.157989256297787,5,FALSE,"1",14,0.147348364560178,0.173280423280423,4.8875,5.1125,1,"white",NA,19,"solid",0.5
"15","#FDE725FF",0.202669902912621,0.219395975078358,0.236122047244094,0.236750811675997,0.2373795761079,0.251953362182689,0.2202907323055,5.25,FALSE,"1",15,0.202669902912621,0.2373795761079,5.1375,5.3625,1,"white",NA,19,"solid",0.5
"16","#440154FF",0.0248692768779492,0.0261615835311943,0.0274538901844393,0.0298541259921278,0.0322543617998163,0.0308222769908656,0.024085503378013,5.75,FALSE,"1",16,0.0248692768779492,0.0322543617998163,5.6375,5.8625,1,"white",NA,19,"solid",0.5
"17","#21908CFF",0.0294532627865961,0.0298901753755146,0.0303270879644332,0.0319430850718759,0.0335590821793187,0.0321997797504227,0.0284543961784436,6,FALSE,"1",17,0.0294532627865961,0.0335590821793187,5.8875,6.1125,1,"white",NA,19,"solid",0.5
"18","#FDE725FF",0.0303149606299213,0.0319686556521475,0.0336223506743738,0.0354398161138859,0.0372572815533981,0.0367887898490102,0.0304559114997374,6.25,FALSE,"1",18,0.0303149606299213,0.0372572815533981,6.1375,6.3625,1,"white",NA,19,"solid",0.5
"19","#440154FF",0.173438934802571,0.174381116754688,0.175323298706805,0.180124345438086,0.184925392169366,0.180562349016481,0.170084248397129,6.75,FALSE,"1",19,0.173438934802571,0.184925392169366,6.6375,6.8625,1,"white",NA,19,"solid",0.5
"20","#21908CFF",0.0802587688264429,0.110707345670764,0.141155922515084,0.183540924220505,0.225925925925926,0.207595690682229,0.0747161543479397,7,FALSE,"1",20,0.0802587688264429,0.225925925925926,6.8875,7.1125,1,"white",NA,19,"solid",0.5
"21","#FDE725FF",0.047495183044316,0.077995164337692,0.108495145631068,0.13820426572892,0.167913385826772,0.163418696246576,0.0535715950155604,7.25,FALSE,"1",21,0.047495183044316,0.167913385826772,7.1375,7.3625,1,"white",NA,19,"solid",0.5
