"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0045296","cadherin binding",60,3,0.08,2,8.1e-05,8.1e-05,0.05,"Cdh20, Ctnna3, Ptprt"
"2","MF","GO:0050839","cell adhesion molecule binding",218,6,0.31,1,0.00092,4.6e-07,0.0275229357798165,"Thy1, Lrrc4c, Cdh20, Ctnna3, Tenm3, Ptprt"
"3","MF","GO:0005096","GTPase activator activity",226,3,0.32,5,0.00384,0.00384,0.0132743362831858,"Thy1, Asap1, Rgs6"
"4","MF","GO:0008013","beta-catenin binding",83,2,0.12,7,0.00609,0.00609,0.0240963855421687,"Ctnna3, Ptprt"
"5","MF","GO:0005488","binding",10842,22,15.36,4,0.00865,0.00114,0.002029145914038,"Thy1, Ttr, Lrrc4c, Pcdh15, Tshz2, Dpp10, Vsnl1, Gria4, Pdzrn3, Car10, Cit, Asap1, Cdh20, Meis2, Elmo1, Pde4b, Rgs6, Sgcz, Ctnna3, Tenm3, Ptprt, Tox"
"6","MF","GO:0005515","protein binding",7694,19,10.9,3,0.01185,0.00056,0.00246945671952171,"Thy1, Ttr, Lrrc4c, Pcdh15, Tshz2, Dpp10, Gria4, Pdzrn3, Cit, Asap1, Cdh20, Meis2, Elmo1, Pde4b, Rgs6, Sgcz, Ctnna3, Tenm3, Ptprt"
"7","MF","GO:0017124","SH3 domain binding",123,2,0.17,10,0.01298,0.01298,0.016260162601626,"Cit, Elmo1"
"8","MF","GO:0044325","ion channel binding",129,2,0.18,11,0.0142,0.0142,0.0155038759689922,"Dpp10, Pde4b"
"9","MF","GO:0030552","cAMP binding",21,1,0.03,13,0.02934,0.02934,0.0476190476190476,"Pde4b"
"10","MF","GO:0005509","calcium ion binding",519,3,0.74,14,0.03576,0.03576,0.00578034682080925,"Pcdh15, Vsnl1, Cdh20"
"11","MF","GO:0008092","cytoskeletal protein binding",901,4,1.28,15,0.03588,0.03588,0.00443951165371809,"Cdh20, Pde4b, Ctnna3, Ptprt"
"12","MF","GO:0008066","glutamate receptor activity",26,1,0.04,16,0.03621,0.03621,0.0384615384615385,"Gria4"
"13","MF","GO:0043015","gamma-tubulin binding",28,1,0.04,17,0.03894,0.03894,0.0357142857142857,"Pde4b"
"14","MF","GO:0004114","3',5'-cyclic-nucleotide phosphodiesteras...",28,1,0.04,18,0.03894,0.03894,0.0357142857142857,"Pde4b"
"15","MF","GO:0098632","cell-cell adhesion mediator activity",28,1,0.04,19,0.03894,0.03894,0.0357142857142857,"Lrrc4c"
"16","MF","GO:0004112","cyclic-nucleotide phosphodiesterase acti...",29,1,0.04,20,0.0403,0.0403,0.0344827586206897,"Pde4b"
