"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005178","integrin binding",120,2,0.04,2,0.00073,0.00073,0.0166666666666667,"Thy1, Fgf1"
"2","MF","GO:0048018","receptor ligand activity",330,2,0.12,3,0.00539,0.00539,0.00606060606060606,"Ttr, Fgf1"
"3","MF","GO:0005104","fibroblast growth factor receptor bindin...",22,1,0.01,5,0.00777,0.00777,0.0454545454545455,"Fgf1"
"4","MF","GO:0030544","Hsp70 protein binding",44,1,0.02,8,0.01549,0.01549,0.0227272727272727,"Fgf1"
"5","MF","GO:0005245","voltage-gated calcium channel activity",50,1,0.02,9,0.01759,0.01759,0.02,"Cnr1"
"6","MF","GO:0045296","cadherin binding",60,1,0.02,10,0.02107,0.02107,0.0166666666666667,"Cdh7"
"7","MF","GO:0050839","cell adhesion molecule binding",223,3,0.08,1,0.02428,4.4e-05,0.0134529147982063,"Thy1, Fgf1, Cdh7"
"8","MF","GO:0005179","hormone activity",82,1,0.03,11,0.02871,0.02871,0.0121951219512195,"Ttr"
"9","MF","GO:0042562","hormone binding",96,1,0.03,12,0.03354,0.03354,0.0104166666666667,"Ttr"
"10","MF","GO:0005262","calcium channel activity",117,1,0.04,13,0.04075,0.04075,0.00854700854700855,"Cnr1"
"11","MF","GO:0008083","growth factor activity",119,1,0.04,14,0.04143,0.04143,0.00840336134453781,"Fgf1"
"12","MF","GO:0031072","heat shock protein binding",131,1,0.05,16,0.04553,0.04553,0.00763358778625954,"Fgf1"
"13","MF","GO:0015085","calcium ion transmembrane transporter ac...",134,1,0.05,17,0.04655,0.04655,0.00746268656716418,"Cnr1"
"14","MF","GO:0022843","voltage-gated cation channel activity",137,1,0.05,18,0.04757,0.04757,0.0072992700729927,"Cnr1"
"15","MF","GO:0008201","heparin binding",137,1,0.05,19,0.04757,0.04757,0.0072992700729927,"Fgf1"
"16","MF","GO:0001085","RNA polymerase II transcription factor b...",141,1,0.05,20,0.04893,0.04893,0.00709219858156028,"Zfpm2"
"17","MF","GO:0003714","transcription corepressor activity",171,1,0.06,22,0.05908,0.05908,0.00584795321637427,"Zfpm2"
"18","MF","GO:0005539","glycosaminoglycan binding",184,1,0.07,23,0.06345,0.06345,0.00543478260869565,"Fgf1"
"19","MF","GO:0005244","voltage-gated ion channel activity",185,1,0.07,24,0.06379,0.06379,0.00540540540540541,"Cnr1"
"20","MF","GO:0022832","voltage-gated channel activity",185,1,0.07,25,0.06379,0.06379,0.00540540540540541,"Cnr1"
"21","MF","GO:0046983","protein dimerization activity",1247,2,0.44,26,0.06659,0.06659,0.00160384923817161,"Ttr, Cdh7"
"22","MF","GO:0043167","ion binding",5013,4,1.78,27,0.0673,0.0673,0.000797925393975663,"Thy1, Zfpm2, Fgf1, Cdh7"
"23","MF","GO:1901681","sulfur compound binding",224,1,0.08,28,0.07679,0.07679,0.00446428571428571,"Fgf1"
"24","MF","GO:0005096","GTPase activator activity",228,1,0.08,29,0.07812,0.07812,0.0043859649122807,"Thy1"
"25","MF","GO:0035091","phosphatidylinositol binding",239,1,0.08,31,0.08175,0.08175,0.00418410041841004,"Thy1"
"26","MF","GO:0030695","GTPase regulator activity",246,1,0.09,33,0.08406,0.08406,0.0040650406504065,"Thy1"
"27","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",283,1,0.1,34,0.09618,0.09618,0.00353356890459364,"Thy1"
"28","MF","GO:0005261","cation channel activity",296,1,0.1,35,0.1004,0.1004,0.00337837837837838,"Cnr1"
"29","MF","GO:0022839","ion gated channel activity",301,1,0.11,36,0.10202,0.10202,0.00332225913621262,"Cnr1"
"30","MF","GO:0022836","gated channel activity",313,1,0.11,37,0.1059,0.1059,0.00319488817891374,"Cnr1"
"31","BP","GO:0060977","coronary vasculature morphogenesis",30,2,0.01,1,4.5e-05,4.5e-05,0.0666666666666667,"Zfpm2, Fgf1"
"32","BP","GO:0001570","vasculogenesis",85,2,0.03,5,0.00037,0.00037,0.0235294117647059,"Zfpm2, Fgf1"
"33","BP","GO:0030324","lung development",191,2,0.07,14,0.00183,0.00183,0.0104712041884817,"Zfpm2, Fgf1"
"34","BP","GO:0070588","calcium ion transmembrane transport",266,2,0.09,27,0.00352,0.00352,0.0075187969924812,"Thy1, Cnr1"
"35","BP","GO:0007204","positive regulation of cytosolic calcium...",293,2,0.1,31,0.00426,0.00426,0.0068259385665529,"Thy1, Cnr1"
"36","BP","GO:0009914","hormone transport",330,2,0.12,37,0.00537,0.00537,0.00606060606060606,"Cnr1, Ttr"
"37","BP","GO:0010893","positive regulation of steroid biosynthe...",20,1,0.01,39,0.00705,0.00705,0.05,"Fgf1"
"38","BP","GO:2001026","regulation of endothelial cell chemotaxi...",21,1,0.01,40,0.0074,0.0074,0.0476190476190476,"Fgf1"
"39","BP","GO:0045922","negative regulation of fatty acid metabo...",21,1,0.01,41,0.0074,0.0074,0.0476190476190476,"Cnr1"
"40","BP","GO:0002438","acute inflammatory response to antigenic...",21,1,0.01,42,0.0074,0.0074,0.0476190476190476,"Cnr1"
"41","BP","GO:0001759","organ induction",21,1,0.01,43,0.0074,0.0074,0.0476190476190476,"Fgf1"
"42","BP","GO:0006144","purine nucleobase metabolic process",21,1,0.01,44,0.0074,0.0074,0.0476190476190476,"Ttr"
"43","BP","GO:0050995","negative regulation of lipid catabolic p...",21,1,0.01,45,0.0074,0.0074,0.0476190476190476,"Cnr1"
"44","BP","GO:0060219","camera-type eye photoreceptor cell diffe...",21,1,0.01,46,0.0074,0.0074,0.0476190476190476,"Thy1"
"45","BP","GO:0071900","regulation of protein serine/threonine k...",398,2,0.14,48,0.00773,0.00773,0.0050251256281407,"Thy1, Fgf1"
"46","BP","GO:0002693","positive regulation of cellular extravas...",22,1,0.01,50,0.00775,0.00775,0.0454545454545455,"Thy1"
"47","BP","GO:0003181","atrioventricular valve morphogenesis",23,1,0.01,51,0.0081,0.0081,0.0434782608695652,"Zfpm2"
"48","BP","GO:1905939","regulation of gonad development",23,1,0.01,52,0.0081,0.0081,0.0434782608695652,"Zfpm2"
"49","BP","GO:0007620","copulation",23,1,0.01,53,0.0081,0.0081,0.0434782608695652,"Cnr1"
"50","BP","GO:0050858","negative regulation of antigen receptor-...",23,1,0.01,54,0.0081,0.0081,0.0434782608695652,"Thy1"
"51","BP","GO:1902932","positive regulation of alcohol biosynthe...",24,1,0.01,57,0.00846,0.00846,0.0416666666666667,"Fgf1"
