"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0060977","coronary vasculature morphogenesis",30,2,0.01,1,4.5e-05,4.5e-05,0.0666666666666667,"Zfpm2, Fgf1"
"32","BP","GO:0001570","vasculogenesis",85,2,0.03,5,0.00037,0.00037,0.0235294117647059,"Zfpm2, Fgf1"
"33","BP","GO:0030324","lung development",191,2,0.07,14,0.00183,0.00183,0.0104712041884817,"Zfpm2, Fgf1"
"34","BP","GO:0070588","calcium ion transmembrane transport",266,2,0.09,27,0.00352,0.00352,0.0075187969924812,"Thy1, Cnr1"
"35","BP","GO:0007204","positive regulation of cytosolic calcium...",293,2,0.1,31,0.00426,0.00426,0.0068259385665529,"Thy1, Cnr1"
"36","BP","GO:0009914","hormone transport",330,2,0.12,37,0.00537,0.00537,0.00606060606060606,"Cnr1, Ttr"
"37","BP","GO:0010893","positive regulation of steroid biosynthe...",20,1,0.01,39,0.00705,0.00705,0.05,"Fgf1"
"38","BP","GO:2001026","regulation of endothelial cell chemotaxi...",21,1,0.01,40,0.0074,0.0074,0.0476190476190476,"Fgf1"
"39","BP","GO:0045922","negative regulation of fatty acid metabo...",21,1,0.01,41,0.0074,0.0074,0.0476190476190476,"Cnr1"
"40","BP","GO:0002438","acute inflammatory response to antigenic...",21,1,0.01,42,0.0074,0.0074,0.0476190476190476,"Cnr1"
"41","BP","GO:0001759","organ induction",21,1,0.01,43,0.0074,0.0074,0.0476190476190476,"Fgf1"
"42","BP","GO:0006144","purine nucleobase metabolic process",21,1,0.01,44,0.0074,0.0074,0.0476190476190476,"Ttr"
"43","BP","GO:0050995","negative regulation of lipid catabolic p...",21,1,0.01,45,0.0074,0.0074,0.0476190476190476,"Cnr1"
"44","BP","GO:0060219","camera-type eye photoreceptor cell diffe...",21,1,0.01,46,0.0074,0.0074,0.0476190476190476,"Thy1"
"45","BP","GO:0071900","regulation of protein serine/threonine k...",398,2,0.14,48,0.00773,0.00773,0.0050251256281407,"Thy1, Fgf1"
"46","BP","GO:0002693","positive regulation of cellular extravas...",22,1,0.01,50,0.00775,0.00775,0.0454545454545455,"Thy1"
"47","BP","GO:0003181","atrioventricular valve morphogenesis",23,1,0.01,51,0.0081,0.0081,0.0434782608695652,"Zfpm2"
"48","BP","GO:1905939","regulation of gonad development",23,1,0.01,52,0.0081,0.0081,0.0434782608695652,"Zfpm2"
"49","BP","GO:0007620","copulation",23,1,0.01,53,0.0081,0.0081,0.0434782608695652,"Cnr1"
"50","BP","GO:0050858","negative regulation of antigen receptor-...",23,1,0.01,54,0.0081,0.0081,0.0434782608695652,"Thy1"
"51","BP","GO:1902932","positive regulation of alcohol biosynthe...",24,1,0.01,57,0.00846,0.00846,0.0416666666666667,"Fgf1"
"52","BP","GO:0002861","regulation of inflammatory response to a...",24,1,0.01,58,0.00846,0.00846,0.0416666666666667,"Cnr1"
"53","BP","GO:0060045","positive regulation of cardiac muscle ce...",24,1,0.01,59,0.00846,0.00846,0.0416666666666667,"Zfpm2"
"54","BP","GO:0070050","neuron cellular homeostasis",25,1,0.01,62,0.00881,0.00881,0.04,"Cnr1"
"55","BP","GO:0051894","positive regulation of focal adhesion as...",25,1,0.01,63,0.00881,0.00881,0.04,"Thy1"
"56","BP","GO:0051354","negative regulation of oxidoreductase ac...",25,1,0.01,64,0.00881,0.00881,0.04,"Cnr1"
"57","BP","GO:0007413","axonal fasciculation",25,1,0.01,65,0.00881,0.00881,0.04,"Cnr1"
"58","BP","GO:0060038","cardiac muscle cell proliferation",54,2,0.02,2,0.00882,0.00015,0.037037037037037,"Zfpm2, Fgf1"
"59","BP","GO:0003148","outflow tract septum morphogenesis",26,1,0.01,71,0.00916,0.00916,0.0384615384615385,"Zfpm2"
"60","BP","GO:0001956","positive regulation of neurotransmitter ...",26,1,0.01,72,0.00916,0.00916,0.0384615384615385,"Cnr1"
