"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0043547","positive regulation of GTPase activity",186,12,2.87,123,3.2e-05,3.2e-05,0.0645161290322581,"Arhgap24, Ccl4, Ccl3, Thy1, Gnas, Asap1, Arap2, Tbc1d4, Srgap2, Dock10, Adap2, Bin1"
"32","BP","GO:0071398","cellular response to fatty acid",25,5,0.39,124,3.5e-05,3.5e-05,0.2,"Acaca, Lpl, Gnas, Ldlr, Pid1"
"34","BP","GO:0002833","positive regulation of response to bioti...",42,6,0.65,135,4.2e-05,4.2e-05,0.142857142857143,"Cd274, Il12b, Zc3hav1, Ly86, Cd180, Prkca"
"35","BP","GO:0030335","positive regulation of cell migration",459,26,7.08,34,8.6e-05,1.1e-08,0.0566448801742919,"Igf1, Hdac9, Myo5a, Nrp1, Hif1a, Tgfbr2, Flt1, Akt3, Ccl4, Csf1, Ptprc, Thy1, Gcnt2, Myo1f, Cd274, Bcl2, Anxa3, Gab2, Atp8a1, Dock4, Prkca, Numb, Fer, Camk2d, Pld1, Cass4"
"36","BP","GO:0043536","positive regulation of blood vessel endo...",49,6,0.76,175,1e-04,1e-04,0.122448979591837,"Igf1, Hdac9, Nrp1, Hif1a, Akt3, Prkca"
"37","BP","GO:0046578","regulation of Ras protein signal transdu...",212,12,3.27,183,0.00011,0.00011,0.0566037735849057,"Igf1, Arhgap24, Nrp1, Apoe, Csf1, Dgkz, Fgd2, Ophn1, Camk2d, Arhgef40, Cyth4, Dlc1"
"38","BP","GO:0043954","cellular component maintenance",52,6,0.8,191,0.00014,0.00014,0.115384615384615,"Cadm1, Apoe, Dgkz, Neat1, Ophn1, Mtss1"
"39","BP","GO:0050866","negative regulation of cell activation",173,13,2.67,82,0.00016,2.9e-06,0.0751445086705202,"Prkg1, Apoe, Serpine2, Cd9, Axl, Cd300lf, Cst7, Socs6, Cd274, Samsn1, Ldlr, Bank1, Fer"
"40","BP","GO:0046640","regulation of alpha-beta T cell prolifer...",34,5,0.52,198,0.00016,0.00016,0.147058823529412,"Tgfbr2, Ptprc, Cd274, Cd244a, Il12b"
"41","BP","GO:0032869","cellular response to insulin stimulus",159,10,2.45,206,0.00018,0.00018,0.0628930817610063,"Hdac9, Myo5a, Akt3, Cpeb2, Lpl, Tbc1d4, Prkca, Fer, Soga1, Pid1"
"42","BP","GO:0086004","regulation of cardiac muscle cell contra...",35,5,0.54,210,0.00019,0.00019,0.142857142857143,"Fgf13, Ctnna3, Kcnj2, Bin1, Pde4d"
"43","BP","GO:0090330","regulation of platelet aggregation",20,4,0.31,222,0.00022,0.00022,0.2,"Prkg1, Serpine2, Cd9, Prkca"
"44","BP","GO:0045822","negative regulation of heart contraction",22,4,0.34,247,0.00032,0.00032,0.181818181818182,"Prkg1, Prkca, Bin1, Pde4d"
"45","BP","GO:1902003","regulation of amyloid-beta formation",23,4,0.35,262,0.00039,0.00039,0.173913043478261,"Igf1, Apoe, Lrrtm3, Bin1"
"46","BP","GO:0036037","CD8-positive, alpha-beta T cell activati...",23,4,0.35,263,0.00039,0.00039,0.173913043478261,"Tnfsf8, Cd274, Bcl2, Cd244a"
"47","BP","GO:0098901","regulation of cardiac muscle cell action...",23,4,0.35,264,0.00039,0.00039,0.173913043478261,"Fgf13, Ctnna3, Camk2d, Bin1"
"49","BP","GO:0046464","acylglycerol catabolic process",24,4,0.37,284,0.00046,0.00046,0.166666666666667,"Apoe, Lpl, Ldlr, Abhd12"
"50","BP","GO:0045672","positive regulation of osteoclast differ...",24,4,0.37,285,0.00046,0.00046,0.166666666666667,"Ccl3, Csf1, Gnas, Il12b"
"51","BP","GO:0055094","response to lipoprotein particle",24,4,0.37,286,0.00046,0.00046,0.166666666666667,"Apoe, Cd9, Lpl, Ldlr"
"52","BP","GO:0045766","positive regulation of angiogenesis",147,9,2.27,289,0.00046,0.00046,0.0612244897959184,"Hdac9, Nrp1, Hif1a, Tgfbr2, Flt1, Akt3, Anxa3, Prkca, Cx3cr1"
"53","BP","GO:0030316","osteoclast differentiation",90,10,1.39,66,0.00049,1.2e-06,0.111111111111111,"Ccl3, Csf1, Cd300lf, Mitf, Gnas, Il12b, Gab2, Fam20c, Inpp4b, Sh3pxd2a"
"54","BP","GO:0086091","regulation of heart rate by cardiac cond...",26,4,0.4,306,0.00063,0.00063,0.153846153846154,"Ctnna3, Kcnj2, Cacnb2, Bin1"
"55","BP","GO:0030318","melanocyte differentiation",26,4,0.4,307,0.00063,0.00063,0.153846153846154,"Lrmda, Myo5a, Mitf, Bcl2"
"56","BP","GO:0032816","positive regulation of natural killer ce...",26,4,0.4,308,0.00063,0.00063,0.153846153846154,"Axl, Lyst, Cd244a, Il12b"
"57","BP","GO:0071402","cellular response to lipoprotein particl...",26,4,0.4,309,0.00063,0.00063,0.153846153846154,"Apoe, Cd9, Lpl, Ldlr"
"58","BP","GO:0050728","negative regulation of inflammatory resp...",123,8,1.9,310,0.00064,0.00064,0.0650406504065041,"Igf1, Apoe, Otulin, Abcd2, Cst7, Il12b, Ldlr, Cx3cr1"
"59","BP","GO:0002695","negative regulation of leukocyte activat...",154,9,2.38,311,0.00065,0.00065,0.0584415584415584,"Axl, Cd300lf, Cst7, Socs6, Cd274, Samsn1, Ldlr, Bank1, Fer"
