"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0019239","deaminase activity",21,1,0,1,0.0041,0.0041,0.0476190476190476,"Adarb2"
"2","MF","GO:0016814","hydrolase activity, acting on carbon-nit...",23,1,0,2,0.0045,0.0045,0.0434782608695652,"Adarb2"
"3","MF","GO:0005179","hormone activity",66,1,0.01,3,0.0128,0.0128,0.0151515151515152,"Ttr"
"4","MF","GO:0003725","double-stranded RNA binding",77,1,0.01,4,0.0149,0.0149,0.012987012987013,"Adarb2"
"5","MF","GO:0042562","hormone binding",82,1,0.02,5,0.0159,0.0159,0.0121951219512195,"Ttr"
"6","MF","GO:0046983","protein dimerization activity",1163,2,0.23,6,0.0162,0.0162,0.00171969045571797,"Ttr, Ebf1"
"7","MF","GO:0048018","receptor ligand activity",277,1,0.05,8,0.053,0.053,0.0036101083032491,"Ttr"
"8","MF","GO:0030545","receptor regulator activity",304,1,0.06,9,0.058,0.058,0.00328947368421053,"Ttr"
"9","MF","GO:0001228","DNA-binding transcription activator acti...",315,1,0.06,10,0.0601,0.0601,0.00317460317460317,"Ebf1"
"10","MF","GO:0003676","nucleic acid binding",2592,2,0.5,11,0.0753,0.0753,0.000771604938271605,"Adarb2, Ebf1"
"11","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",427,1,0.08,12,0.0808,0.0808,0.00234192037470726,"Ebf1"
"12","MF","GO:0000987","proximal promoter sequence-specific DNA ...",436,1,0.08,13,0.0825,0.0825,0.00229357798165138,"Ebf1"
"13","MF","GO:0046982","protein heterodimerization activity",464,1,0.09,14,0.0876,0.0876,0.0021551724137931,"Ttr"
"14","MF","GO:0046872","metal ion binding",2995,2,0.58,15,0.0986,0.0986,0.000667779632721202,"Adarb2, Ebf1"
"15","MF","GO:0000981","DNA-binding transcription factor activit...",545,1,0.11,16,0.1024,0.1024,0.0018348623853211,"Ebf1"
"16","MF","GO:0043169","cation binding",3069,2,0.6,17,0.1031,0.1031,0.00065167807103291,"Adarb2, Ebf1"
"17","MF","GO:0000977","RNA polymerase II regulatory region sequ...",613,1,0.12,18,0.1146,0.1146,0.00163132137030995,"Ebf1"
"18","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",621,1,0.12,19,0.1161,0.1161,0.00161030595813205,"Ebf1"
"19","MF","GO:0000976","transcription regulatory region sequence...",649,1,0.13,20,0.1211,0.1211,0.00154083204930663,"Ebf1"
