"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0051209","release of sequestered calcium ion into ...",97,2,0.04,1,0.00081,0.00081,0.0206185567010309,"Plce1, Thy1"
"32","BP","GO:0050870","positive regulation of T cell activation",135,2,0.06,10,0.00156,0.00156,0.0148148148148148,"Zbtb16, Thy1"
"33","BP","GO:0001822","kidney development",230,2,0.1,25,0.00445,0.00445,0.00869565217391304,"Zbtb16, Plce1"
"34","BP","GO:0043010","camera-type eye development",257,2,0.12,33,0.00552,0.00552,0.00778210116731518,"Thy1, Cryab"
"36","BP","GO:1904062","regulation of cation transmembrane trans...",299,2,0.14,45,0.00741,0.00741,0.00668896321070234,"Thy1, Kcnip3"
"37","BP","GO:0002693","positive regulation of cellular extravas...",20,1,0.01,51,0.00906,0.00906,0.05,"Thy1"
"38","BP","GO:0032462","regulation of protein homooligomerizatio...",20,1,0.01,52,0.00906,0.00906,0.05,"Cryab"
"39","BP","GO:0032959","inositol trisphosphate biosynthetic proc...",21,1,0.01,55,0.00952,0.00952,0.0476190476190476,"Plce1"
"40","BP","GO:0048266","behavioral response to pain",21,1,0.01,56,0.00952,0.00952,0.0476190476190476,"Kcnip3"
"41","BP","GO:0050858","negative regulation of antigen receptor-...",21,1,0.01,57,0.00952,0.00952,0.0476190476190476,"Thy1"
"42","BP","GO:0010959","regulation of metal ion transport",358,2,0.16,59,0.01049,0.01049,0.00558659217877095,"Thy1, Kcnip3"
"43","BP","GO:0061099","negative regulation of protein tyrosine ...",24,1,0.01,62,0.01087,0.01087,0.0416666666666667,"Thy1"
"44","BP","GO:0061036","positive regulation of cartilage develop...",24,1,0.01,63,0.01087,0.01087,0.0416666666666667,"Zbtb16"
"45","BP","GO:0051894","positive regulation of focal adhesion as...",25,1,0.01,65,0.01132,0.01132,0.04,"Thy1"
"46","BP","GO:0060561","apoptotic process involved in morphogene...",25,1,0.01,66,0.01132,0.01132,0.04,"Cryab"
"47","BP","GO:0071900","regulation of protein serine/threonine k...",374,2,0.17,69,0.01141,0.01141,0.0053475935828877,"Plce1, Thy1"
"48","BP","GO:0042462","eye photoreceptor cell development",27,1,0.01,76,0.01222,0.01222,0.037037037037037,"Thy1"
"49","BP","GO:0035116","embryonic hindlimb morphogenesis",28,1,0.01,80,0.01267,0.01267,0.0357142857142857,"Zbtb16"
"50","BP","GO:0071480","cellular response to gamma radiation",28,1,0.01,81,0.01267,0.01267,0.0357142857142857,"Cryab"
"51","BP","GO:0035136","forelimb morphogenesis",29,1,0.01,85,0.01312,0.01312,0.0344827586206897,"Zbtb16"
"52","BP","GO:1903393","positive regulation of adherens junction...",31,1,0.01,95,0.01402,0.01402,0.032258064516129,"Thy1"
"53","BP","GO:1901890","positive regulation of cell junction ass...",31,1,0.01,96,0.01402,0.01402,0.032258064516129,"Thy1"
"54","BP","GO:0051281","positive regulation of release of seques...",32,1,0.01,97,0.01447,0.01447,0.03125,"Thy1"
"55","BP","GO:1902742","apoptotic process involved in developmen...",32,1,0.01,98,0.01447,0.01447,0.03125,"Cryab"
"57","BP","GO:0070570","regulation of neuron projection regenera...",34,1,0.02,103,0.01537,0.01537,0.0294117647058824,"Thy1"
"58","BP","GO:0035137","hindlimb morphogenesis",34,1,0.02,104,0.01537,0.01537,0.0294117647058824,"Zbtb16"
"59","BP","GO:0046638","positive regulation of alpha-beta T cell...",34,1,0.02,105,0.01537,0.01537,0.0294117647058824,"Zbtb16"
