"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0015491","cation:cation antiporter activity",23,2,0.07,3,0.002,0.002,0.0869565217391304,"Slc8a1, Slc24a3"
"2","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",29,2,0.08,6,0.0031,0.0031,0.0689655172413793,"Spock1, Pttg1"
"3","MF","GO:0008270","zinc ion binding",545,6,1.57,8,0.0043,0.0043,0.0110091743119266,"Otud7a, Zfand4, Dtnb, Gli2, Adamts2, Dtna"
"4","MF","GO:0050840","extracellular matrix binding",44,2,0.13,10,0.0071,0.0071,0.0454545454545455,"Spock1, Spock3"
"5","MF","GO:0005518","collagen binding",59,2,0.17,13,0.0124,0.0124,0.0338983050847458,"Spock1, Spock3"
"6","MF","GO:0004620","phospholipase activity",65,2,0.19,14,0.0149,0.0149,0.0307692307692308,"Plcl1, Pnpla7"
"7","MF","GO:0050839","cell adhesion molecule binding",190,3,0.55,17,0.0171,0.0171,0.0157894736842105,"Tenm2, Cdh19, Shtn1"
"8","MF","GO:0016298","lipase activity",78,2,0.22,19,0.0211,0.0211,0.0256410256410256,"Plcl1, Pnpla7"
"9","MF","GO:0005488","binding",9667,35,27.78,9,0.0314,0.007,0.00362056480811007,"Ttr, Plcl1, Spock1, Otud7a, Mast4, Slc8a1, Elmo1, Tenm2, Hbb-bs, Ptprk, Ptgds, Zfand4, Hif3a, Enox1, Dtnb, Cdh19, Pcdh11x, Gli2, Slc25a13, Rhoj, Sgk3, Rnf220, Pttg1, Shtn1, Rcan2, Anks1b, Spock3, Gas7, Adamts2, Dtna, Ephb1, Mob3b, Samd4, Sytl2, Dcc"
"10","MF","GO:0015081","sodium ion transmembrane transporter act...",99,2,0.28,22,0.0328,0.0328,0.0202020202020202,"Slc8a1, Slc24a3"
"11","MF","GO:0005509","calcium ion binding",437,4,1.26,23,0.036,0.036,0.0091533180778032,"Spock1, Cdh19, Slc25a13, Spock3"
"12","MF","GO:0017124","SH3 domain binding",116,2,0.33,24,0.0437,0.0437,0.0172413793103448,"Elmo1, Pttg1"
"13","MF","GO:0015085","calcium ion transmembrane transporter ac...",118,2,0.34,25,0.0451,0.0451,0.0169491525423729,"Slc8a1, Slc24a3"
"14","MF","GO:0070530","K63-linked polyubiquitin modification-de...",20,1,0.06,27,0.056,0.056,0.05,"Otud7a"
"15","MF","GO:0019840","isoprenoid binding",21,1,0.06,28,0.0587,0.0587,0.0476190476190476,"Ptgds"
"16","MF","GO:0030371","translation repressor activity",23,1,0.07,29,0.0641,0.0641,0.0434782608695652,"Samd4"
"17","MF","GO:0044877","protein-containing complex binding",1033,6,2.97,30,0.0727,0.0727,0.00580832526621491,"Spock1, Pttg1, Shtn1, Spock3, Gas7, Ephb1"
"18","MF","GO:0005310","dicarboxylic acid transmembrane transpor...",28,1,0.08,31,0.0775,0.0775,0.0357142857142857,"Slc25a13"
"19","MF","GO:0046875","ephrin receptor binding",30,1,0.09,32,0.0828,0.0828,0.0333333333333333,"Anks1b"
"20","MF","GO:0051015","actin filament binding",168,2,0.48,34,0.0838,0.0838,0.0119047619047619,"Shtn1, Gas7"
"21","MF","GO:0005504","fatty acid binding",31,1,0.09,35,0.0854,0.0854,0.032258064516129,"Ptgds"
"22","MF","GO:0043167","ion binding",4418,20,12.69,12,0.0861,0.0122,0.00452693526482571,"Plcl1, Spock1, Otud7a, Mast4, Slc8a1, Ptgds, Zfand4, Dtnb, Cdh19, Gli2, Slc25a13, Rhoj, Sgk3, Rnf220, Spock3, Adamts2, Dtna, Ephb1, Mob3b, Sytl2"
"23","MF","GO:0005326","neurotransmitter transporter activity",33,1,0.09,36,0.0907,0.0907,0.0303030303030303,"Slc25a13"
"24","MF","GO:0004601","peroxidase activity",34,1,0.1,37,0.0933,0.0933,0.0294117647058824,"Hbb-bs"
"25","MF","GO:0016860","intramolecular oxidoreductase activity",38,1,0.11,38,0.1037,0.1037,0.0263157894736842,"Ptgds"
"26","MF","GO:0016684","oxidoreductase activity, acting on perox...",38,1,0.11,39,0.1037,0.1037,0.0263157894736842,"Hbb-bs"
"27","MF","GO:0015459","potassium channel regulator activity",38,1,0.11,40,0.1037,0.1037,0.0263157894736842,"Sgk3"
"28","MF","GO:0015179","L-amino acid transmembrane transporter a...",44,1,0.13,41,0.1191,0.1191,0.0227272727272727,"Slc25a13"
"29","MF","GO:0033293","monocarboxylic acid binding",45,1,0.13,42,0.1216,0.1216,0.0222222222222222,"Ptgds"
"30","MF","GO:1990841","promoter-specific chromatin binding",46,1,0.13,43,0.1242,0.1242,0.0217391304347826,"Gli2"
"31","BP","GO:0021952","central nervous system projection neuron...",26,3,0.07,1,4.2e-05,4.2e-05,0.115384615384615,"Gli2, Ephb1, Dcc"
"32","BP","GO:0007411","axon guidance",194,4,0.51,7,0.0017,0.0017,0.0206185567010309,"Tenm2, Gli2, Ephb1, Dcc"
"33","BP","GO:0051346","negative regulation of hydrolase activit...",261,4,0.69,16,0.0048,0.0048,0.0153256704980843,"Spock1, Pcdh11x, Spock3, Sytl2"
"34","BP","GO:0018209","peptidyl-serine modification",270,4,0.71,19,0.0054,0.0054,0.0148148148148148,"Plcl1, Mast4, Sgk3, Spock3"
"35","BP","GO:0019722","calcium-mediated signaling",146,3,0.39,25,0.0067,0.0067,0.0205479452054795,"Slc8a1, Tenm2, Rcan2"
"36","BP","GO:0001764","neuron migration",148,3,0.39,27,0.0069,0.0069,0.0202702702702703,"Spock1, Shtn1, Dcc"
"37","BP","GO:0021510","spinal cord development",59,2,0.16,29,0.0106,0.0106,0.0338983050847458,"Gli2, Dcc"
"38","BP","GO:0006979","response to oxidative stress",339,4,0.9,32,0.0119,0.0119,0.0117994100294985,"Slc8a1, Ptprk, Oxr1, Rcan2"
"39","BP","GO:0035556","intracellular signal transduction",2030,13,5.37,6,0.0125,0.0014,0.00640394088669951,"Plcl1, Otud7a, Mast4, Slc8a1, Elmo1, Tenm2, Rhoj, Sgk3, Shtn1, Rcan2, Ephb1, Mob3b, Dcc"
"40","BP","GO:0010923","negative regulation of phosphatase activ...",69,2,0.18,35,0.0143,0.0143,0.0289855072463768,"Pcdh11x, Sytl2"
"41","BP","GO:0050794","regulation of cellular process",7170,27,18.95,22,0.0149,0.0058,0.00376569037656904,"Plcl1, Spock1, Otud7a, Mast4, Slc8a1, Elmo1, Tenm2, Ptprk, Ptgds, Oxr1, Hif3a, Pcdh11x, Gli2, Rhoj, Sgk3, Rnf220, Pttg1, Shtn1, Rcan2, Anks1b, Spock3, Gas7, Ephb1, Mob3b, Samd4, Sytl2, Dcc"
"42","BP","GO:0007163","establishment or maintenance of cell pol...",197,3,0.52,36,0.015,0.015,0.0152284263959391,"Rhoj, Shtn1, Ephb1"
"43","BP","GO:0035305","negative regulation of dephosphorylation",82,2,0.22,40,0.0198,0.0198,0.024390243902439,"Pcdh11x, Sytl2"
"44","BP","GO:0099536","synaptic signaling",609,5,1.61,43,0.0211,0.0211,0.00821018062397373,"Plcl1, Tenm2, Anks1b, Ephb1, Dcc"
"45","BP","GO:0035295","tube development",841,6,2.22,44,0.0217,0.0217,0.00713436385255648,"Slc8a1, Hif3a, Gli2, Rhoj, Adamts2, Ephb1"
"46","BP","GO:0034599","cellular response to oxidative stress",229,3,0.61,45,0.0223,0.0223,0.0131004366812227,"Slc8a1, Ptprk, Oxr1"
"47","BP","GO:0007165","signal transduction",3589,17,9.49,23,0.0266,0.0059,0.00473669545834494,"Plcl1, Otud7a, Mast4, Slc8a1, Elmo1, Tenm2, Ptprk, Gli2, Rhoj, Sgk3, Rnf220, Shtn1, Rcan2, Anks1b, Ephb1, Mob3b, Dcc"
"48","BP","GO:0010951","negative regulation of endopeptidase act...",99,2,0.26,49,0.0281,0.0281,0.0202020202020202,"Spock1, Spock3"
"49","BP","GO:0018105","peptidyl-serine phosphorylation",251,3,0.66,50,0.0283,0.0283,0.0119521912350598,"Plcl1, Mast4, Sgk3"
"50","BP","GO:0007267","cell-cell signaling",1145,7,3.03,51,0.0283,0.0283,0.00611353711790393,"Plcl1, Tenm2, Gli2, Rnf220, Anks1b, Ephb1, Dcc"
"51","BP","GO:0010921","regulation of phosphatase activity",106,2,0.28,52,0.0319,0.0319,0.0188679245283019,"Pcdh11x, Sytl2"
"52","BP","GO:0050789","regulation of biological process",7621,27,20.14,38,0.0363,0.0163,0.00354284214669991,"Plcl1, Spock1, Otud7a, Mast4, Slc8a1, Elmo1, Tenm2, Ptprk, Ptgds, Oxr1, Hif3a, Pcdh11x, Gli2, Rhoj, Sgk3, Rnf220, Pttg1, Shtn1, Rcan2, Anks1b, Spock3, Gas7, Ephb1, Mob3b, Samd4, Sytl2, Dcc"
"53","BP","GO:0034332","adherens junction organization",116,2,0.31,56,0.0376,0.0376,0.0172413793103448,"Ptprk, Cdh19"
"54","BP","GO:0031589","cell-substrate adhesion",282,3,0.75,57,0.038,0.038,0.0106382978723404,"Spock1, Ptprk, Ephb1"
"55","BP","GO:0007155","cell adhesion",960,6,2.54,58,0.0384,0.0384,0.00625,"Spock1, Tenm2, Ptprk, Cdh19, Pcdh11x, Ephb1"
"56","BP","GO:0022610","biological adhesion",964,6,2.55,59,0.039,0.039,0.00622406639004149,"Spock1, Tenm2, Ptprk, Cdh19, Pcdh11x, Ephb1"
