"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0021952","central nervous system projection neuron...",26,3,0.07,1,4.2e-05,4.2e-05,0.115384615384615,"Gli2, Ephb1, Dcc"
"32","BP","GO:0007411","axon guidance",194,4,0.51,7,0.0017,0.0017,0.0206185567010309,"Tenm2, Gli2, Ephb1, Dcc"
"33","BP","GO:0051346","negative regulation of hydrolase activit...",261,4,0.69,16,0.0048,0.0048,0.0153256704980843,"Spock1, Pcdh11x, Spock3, Sytl2"
"34","BP","GO:0018209","peptidyl-serine modification",270,4,0.71,19,0.0054,0.0054,0.0148148148148148,"Plcl1, Mast4, Sgk3, Spock3"
"35","BP","GO:0019722","calcium-mediated signaling",146,3,0.39,25,0.0067,0.0067,0.0205479452054795,"Slc8a1, Tenm2, Rcan2"
"36","BP","GO:0001764","neuron migration",148,3,0.39,27,0.0069,0.0069,0.0202702702702703,"Spock1, Shtn1, Dcc"
"37","BP","GO:0021510","spinal cord development",59,2,0.16,29,0.0106,0.0106,0.0338983050847458,"Gli2, Dcc"
"38","BP","GO:0006979","response to oxidative stress",339,4,0.9,32,0.0119,0.0119,0.0117994100294985,"Slc8a1, Ptprk, Oxr1, Rcan2"
"40","BP","GO:0010923","negative regulation of phosphatase activ...",69,2,0.18,35,0.0143,0.0143,0.0289855072463768,"Pcdh11x, Sytl2"
"42","BP","GO:0007163","establishment or maintenance of cell pol...",197,3,0.52,36,0.015,0.015,0.0152284263959391,"Rhoj, Shtn1, Ephb1"
"43","BP","GO:0035305","negative regulation of dephosphorylation",82,2,0.22,40,0.0198,0.0198,0.024390243902439,"Pcdh11x, Sytl2"
"46","BP","GO:0034599","cellular response to oxidative stress",229,3,0.61,45,0.0223,0.0223,0.0131004366812227,"Slc8a1, Ptprk, Oxr1"
"48","BP","GO:0010951","negative regulation of endopeptidase act...",99,2,0.26,49,0.0281,0.0281,0.0202020202020202,"Spock1, Spock3"
"49","BP","GO:0018105","peptidyl-serine phosphorylation",251,3,0.66,50,0.0283,0.0283,0.0119521912350598,"Plcl1, Mast4, Sgk3"
"51","BP","GO:0010921","regulation of phosphatase activity",106,2,0.28,52,0.0319,0.0319,0.0188679245283019,"Pcdh11x, Sytl2"
"53","BP","GO:0034332","adherens junction organization",116,2,0.31,56,0.0376,0.0376,0.0172413793103448,"Ptprk, Cdh19"
"54","BP","GO:0031589","cell-substrate adhesion",282,3,0.75,57,0.038,0.038,0.0106382978723404,"Spock1, Ptprk, Ephb1"
"58","BP","GO:0034614","cellular response to reactive oxygen spe...",124,2,0.33,63,0.0424,0.0424,0.0161290322580645,"Slc8a1, Ptprk"
"59","BP","GO:0010466","negative regulation of peptidase activit...",127,2,0.34,64,0.0442,0.0442,0.015748031496063,"Spock1, Spock3"
"60","BP","GO:0030010","establishment of cell polarity",130,2,0.34,65,0.0461,0.0461,0.0153846153846154,"Shtn1, Ephb1"
