"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005178","integrin binding",108,2,0.04,2,0.00074,0.00074,0.0185185185185185,"Gfap, Thy1"
"2","MF","GO:0019900","kinase binding",741,3,0.29,3,0.00209,0.00209,0.00404858299595142,"Gfap, Thy1, Angpt1"
"3","MF","GO:0004114","3',5'-cyclic-nucleotide phosphodiesteras...",24,1,0.01,5,0.00948,0.00948,0.0416666666666667,"Pde10a"
"4","MF","GO:0030551","cyclic nucleotide binding",28,1,0.01,7,0.01105,0.01105,0.0357142857142857,"Pde10a"
"5","MF","GO:0005200","structural constituent of cytoskeleton",47,1,0.02,8,0.01849,0.01849,0.0212765957446809,"Gfap"
"6","MF","GO:0005179","hormone activity",56,1,0.02,9,0.022,0.022,0.0178571428571429,"Ttr"
"7","MF","GO:0019901","protein kinase binding",670,2,0.27,10,0.02606,0.02606,0.00298507462686567,"Thy1, Angpt1"
"8","MF","GO:0030971","receptor tyrosine kinase binding",67,1,0.03,11,0.02627,0.02627,0.0149253731343284,"Angpt1"
"9","MF","GO:0005102","signaling receptor binding",1208,4,0.48,1,0.02908,0.00053,0.0033112582781457,"Gfap, Thy1, Angpt1, Ttr"
"10","MF","GO:0042562","hormone binding",79,1,0.03,13,0.03092,0.03092,0.0126582278481013,"Ttr"
"11","MF","GO:1990782","protein tyrosine kinase binding",90,1,0.04,14,0.03516,0.03516,0.0111111111111111,"Angpt1"
"12","MF","GO:0036459","thiol-dependent ubiquitinyl hydrolase ac...",90,1,0.04,15,0.03516,0.03516,0.0111111111111111,"Usp53"
"13","MF","GO:0101005","ubiquitinyl hydrolase activity",91,1,0.04,16,0.03554,0.03554,0.010989010989011,"Usp53"
"14","MF","GO:0019783","ubiquitin-like protein-specific protease...",100,1,0.04,18,0.039,0.039,0.01,"Usp53"
"15","MF","GO:0070851","growth factor receptor binding",104,1,0.04,19,0.04053,0.04053,0.00961538461538462,"Angpt1"
"16","MF","GO:0008234","cysteine-type peptidase activity",147,1,0.06,20,0.05688,0.05688,0.00680272108843537,"Usp53"
"17","MF","GO:0005126","cytokine receptor binding",173,1,0.07,22,0.06666,0.06666,0.00578034682080925,"Angpt1"
"18","MF","GO:0005096","GTPase activator activity",215,1,0.09,23,0.08227,0.08227,0.00465116279069767,"Thy1"
"19","MF","GO:0098772","molecular function regulator",1279,2,0.51,24,0.08513,0.08513,0.00156372165754496,"Thy1, Ttr"
"20","MF","GO:0035091","phosphatidylinositol binding",225,1,0.09,25,0.08596,0.08596,0.00444444444444444,"Thy1"
