"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0031102","neuron projection regeneration",55,2,0.02,1,0.00019,0.00019,0.0363636363636364,"Gfap, Thy1"
"32","BP","GO:0010977","negative regulation of neuron projection...",163,2,0.06,3,0.00167,0.00167,0.0122699386503067,"Gfap, Thy1"
"34","BP","GO:0051402","neuron apoptotic process",260,2,0.1,10,0.00418,0.00418,0.00769230769230769,"Usp53, Angpt1"
"35","BP","GO:0060219","camera-type eye photoreceptor cell diffe...",20,1,0.01,18,0.00787,0.00787,0.05,"Thy1"
"36","BP","GO:0002719","negative regulation of cytokine producti...",20,1,0.01,19,0.00787,0.00787,0.05,"Angpt1"
"37","BP","GO:0002693","positive regulation of cellular extravas...",20,1,0.01,20,0.00787,0.00787,0.05,"Thy1"
"38","BP","GO:0061440","kidney vasculature development",20,1,0.01,21,0.00787,0.00787,0.05,"Angpt1"
"39","BP","GO:0046823","negative regulation of nucleocytoplasmic...",21,1,0.01,24,0.00826,0.00826,0.0476190476190476,"Angpt1"
"40","BP","GO:0050858","negative regulation of antigen receptor-...",21,1,0.01,25,0.00826,0.00826,0.0476190476190476,"Thy1"
"41","BP","GO:0006144","purine nucleobase metabolic process",21,1,0.01,26,0.00826,0.00826,0.0476190476190476,"Ttr"
"42","BP","GO:2000352","negative regulation of endothelial cell ...",24,1,0.01,28,0.00944,0.00944,0.0416666666666667,"Angpt1"
"43","BP","GO:0002092","positive regulation of receptor internal...",24,1,0.01,29,0.00944,0.00944,0.0416666666666667,"Angpt1"
"44","BP","GO:0061099","negative regulation of protein tyrosine ...",24,1,0.01,30,0.00944,0.00944,0.0416666666666667,"Thy1"
"45","BP","GO:0051894","positive regulation of focal adhesion as...",25,1,0.01,32,0.00983,0.00983,0.04,"Thy1"
"46","BP","GO:0043951","negative regulation of cAMP-mediated sig...",25,1,0.01,33,0.00983,0.00983,0.04,"Pde10a"
"47","BP","GO:0010737","protein kinase A signaling",27,1,0.01,36,0.01061,0.01061,0.037037037037037,"Pde10a"
"48","BP","GO:0001525","angiogenesis",426,2,0.17,38,0.01091,0.01091,0.00469483568075117,"Thy1, Angpt1"
"49","BP","GO:0043114","regulation of vascular permeability",28,1,0.01,40,0.011,0.011,0.0357142857142857,"Angpt1"
"50","BP","GO:0042462","eye photoreceptor cell development",28,1,0.01,41,0.011,0.011,0.0357142857142857,"Thy1"
"51","BP","GO:0060977","coronary vasculature morphogenesis",29,1,0.01,43,0.0114,0.0114,0.0344827586206897,"Angpt1"
"52","BP","GO:0019934","cGMP-mediated signaling",30,1,0.01,44,0.01179,0.01179,0.0333333333333333,"Pde10a"
"53","BP","GO:1900181","negative regulation of protein localizat...",30,1,0.01,45,0.01179,0.01179,0.0333333333333333,"Angpt1"
"54","BP","GO:0001523","retinoid metabolic process",30,1,0.01,46,0.01179,0.01179,0.0333333333333333,"Ttr"
"55","BP","GO:0030947","regulation of vascular endothelial growt...",30,1,0.01,47,0.01179,0.01179,0.0333333333333333,"Angpt1"
"56","BP","GO:0051281","positive regulation of release of seques...",31,1,0.01,49,0.01218,0.01218,0.032258064516129,"Thy1"
"57","BP","GO:0014002","astrocyte development",31,1,0.01,50,0.01218,0.01218,0.032258064516129,"Gfap"
"58","BP","GO:0016101","diterpenoid metabolic process",32,1,0.01,53,0.01257,0.01257,0.03125,"Ttr"
"59","BP","GO:0060251","regulation of glial cell proliferation",33,1,0.01,56,0.01296,0.01296,0.0303030303030303,"Gfap"
"60","BP","GO:0001569","branching involved in blood vessel morph...",34,1,0.01,57,0.01335,0.01335,0.0294117647058824,"Angpt1"
