"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0006144","purine nucleobase metabolic process",22,1,0,1,0.0014,0.0014,0.0454545454545455,"Ttr"
"32","BP","GO:0001523","retinoid metabolic process",35,1,0,2,0.0021,0.0021,0.0285714285714286,"Ttr"
"33","BP","GO:0034308","primary alcohol metabolic process",48,1,0,6,0.0029,0.0029,0.0208333333333333,"Ttr"
"34","BP","GO:0034754","cellular hormone metabolic process",73,1,0,8,0.0045,0.0045,0.0136986301369863,"Ttr"
"35","BP","GO:0009914","hormone transport",312,1,0.02,11,0.0192,0.0192,0.00320512820512821,"Ttr"
"46","BP","GO:0009112","nucleobase metabolic process",35,1,0,3,1,0.0021,0.0285714285714286,"Ttr"
"47","BP","GO:0042445","hormone metabolic process",162,1,0.01,9,1,0.01,0.00617283950617284,"Ttr"
"48","BP","GO:0006066","alcohol metabolic process",269,1,0.02,10,1,0.0165,0.00371747211895911,"Ttr"
"55","BP","GO:0016101","diterpenoid metabolic process",37,1,0,4,1,0.0023,0.027027027027027,"Ttr"
"57","BP","GO:1901615","organic hydroxy compound metabolic proce...",406,1,0.02,12,1,0.0249,0.00246305418719212,"Ttr"
"60","BP","GO:0006720","isoprenoid metabolic process",58,1,0,7,1,0.0036,0.0172413793103448,"Ttr"
