"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0043536","positive regulation of blood vessel endo...",49,6,0.16,7,9.2e-09,9.2e-09,0.122448979591837,"Igf1, Hdac9, Nrp1, Hif1a, Akt3, Prkca"
"32","BP","GO:0090330","regulation of platelet aggregation",20,4,0.06,44,4.1e-07,4.1e-07,0.2,"Prkg1, Serpine2, Cd9, Prkca"
"33","BP","GO:0046885","regulation of hormone biosynthetic proce...",28,4,0.09,68,1.7e-06,1.7e-06,0.142857142857143,"Cacna1a, Prkg1, Igf1, Hif1a"
"34","BP","GO:0030195","negative regulation of blood coagulation",33,4,0.1,82,3.4e-06,3.4e-06,0.121212121212121,"Prkg1, Apoe, Serpine2, Cd9"
"35","BP","GO:0048732","gland development",339,9,1.07,57,2.6e-05,9.7e-07,0.0265486725663717,"Cadm1, Igf1, Nrp1, Hif1a, Tgfbr2, Serpine2, Csf1, Arid5b, Cacnb4"
"36","BP","GO:1905562","regulation of vascular endothelial cell ...",20,3,0.06,124,3.3e-05,3.3e-05,0.15,"Igf1, Flt1, Akt3"
"37","BP","GO:1902003","regulation of amyloid-beta formation",23,3,0.07,133,5e-05,5e-05,0.130434782608696,"Igf1, Apoe, Lrrtm3"
"38","BP","GO:0071695","anatomical structure maturation",144,5,0.46,149,8.9e-05,8.9e-05,0.0347222222222222,"Cacna1a, Igf1, Xylt1, Myo5a, Hif1a"
"39","BP","GO:0060560","developmental growth involved in morphog...",239,6,0.76,155,1e-04,1e-04,0.0251046025104603,"Fgf13, Cadm1, Nrp1, Tgfbr2, Apoe, Csf1"
"40","BP","GO:0090049","regulation of cell migration involved in...",32,3,0.1,164,0.00014,0.00014,0.09375,"Hdac9, Nrp1, Akt3"
"41","BP","GO:0032869","cellular response to insulin stimulus",159,5,0.5,165,0.00014,0.00014,0.0314465408805031,"Hdac9, Myo5a, Akt3, Cpeb2, Prkca"
"42","BP","GO:0001569","branching involved in blood vessel morph...",34,3,0.11,169,0.00017,0.00017,0.0882352941176471,"Nrp1, Tgfbr2, Flt1"
"43","BP","GO:1903672","positive regulation of sprouting angioge...",34,3,0.11,170,0.00017,0.00017,0.0882352941176471,"Hdac9, Nrp1, Akt3"
"44","BP","GO:0070374","positive regulation of ERK1 and ERK2 cas...",168,5,0.53,176,0.00018,0.00018,0.0297619047619048,"Nrp1, Apoe, Flt1, Ccl4, Prkca"
"45","BP","GO:0050866","negative regulation of cell activation",173,5,0.55,181,0.00021,0.00021,0.0289017341040462,"Prkg1, Apoe, Serpine2, Cd9, Bank1"
"46","BP","GO:0048661","positive regulation of smooth muscle cel...",99,4,0.31,188,0.00027,0.00027,0.0404040404040404,"Igf1, Hif1a, Tgfbr2, Prkca"
"47","BP","GO:0010959","regulation of metal ion transport",341,8,1.08,100,0.00032,1e-05,0.0234604105571848,"Cacna1a, Prkg1, Igf1, Myo5a, Serpine2, Akt3, Ccl4, Cacnb4"
"48","BP","GO:0045766","positive regulation of angiogenesis",147,7,0.47,42,0.00035,3.7e-07,0.0476190476190476,"Hdac9, Nrp1, Hif1a, Tgfbr2, Flt1, Akt3, Prkca"
"49","BP","GO:0050921","positive regulation of chemotaxis",112,4,0.35,216,0.00043,0.00043,0.0357142857142857,"Nrp1, Ccl4, Csf1, Prkca"
"50","BP","GO:0006898","receptor-mediated endocytosis",205,5,0.65,221,0.00046,0.00046,0.024390243902439,"Tgfbr2, Apoe, Cd9, Ldlrad3, Prkca"
"51","BP","GO:0046578","regulation of Ras protein signal transdu...",212,5,0.67,230,0.00053,0.00053,0.0235849056603774,"Igf1, Arhgap24, Nrp1, Apoe, Csf1"
"52","BP","GO:0097305","response to alcohol",121,4,0.38,234,0.00057,0.00057,0.0330578512396694,"Acaca, Igf1, Tgfbr2, Prkca"
"53","BP","GO:0050728","negative regulation of inflammatory resp...",123,4,0.39,240,0.00061,0.00061,0.032520325203252,"Igf1, Apoe, Otulin, Abcd2"
"54","BP","GO:0050810","regulation of steroid biosynthetic proce...",53,3,0.17,244,0.00062,0.00062,0.0566037735849057,"Prkg1, Igf1, Apoe"
"55","BP","GO:0048844","artery morphogenesis",58,3,0.18,256,0.00081,0.00081,0.0517241379310345,"Nrp1, Apoe, Akt3"
"56","BP","GO:0048008","platelet-derived growth factor receptor ...",58,3,0.18,257,0.00081,0.00081,0.0517241379310345,"Myo1e, Nrp1, Arid5b"
"57","BP","GO:0050808","synapse organization",417,8,1.32,130,0.00084,4.4e-05,0.0191846522781775,"Cacna1a, Cadm1, Myo5a, Nrp1, Apoe, Cacnb4, Lrrtm3, Prkca"
"58","BP","GO:0042552","myelination",135,4,0.43,264,0.00086,0.00086,0.0296296296296296,"Igf1, Myo5a, Cd9, Abcd2"
