"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0046983","protein dimerization activity",1163,2,0.15,1,0.0057,0.0057,0.00171969045571797,"Ttr, Ebf1"
"2","MF","GO:0005179","hormone activity",66,1,0.01,2,0.0085,0.0085,0.0151515151515152,"Ttr"
"3","MF","GO:0042562","hormone binding",82,1,0.01,3,0.0106,0.0106,0.0121951219512195,"Ttr"
"4","MF","GO:0001228","DNA-binding transcription activator acti...",315,1,0.04,6,0.0405,0.0405,0.00317460317460317,"Ebf1"
"5","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",427,1,0.06,7,0.0546,0.0546,0.00234192037470726,"Ebf1"
"6","MF","GO:0000987","proximal promoter sequence-specific DNA ...",436,1,0.06,8,0.0558,0.0558,0.00229357798165138,"Ebf1"
"7","MF","GO:0046982","protein heterodimerization activity",464,1,0.06,9,0.0593,0.0593,0.0021551724137931,"Ttr"
"8","MF","GO:0000981","DNA-binding transcription factor activit...",545,1,0.07,10,0.0695,0.0695,0.0018348623853211,"Ebf1"
"9","MF","GO:0000977","RNA polymerase II regulatory region sequ...",613,1,0.08,11,0.078,0.078,0.00163132137030995,"Ebf1"
"10","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",621,1,0.08,12,0.079,0.079,0.00161030595813205,"Ebf1"
"11","MF","GO:0000976","transcription regulatory region sequence...",649,1,0.08,13,0.0824,0.0824,0.00154083204930663,"Ebf1"
"12","MF","GO:1990837","sequence-specific double-stranded DNA bi...",694,1,0.09,14,0.088,0.088,0.00144092219020173,"Ebf1"
"13","MF","GO:0019904","protein domain specific binding",714,1,0.09,15,0.0905,0.0905,0.00140056022408964,"Ebf1"
"14","MF","GO:0003700","DNA-binding transcription factor activit...",740,1,0.1,16,0.0937,0.0937,0.00135135135135135,"Ebf1"
"15","MF","GO:0044212","transcription regulatory region DNA bind...",743,1,0.1,17,0.0941,0.0941,0.00134589502018843,"Ebf1"
"16","MF","GO:0001067","regulatory region nucleic acid binding",747,1,0.1,18,0.0946,0.0946,0.00133868808567604,"Ebf1"
"17","MF","GO:0003690","double-stranded DNA binding",773,1,0.1,19,0.0978,0.0978,0.00129366106080207,"Ebf1"
"18","MF","GO:0043565","sequence-specific DNA binding",852,1,0.11,20,0.1075,0.1075,0.00117370892018779,"Ebf1"
"19","MF","GO:0140110","transcription regulator activity",1059,1,0.14,21,0.1327,0.1327,0.000944287063267233,"Ebf1"
"20","MF","GO:0042802","identical protein binding",1616,1,0.21,24,0.1987,0.1987,0.000618811881188119,"Ttr"
"21","MF","GO:0003677","DNA binding",1650,1,0.21,25,0.2026,0.2026,0.000606060606060606,"Ebf1"
"22","MF","GO:0003676","nucleic acid binding",2592,1,0.34,27,0.308,0.308,0.000385802469135802,"Ebf1"
"23","MF","GO:0046872","metal ion binding",2995,1,0.39,28,0.3509,0.3509,0.000333889816360601,"Ebf1"
"24","MF","GO:0043169","cation binding",3069,1,0.4,29,0.3586,0.3586,0.000325839035516455,"Ebf1"
"25","MF","GO:1901363","heterocyclic compound binding",4258,1,0.55,31,0.4762,0.4762,0.000234852043212776,"Ebf1"
"26","MF","GO:0097159","organic cyclic compound binding",4323,1,0.56,32,0.4823,0.4823,0.000231320842007865,"Ebf1"
"27","MF","GO:0043167","ion binding",4730,1,0.61,33,0.5196,0.5196,0.000211416490486258,"Ebf1"
"28","MF","GO:0098772","molecular function regulator",1314,1,0.17,23,1,0.1632,0.00076103500761035,"Ttr"
"29","MF","GO:0030545","receptor regulator activity",304,1,0.04,5,1,0.0391,0.00328947368421053,"Ttr"
"30","MF","GO:0005515","protein binding",7455,2,0.97,26,1,0.2339,0.000268276324614353,"Ttr, Ebf1"
"31","BP","GO:0006144","purine nucleobase metabolic process",20,1,0,1,0.0026,0.0026,0.05,"Ttr"
"32","BP","GO:0001523","retinoid metabolic process",27,1,0,2,0.0035,0.0035,0.037037037037037,"Ttr"
"33","BP","GO:0034308","primary alcohol metabolic process",43,1,0.01,6,0.0055,0.0055,0.0232558139534884,"Ttr"
"34","BP","GO:0034754","cellular hormone metabolic process",65,1,0.01,8,0.0084,0.0084,0.0153846153846154,"Ttr"
"35","BP","GO:0009914","hormone transport",294,1,0.04,11,0.0376,0.0376,0.00340136054421769,"Ttr"
"36","BP","GO:0045944","positive regulation of transcription by ...",974,1,0.13,22,0.1218,0.1218,0.00102669404517454,"Ebf1"
"37","BP","GO:0045893","positive regulation of transcription, DN...",1254,1,0.16,24,0.1554,0.1554,0.000797448165869219,"Ebf1"
"38","BP","GO:1903508","positive regulation of nucleic acid-temp...",1257,1,0.16,25,0.1557,0.1557,0.000795544948289578,"Ebf1"
"39","BP","GO:1902680","positive regulation of RNA biosynthetic ...",1258,1,0.16,26,0.1559,0.1559,0.000794912559618442,"Ebf1"
"40","BP","GO:0051254","positive regulation of RNA metabolic pro...",1340,1,0.17,27,0.1656,0.1656,0.000746268656716418,"Ebf1"
"41","BP","GO:0010557","positive regulation of macromolecule bio...",1481,1,0.19,29,0.1821,0.1821,0.000675219446320054,"Ebf1"
"42","BP","GO:0045935","positive regulation of nucleobase-contai...",1518,1,0.2,30,0.1864,0.1864,0.000658761528326746,"Ebf1"
"43","BP","GO:0031328","positive regulation of cellular biosynth...",1565,1,0.2,31,0.1919,0.1919,0.000638977635782748,"Ebf1"
"44","BP","GO:0006357","regulation of transcription by RNA polym...",1595,1,0.21,32,0.1954,0.1954,0.000626959247648903,"Ebf1"
"45","BP","GO:0009891","positive regulation of biosynthetic proc...",1595,1,0.21,33,0.1954,0.1954,0.000626959247648903,"Ebf1"
"46","BP","GO:0010628","positive regulation of gene expression",1624,1,0.21,34,0.1987,0.1987,0.00061576354679803,"Ebf1"
"47","BP","GO:0006366","transcription by RNA polymerase II",1648,1,0.21,35,0.2015,0.2015,0.000606796116504854,"Ebf1"
"48","BP","GO:0006139","nucleobase-containing compound metabolic...",4122,2,0.53,16,0.2652,0.0708,0.000485201358563804,"Ttr, Ebf1"
"49","BP","GO:0046483","heterocycle metabolic process",4220,2,0.54,17,0.2715,0.0742,0.0004739336492891,"Ttr, Ebf1"
"50","BP","GO:0006355","regulation of transcription, DNA-templat...",2285,1,0.3,40,0.2733,0.2733,0.000437636761487965,"Ebf1"
"51","BP","GO:1903506","regulation of nucleic acid-templated tra...",2290,1,0.3,41,0.2739,0.2739,0.000436681222707424,"Ebf1"
"52","BP","GO:2001141","regulation of RNA biosynthetic process",2298,1,0.3,42,0.2747,0.2747,0.000435161009573542,"Ebf1"
"53","BP","GO:0006725","cellular aromatic compound metabolic pro...",4273,2,0.55,18,0.275,0.0761,0.000468055230517201,"Ttr, Ebf1"
"54","BP","GO:0006351","transcription, DNA-templated",2377,1,0.31,43,0.2834,0.2834,0.000420698359276399,"Ebf1"
"55","BP","GO:1901360","organic cyclic compound metabolic proces...",4408,2,0.57,19,0.2837,0.081,0.000453720508166969,"Ttr, Ebf1"
"56","BP","GO:0097659","nucleic acid-templated transcription",2382,1,0.31,44,0.2839,0.2839,0.000419815281276238,"Ebf1"
"57","BP","GO:0032774","RNA biosynthetic process",2394,1,0.31,45,0.2853,0.2853,0.000417710944026733,"Ebf1"
"58","BP","GO:0051252","regulation of RNA metabolic process",2514,1,0.32,47,0.2983,0.2983,0.000397772474144789,"Ebf1"
"59","BP","GO:0051173","positive regulation of nitrogen compound...",2550,1,0.33,48,0.3022,0.3022,0.000392156862745098,"Ebf1"
"60","BP","GO:0034641","cellular nitrogen compound metabolic pro...",4744,2,0.61,20,0.3054,0.0938,0.000421585160202361,"Ttr, Ebf1"
"61","CC","GO:0005615","extracellular space",965,1,0.12,1,0.12,0.12,0.00103626943005181,"Ttr"
"62","CC","GO:0044421","extracellular region part",1164,1,0.15,2,0.14,0.14,0.000859106529209622,"Ttr"
"63","CC","GO:0005576","extracellular region",1491,1,0.19,3,0.18,0.18,0.000670690811535882,"Ttr"
"64","CC","GO:0032991","protein-containing complex",4642,1,0.59,4,0.5,0.5,0.0002154243860405,"Ttr"
"65","CC","GO:0005634","nucleus",5851,1,0.74,5,0.61,0.61,0.000170910955392241,"Ebf1"
"66","CC","GO:0043231","intracellular membrane-bounded organelle",8811,1,1.12,6,0.81,0.81,0.000113494495516967,"Ebf1"
"67","CC","GO:0043227","membrane-bounded organelle",9367,1,1.19,7,0.84,0.84,0.000106757766627522,"Ebf1"
"68","CC","GO:0043229","intracellular organelle",10173,1,1.29,8,0.88,0.88,9.82994200334218e-05,"Ebf1"
"69","CC","GO:0043226","organelle",10422,1,1.32,9,0.89,0.89,9.59508731529457e-05,"Ebf1"
"70","CC","GO:0005622","intracellular",11487,1,1.46,10,0.93,0.93,8.70549316618787e-05,"Ebf1"
"71","CC","GO:0044424","intracellular part",11487,1,1.46,11,0.93,0.93,8.70549316618787e-05,"Ebf1"
"72","CC","GO:0044464","cell part",12779,1,1.62,12,0.96,0.96,7.82533844588778e-05,"Ebf1"
"73","CC","GO:0005623","cell",12781,1,1.62,13,0.96,0.96,7.82411391909866e-05,"Ebf1"
"74","CC","GO:0005575","cellular_component",15736,2,2,14,1,1,0.00012709710218607,"Ttr, Ebf1"
"75","CC","GO:0000118","histone deacetylase complex",56,0,0.01,15,1,1,0,""
"76","CC","GO:0000123","histone acetyltransferase complex",80,0,0.01,16,1,1,0,""
"77","CC","GO:0000139","Golgi membrane",227,0,0.03,17,1,1,0,""
"78","CC","GO:0000151","ubiquitin ligase complex",267,0,0.03,18,1,1,0,""
"79","CC","GO:0000152","nuclear ubiquitin ligase complex",40,0,0.01,19,1,1,0,""
"80","CC","GO:0000178","exosome (RNase complex)",22,0,0,20,1,1,0,""
"81","CC","GO:0000228","nuclear chromosome",534,0,0.07,21,1,1,0,""
"82","CC","GO:0000242","pericentriolar material",21,0,0,22,1,1,0,""
"83","CC","GO:0000307","cyclin-dependent protein kinase holoenzy...",40,0,0.01,23,1,1,0,""
"84","CC","GO:0000313","organellar ribosome",89,0,0.01,24,1,1,0,""
"85","CC","GO:0000314","organellar small ribosomal subunit",29,0,0,25,1,1,0,""
"86","CC","GO:0000315","organellar large ribosomal subunit",58,0,0.01,26,1,1,0,""
"87","CC","GO:0000323","lytic vacuole",374,0,0.05,27,1,1,0,""
"88","CC","GO:0000407","phagophore assembly site",29,0,0,28,1,1,0,""
"89","CC","GO:0000428","DNA-directed RNA polymerase complex",96,0,0.01,29,1,1,0,""
"90","CC","GO:0000502","proteasome complex",64,0,0.01,30,1,1,0,""
