"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0046983","protein dimerization activity",1168,2,0.15,1,0.0058,0.0058,0.00171232876712329,"Zbtb16, Ttr"
"2","MF","GO:0005179","hormone activity",61,1,0.01,2,0.008,0.008,0.0163934426229508,"Ttr"
"3","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",67,1,0.01,3,0.0087,0.0087,0.0149253731343284,"Zbtb16"
"4","MF","GO:0042562","hormone binding",86,1,0.01,5,0.0112,0.0112,0.0116279069767442,"Ttr"
"5","MF","GO:0042802","identical protein binding",1623,2,0.21,6,0.0113,0.0113,0.00123228589032656,"Zbtb16, Ttr"
"6","MF","GO:0001227","DNA-binding transcription repressor acti...",184,1,0.02,8,0.0239,0.0239,0.00543478260869565,"Zbtb16"
"7","MF","GO:0008022","protein C-terminus binding",226,1,0.03,9,0.0293,0.0293,0.00442477876106195,"Zbtb16"
"8","MF","GO:0046982","protein heterodimerization activity",467,1,0.06,12,0.0601,0.0601,0.00214132762312634,"Ttr"
"9","MF","GO:0000981","DNA-binding transcription factor activit...",552,1,0.07,13,0.0709,0.0709,0.00181159420289855,"Zbtb16"
"10","MF","GO:0019904","protein domain specific binding",713,1,0.09,18,0.0911,0.0911,0.00140252454417952,"Zbtb16"
"11","MF","GO:0003700","DNA-binding transcription factor activit...",749,1,0.1,19,0.0956,0.0956,0.00133511348464619,"Zbtb16"
"12","MF","GO:0042803","protein homodimerization activity",796,1,0.1,23,0.1014,0.1014,0.00125628140703518,"Zbtb16"
"13","MF","GO:0140110","transcription regulator activity",1066,1,0.14,25,0.1346,0.1346,0.000938086303939962,"Zbtb16"
"14","MF","GO:0003690","double-stranded DNA binding",779,1,0.1,22,1,0.0993,0.00128369704749679,"Zbtb16"
"15","MF","GO:0001158","enhancer sequence-specific DNA binding",85,1,0.01,4,1,0.0111,0.0117647058823529,"Zbtb16"
"16","MF","GO:0043565","sequence-specific DNA binding",860,1,0.11,24,1,0.1093,0.00116279069767442,"Zbtb16"
"17","MF","GO:0030545","receptor regulator activity",281,1,0.04,11,1,0.0364,0.00355871886120996,"Ttr"
"18","MF","GO:0005488","binding",10401,2,1.36,31,1,0.4626,0.000192289202961254,"Zbtb16, Ttr"
"19","MF","GO:0044212","transcription regulatory region DNA bind...",750,1,0.1,20,1,0.0957,0.00133333333333333,"Zbtb16"
"20","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",627,1,0.08,15,1,0.0803,0.00159489633173844,"Zbtb16"
"21","MF","GO:0098772","molecular function regulator",1289,1,0.17,27,1,0.1615,0.000775795190069822,"Ttr"
"22","MF","GO:0003674","molecular_function",15292,2,2,34,1,1,0.000130787339785509,"Zbtb16, Ttr"
"23","MF","GO:0005515","protein binding",7406,2,0.97,29,1,0.2345,0.000270051309748852,"Zbtb16, Ttr"
