"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0006144","purine nucleobase metabolic process",20,1,0,1,0.0026,0.0026,0.05,"Ttr"
"32","BP","GO:0061036","positive regulation of cartilage develop...",23,1,0,2,0.003,0.003,0.0434782608695652,"Zbtb16"
"33","BP","GO:0035116","embryonic hindlimb morphogenesis",26,1,0,3,0.0034,0.0034,0.0384615384615385,"Zbtb16"
"34","BP","GO:0035136","forelimb morphogenesis",28,1,0,4,0.0036,0.0036,0.0357142857142857,"Zbtb16"
"35","BP","GO:0001523","retinoid metabolic process",30,1,0,5,0.0039,0.0039,0.0333333333333333,"Ttr"
"36","BP","GO:0046638","positive regulation of alpha-beta T cell...",37,1,0,10,0.0048,0.0048,0.027027027027027,"Zbtb16"
"37","BP","GO:0032330","regulation of chondrocyte differentiatio...",39,1,0.01,11,0.0051,0.0051,0.0256410256410256,"Zbtb16"
"38","BP","GO:0017145","stem cell division",44,1,0.01,12,0.0057,0.0057,0.0227272727272727,"Zbtb16"
"39","BP","GO:0034308","primary alcohol metabolic process",44,1,0.01,13,0.0057,0.0057,0.0227272727272727,"Ttr"
"40","BP","GO:0009880","embryonic pattern specification",52,1,0.01,16,0.0068,0.0068,0.0192307692307692,"Zbtb16"
"41","BP","GO:0045600","positive regulation of fat cell differen...",57,1,0.01,19,0.0074,0.0074,0.0175438596491228,"Zbtb16"
"42","BP","GO:0042733","embryonic digit morphogenesis",59,1,0.01,20,0.0077,0.0077,0.0169491525423729,"Zbtb16"
"43","BP","GO:0034754","cellular hormone metabolic process",69,1,0.01,21,0.009,0.009,0.0144927536231884,"Ttr"
"44","BP","GO:0045638","negative regulation of myeloid cell diff...",74,1,0.01,23,0.0096,0.0096,0.0135135135135135,"Zbtb16"
"45","BP","GO:0001823","mesonephros development",85,1,0.01,27,0.011,0.011,0.0117647058823529,"Zbtb16"
"46","BP","GO:0045778","positive regulation of ossification",87,1,0.01,28,0.0113,0.0113,0.0114942528735632,"Zbtb16"
"47","BP","GO:0009952","anterior/posterior pattern specification",153,1,0.02,42,0.0198,0.0198,0.0065359477124183,"Zbtb16"
"48","BP","GO:0030278","regulation of ossification",185,1,0.02,50,0.0239,0.0239,0.00540540540540541,"Zbtb16"
"49","BP","GO:0007281","germ cell development",222,1,0.03,57,0.0287,0.0287,0.0045045045045045,"Zbtb16"
"50","BP","GO:0001822","kidney development",231,1,0.03,59,0.0298,0.0298,0.00432900432900433,"Zbtb16"
"51","BP","GO:0034504","protein localization to nucleus",247,1,0.03,62,0.0319,0.0319,0.00404858299595142,"Zbtb16"
"52","BP","GO:0072001","renal system development",247,1,0.03,63,0.0319,0.0319,0.00404858299595142,"Zbtb16"
"53","BP","GO:0003002","regionalization",264,1,0.03,66,0.0341,0.0341,0.00378787878787879,"Zbtb16"
"54","BP","GO:0001655","urogenital system development",280,1,0.04,67,0.0361,0.0361,0.00357142857142857,"Zbtb16"
"55","BP","GO:0009914","hormone transport",285,1,0.04,69,0.0367,0.0367,0.00350877192982456,"Ttr"
"56","BP","GO:0022412","cellular process involved in reproductio...",298,1,0.04,70,0.0384,0.0384,0.00335570469798658,"Zbtb16"
"57","BP","GO:0001503","ossification",308,1,0.04,71,0.0397,0.0397,0.00324675324675325,"Zbtb16"
"58","BP","GO:0007283","spermatogenesis",387,1,0.05,81,0.0497,0.0497,0.00258397932816537,"Zbtb16"
"59","BP","GO:0048232","male gamete generation",404,1,0.05,84,0.0519,0.0519,0.00247524752475248,"Zbtb16"
