"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005179","hormone activity",45,1,0.01,1,0.0097,0.0097,0.0222222222222222,"Ttr"
"2","MF","GO:0042562","hormone binding",70,1,0.02,2,0.0151,0.0151,0.0142857142857143,"Ttr"
"3","MF","GO:0005178","integrin binding",105,1,0.02,5,0.0225,0.0225,0.00952380952380952,"Thy1"
"4","MF","GO:0030246","carbohydrate binding",167,1,0.04,6,0.0357,0.0357,0.00598802395209581,"C4b"
"5","MF","GO:0050839","cell adhesion molecule binding",189,1,0.04,7,0.0403,0.0403,0.00529100529100529,"Thy1"
"6","MF","GO:0005096","GTPase activator activity",215,1,0.05,8,0.0457,0.0457,0.00465116279069767,"Thy1"
"7","MF","GO:0035091","phosphatidylinositol binding",216,1,0.05,9,0.046,0.046,0.00462962962962963,"Thy1"
"8","MF","GO:0030695","GTPase regulator activity",231,1,0.05,11,0.0491,0.0491,0.00432900432900433,"Thy1"
"9","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",267,1,0.06,13,0.0566,0.0566,0.00374531835205993,"Thy1"
"10","MF","GO:0005543","phospholipid binding",339,1,0.07,14,0.0715,0.0715,0.00294985250737463,"Thy1"
"11","MF","GO:0008047","enzyme activator activity",392,1,0.08,15,0.0823,0.0823,0.00255102040816327,"Thy1"
"12","MF","GO:0046982","protein heterodimerization activity",446,1,0.1,16,0.0933,0.0933,0.00224215246636771,"Ttr"
"13","MF","GO:0008289","lipid binding",536,1,0.12,17,0.1114,0.1114,0.00186567164179104,"Thy1"
"14","MF","GO:0019901","protein kinase binding",643,1,0.14,19,0.1326,0.1326,0.0015552099533437,"Thy1"
"15","MF","GO:0019900","kinase binding",709,1,0.15,20,0.1455,0.1455,0.00141043723554302,"Thy1"
"16","MF","GO:0005102","signaling receptor binding",1119,2,0.24,3,0.1492,0.0184,0.00178731009830206,"Thy1, Ttr"
"17","MF","GO:0030234","enzyme regulator activity",737,1,0.16,21,0.151,0.151,0.00135685210312076,"Thy1"
"18","MF","GO:0098772","molecular function regulator",1201,2,0.26,4,0.1601,0.0211,0.00166527893422148,"Thy1, Ttr"
"19","MF","GO:0044877","protein-containing complex binding",1028,1,0.22,22,0.2061,0.2061,0.000972762645914397,"Thy1"
"20","MF","GO:0046983","protein dimerization activity",1097,1,0.24,23,0.2188,0.2188,0.000911577028258888,"Ttr"
"21","MF","GO:0005515","protein binding",6888,3,1.49,18,0.2445,0.1221,0.000435540069686411,"C4b, Thy1, Ttr"
"22","MF","GO:0042802","identical protein binding",1513,1,0.33,24,0.2926,0.2926,0.000660938532716457,"Ttr"
"23","MF","GO:0097367","carbohydrate derivative binding",1746,1,0.38,25,0.3318,0.3318,0.000572737686139748,"Thy1"
"24","MF","GO:0019899","enzyme binding",1999,1,0.43,27,0.3728,0.3728,0.000500250125062531,"Thy1"
"25","MF","GO:0043168","anion binding",2203,1,0.48,28,0.4045,0.4045,0.000453926463912846,"Thy1"
"26","MF","GO:0005488","binding",9624,3,2.08,26,0.4791,0.333,0.000311720698254364,"C4b, Thy1, Ttr"
