"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0007156","homophilic cell adhesion via plasma memb...",93,2,0.06,5,0.0014,0.0014,0.021505376344086,"Cdh20, Tenm3"
"33","BP","GO:0097320","plasma membrane tubulation",20,1,0.01,16,0.0122,0.01216,0.05,"Asap1"
"34","BP","GO:1902683","regulation of receptor localization to s...",24,1,0.01,18,0.0146,0.01458,0.0416666666666667,"Gpc6"
"35","BP","GO:1902473","regulation of protein localization to sy...",25,1,0.02,19,0.0152,0.01518,0.04,"Gpc6"
"37","BP","GO:0099645","neurotransmitter receptor localization t...",30,1,0.02,20,0.0182,0.0182,0.0333333333333333,"Gpc6"
"38","BP","GO:0099633","protein localization to postsynaptic spe...",30,1,0.02,21,0.0182,0.0182,0.0333333333333333,"Gpc6"
"39","BP","GO:0016339","calcium-dependent cell-cell adhesion via...",30,1,0.02,22,0.0182,0.0182,0.0333333333333333,"Cdh20"
"40","BP","GO:0099560","synaptic membrane adhesion",31,1,0.02,23,0.0188,0.0188,0.032258064516129,"Lrrc4c"
"41","BP","GO:2000171","negative regulation of dendrite developm...",33,1,0.02,25,0.02,0.02,0.0303030303030303,"Asap1"
"42","BP","GO:0044331","cell-cell adhesion mediated by cadherin",36,1,0.02,27,0.0218,0.0218,0.0277777777777778,"Cdh20"
"44","BP","GO:2000008","regulation of protein localization to ce...",39,1,0.02,28,0.0236,0.0236,0.0256410256410256,"Astn2"
"45","BP","GO:0045666","positive regulation of neuron differenti...",417,2,0.25,29,0.0255,0.02548,0.00479616306954436,"Vwc2l, Tenm3"
"46","BP","GO:0030514","negative regulation of BMP signaling pat...",43,1,0.03,32,0.026,0.02599,0.0232558139534884,"Vwc2l"
"47","BP","GO:0007157","heterophilic cell-cell adhesion via plas...",44,1,0.03,34,0.0266,0.02659,0.0227272727272727,"Tenm3"
"48","BP","GO:0050808","synapse organization",427,2,0.26,35,0.0266,0.02664,0.00468384074941452,"Lrrc4c, Pdzrn3"
"49","BP","GO:0007528","neuromuscular junction development",51,1,0.03,39,0.0308,0.03076,0.0196078431372549,"Pdzrn3"
"50","BP","GO:0001736","establishment of planar polarity",53,1,0.03,40,0.0319,0.03194,0.0188679245283019,"Astn2"
"51","BP","GO:0007164","establishment of tissue polarity",54,1,0.03,41,0.0325,0.03254,0.0185185185185185,"Astn2"
"52","BP","GO:1903539","protein localization to postsynaptic mem...",55,1,0.03,42,0.0331,0.03313,0.0181818181818182,"Gpc6"
"53","BP","GO:1903827","regulation of cellular protein localizat...",494,2,0.3,43,0.0349,0.03489,0.00404858299595142,"Astn2, Gpc6"
"54","BP","GO:0034394","protein localization to cell surface",61,1,0.04,44,0.0367,0.03669,0.0163934426229508,"Astn2"
"55","BP","GO:0098742","cell-cell adhesion via plasma-membrane a...",170,3,0.1,1,0.0373,0.00013,0.0176470588235294,"Lrrc4c, Cdh20, Tenm3"
"57","BP","GO:0097120","receptor localization to synapse",70,1,0.04,46,0.042,0.04199,0.0142857142857143,"Gpc6"
"58","BP","GO:0001738","morphogenesis of a polarized epithelium",71,1,0.04,47,0.0426,0.04258,0.0140845070422535,"Astn2"
"60","BP","GO:1902117","positive regulation of organelle assembl...",72,1,0.04,50,0.0432,0.04317,0.0138888888888889,"Asap1"
