"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0007156","homophilic cell adhesion via plasma memb...",93,4,0.13,2,8.1e-06,8.1e-06,0.043010752688172,"Pcdh15, Cdh20, Tenm3, Ptprt"
"32","BP","GO:2000171","negative regulation of dendrite developm...",33,2,0.05,4,0.00098,0.00098,0.0606060606060606,"Cit, Asap1"
"33","BP","GO:0086004","regulation of cardiac muscle cell contra...",38,2,0.05,5,0.0013,0.0013,0.0526315789473684,"Pde4b, Ctnna3"
"34","BP","GO:1904375","regulation of protein localization to ce...",130,2,0.18,29,0.01431,0.01431,0.0153846153846154,"Dpp10, Gpc6"
"35","BP","GO:1905475","regulation of protein localization to me...",179,2,0.25,42,0.02608,0.02608,0.0111731843575419,"Dpp10, Gpc6"
"36","BP","GO:0097320","plasma membrane tubulation",20,1,0.03,44,0.02786,0.02786,0.05,"Asap1"
"37","BP","GO:0043547","positive regulation of GTPase activity",190,2,0.27,45,0.02912,0.02912,0.0105263157894737,"Asap1, Rgs6"
"38","BP","GO:0048535","lymph node development",21,1,0.03,46,0.02923,0.02923,0.0476190476190476,"Tox"
"39","BP","GO:0071869","response to catecholamine",21,1,0.03,47,0.02923,0.02923,0.0476190476190476,"Pde4b"
"40","BP","GO:0071870","cellular response to catecholamine stimu...",21,1,0.03,48,0.02923,0.02923,0.0476190476190476,"Pde4b"
"41","BP","GO:0007423","sensory organ development",486,3,0.69,49,0.02995,0.02995,0.00617283950617284,"Pcdh15, Meis2, Tenm3"
"42","BP","GO:0006144","purine nucleobase metabolic process",22,1,0.03,50,0.0306,0.0306,0.0454545454545455,"Ttr"
"43","BP","GO:0002093","auditory receptor cell morphogenesis",22,1,0.03,51,0.0306,0.0306,0.0454545454545455,"Pcdh15"
"44","BP","GO:0071867","response to monoamine",22,1,0.03,52,0.0306,0.0306,0.0454545454545455,"Pde4b"
"45","BP","GO:0071868","cellular response to monoamine stimulus",22,1,0.03,53,0.0306,0.0306,0.0454545454545455,"Pde4b"
"46","BP","GO:0071880","adenylate cyclase-activating adrenergic ...",22,1,0.03,54,0.0306,0.0306,0.0454545454545455,"Pde4b"
"47","BP","GO:1902683","regulation of receptor localization to s...",24,1,0.03,56,0.03334,0.03334,0.0416666666666667,"Gpc6"
"48","BP","GO:0071875","adrenergic receptor signaling pathway",24,1,0.03,57,0.03334,0.03334,0.0416666666666667,"Pde4b"
"49","BP","GO:0071354","cellular response to interleukin-6",24,1,0.03,58,0.03334,0.03334,0.0416666666666667,"Ptprt"
"50","BP","GO:1904893","negative regulation of STAT cascade",24,1,0.03,59,0.03334,0.03334,0.0416666666666667,"Ptprt"
"52","BP","GO:0086005","ventricular cardiac muscle cell action p...",25,1,0.04,62,0.03471,0.03471,0.04,"Ctnna3"
"53","BP","GO:0098901","regulation of cardiac muscle cell action...",25,1,0.04,63,0.03471,0.03471,0.04,"Ctnna3"
"54","BP","GO:0060004","reflex",25,1,0.04,64,0.03471,0.03471,0.04,"Pcdh15"
"55","BP","GO:0070741","response to interleukin-6",25,1,0.04,65,0.03471,0.03471,0.04,"Ptprt"
"56","BP","GO:1902473","regulation of protein localization to sy...",25,1,0.04,66,0.03471,0.03471,0.04,"Gpc6"
"57","BP","GO:0032816","positive regulation of natural killer ce...",26,1,0.04,67,0.03607,0.03607,0.0384615384615385,"Tox"
"59","BP","GO:0032467","positive regulation of cytokinesis",28,1,0.04,71,0.03879,0.03879,0.0357142857142857,"Cit"
"60","BP","GO:0032743","positive regulation of interleukin-2 pro...",28,1,0.04,72,0.03879,0.03879,0.0357142857142857,"Pde4b"
