"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0031072","heat shock protein binding",125,2,0.03,1,0.00022,0.00022,0.016,"Pttg1, Fkbp5"
"2","MF","GO:0003755","peptidyl-prolyl cis-trans isomerase acti...",31,1,0.01,2,0.00639,0.00639,0.032258064516129,"Fkbp5"
"3","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",34,1,0.01,4,0.007,0.007,0.0294117647058824,"Pttg1"
"4","MF","GO:0043022","ribosome binding",59,1,0.01,5,0.01213,0.01213,0.0169491525423729,"Pttg1"
"5","MF","GO:0017124","SH3 domain binding",121,1,0.02,9,0.02478,0.02478,0.00826446280991736,"Pttg1"
"6","MF","GO:0043021","ribonucleoprotein complex binding",140,1,0.03,12,0.02863,0.02863,0.00714285714285714,"Pttg1"
"7","MF","GO:0005198","structural molecule activity",464,1,0.1,14,0.09278,0.09278,0.0021551724137931,"Plp1"
"8","MF","GO:0000981","DNA-binding transcription factor activit...",513,1,0.11,15,0.10222,0.10222,0.00194931773879142,"Pttg1"
"9","MF","GO:0003700","DNA-binding transcription factor activit...",700,1,0.14,17,0.13768,0.13768,0.00142857142857143,"Pttg1"
"10","MF","GO:0019904","protein domain specific binding",708,1,0.15,18,0.13917,0.13917,0.00141242937853107,"Pttg1"
"11","MF","GO:0140110","transcription regulator activity",1014,1,0.21,20,0.19509,0.19509,0.000986193293885602,"Pttg1"
"12","MF","GO:0044877","protein-containing complex binding",1061,1,0.22,21,0.20346,0.20346,0.000942507068803016,"Pttg1"
"13","MF","GO:0008144","drug binding",1412,1,0.29,23,0.26412,0.26412,0.000708215297450425,"Fkbp5"
"14","MF","GO:0042802","identical protein binding",1589,1,0.33,24,0.29351,0.29351,0.000629326620516048,"Plp1"
"15","MF","GO:0005515","protein binding",7188,3,1.48,16,0.49028,0.12102,0.000417362270450751,"Pttg1, Fkbp5, Plp1"
"16","MF","GO:1901363","heterocyclic compound binding",4106,1,0.85,27,0.63076,0.63076,0.000243546030199708,"Fkbp5"
"17","MF","GO:0097159","organic cyclic compound binding",4165,1,0.86,28,0.637,0.637,0.000240096038415366,"Fkbp5"
"18","MF","GO:0005488","binding",10026,3,2.07,26,0.68728,0.32844,0.000299222022740874,"Pttg1, Fkbp5, Plp1"
"19","MF","GO:0003824","catalytic activity",4693,1,0.97,29,1,0.68969,0.00021308331557639,"Fkbp5"
"20","MF","GO:0098772","molecular function regulator",1256,1,0.26,22,1,0.23755,0.000796178343949045,"Pttg1"
"21","MF","GO:0030234","enzyme regulator activity",764,1,0.16,19,1,0.14959,0.00130890052356021,"Pttg1"
"22","MF","GO:0061134","peptidase regulator activity",121,1,0.02,10,1,0.02478,0.00826446280991736,"Pttg1"
"23","MF","GO:0030414","peptidase inhibitor activity",92,1,0.02,7,1,0.01888,0.0108695652173913,"Pttg1"
"24","MF","GO:0061135","endopeptidase regulator activity",95,1,0.02,8,1,0.01949,0.0105263157894737,"Pttg1"
"25","MF","GO:0004857","enzyme inhibitor activity",237,1,0.05,13,1,0.04814,0.00421940928270042,"Pttg1"
"26","MF","GO:0140096","catalytic activity, acting on a protein",1797,1,0.37,25,1,0.32703,0.000556483027267668,"Fkbp5"
"27","MF","GO:0016853","isomerase activity",131,1,0.03,11,1,0.0268,0.00763358778625954,"Fkbp5"
"28","MF","GO:0003674","molecular_function",14531,3,3,30,1,1,0.00020645516482004,"Pttg1, Fkbp5, Plp1"
"29","MF","GO:0004866","endopeptidase inhibitor activity",87,1,0.02,6,1,0.01786,0.0114942528735632,"Pttg1"
"30","MF","GO:0016859","cis-trans isomerase activity",33,1,0.01,3,1,0.0068,0.0303030303030303,"Fkbp5"
"31","BP","GO:0000413","protein peptidyl-prolyl isomerization",20,1,0,1,0.0041,0.0041,0.05,"Fkbp5"
"32","BP","GO:0022010","central nervous system myelination",21,1,0,2,0.0043,0.0043,0.0476190476190476,"Plp1"
"33","BP","GO:0007064","mitotic sister chromatid cohesion",23,1,0,4,0.0047,0.0047,0.0434782608695652,"Pttg1"
"34","BP","GO:0014002","astrocyte development",30,1,0.01,5,0.0061,0.0061,0.0333333333333333,"Plp1"
"35","BP","GO:2000816","negative regulation of mitotic sister ch...",35,1,0.01,7,0.0072,0.0072,0.0285714285714286,"Pttg1"
"36","BP","GO:0061077","chaperone-mediated protein folding",50,1,0.01,14,0.0102,0.0102,0.02,"Fkbp5"
"37","BP","GO:0045143","homologous chromosome segregation",52,1,0.01,16,0.0106,0.0106,0.0192307692307692,"Pttg1"
