"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:1903514","release of sequestered calcium ion into ...",20,3,0.1,28,0.00013,0.00013,0.15,"Ccr5, Camk2d, Pde4d"
"32","BP","GO:0070296","sarcoplasmic reticulum calcium ion trans...",22,3,0.11,35,0.00017,0.00017,0.136363636363636,"Ccr5, Camk2d, Pde4d"
"33","BP","GO:0045822","negative regulation of heart contraction",22,3,0.11,36,0.00017,0.00017,0.136363636363636,"Prkca, Bin1, Pde4d"
"34","BP","GO:0010613","positive regulation of cardiac muscle hy...",33,3,0.16,59,0.00058,0.00058,0.0909090909090909,"Prkca, Mef2a, Camk2d"
"35","BP","GO:0086003","cardiac muscle cell contraction",55,5,0.27,4,0.00059,7.7e-06,0.0909090909090909,"Cacnb2, Camk2d, Snta1, Bin1, Pde4d"
"36","BP","GO:0034330","cell junction organization",228,6,1.14,69,0.00096,0.00096,0.0263157894736842,"Prkca, Numb, Ophn1, Mtss1, Ctnnd2, Dlc1"
"37","BP","GO:0048813","dendrite morphogenesis",168,5,0.84,74,0.0015,0.0015,0.0297619047619048,"Dock10, Numb, Mef2a, Klf7, Ctnnd2"
"38","BP","GO:0008286","insulin receptor signaling pathway",101,4,0.5,77,0.00162,0.00162,0.0396039603960396,"Prkca, Fer, Soga1, Pid1"
"39","BP","GO:0050808","synapse organization",417,9,2.08,39,0.0027,0.00022,0.0215827338129496,"Prkca, Cacnb2, Dock10, Numb, Ophn1, Nfia, Cx3cr1, Ctnnd2, Snta1"
"40","BP","GO:0046324","regulation of glucose import",56,3,0.28,88,0.00273,0.00273,0.0535714285714286,"Prkca, Mef2a, Pid1"
"41","BP","GO:0030593","neutrophil chemotaxis",57,3,0.28,90,0.00287,0.00287,0.0526315789473684,"Prkca, Itga9, Pde4d"
"42","BP","GO:0002088","lens development in camera-type eye",57,3,0.28,91,0.00287,0.00287,0.0526315789473684,"Crybb1, Cryab, Maf"
"44","BP","GO:0035023","regulation of Rho protein signal transdu...",122,4,0.61,96,0.00321,0.00321,0.0327868852459016,"Fgd2, Ophn1, Arhgef40, Dlc1"
"45","BP","GO:0009617","response to bacterium",407,7,2.03,106,0.00412,0.00412,0.0171990171990172,"Prkca, Bank1, Stab1, Fer, Cx3cr1, Pld1, Pde4d"
"46","BP","GO:0061337","cardiac conduction",46,4,0.23,24,0.00418,7.9e-05,0.0869565217391304,"Cacnb2, Mef2a, Bin1, Pde4d"
"47","BP","GO:0099149","regulation of postsynaptic neurotransmit...",20,2,0.1,113,0.0044,0.0044,0.1,"Numb, Ophn1"
"48","BP","GO:0007264","small GTPase mediated signal transductio...",450,10,2.24,23,0.00464,7.5e-05,0.0222222222222222,"Elmo1, Dock4, Rapgef5, Dock10, Fgd2, Ophn1, Camk2d, Arhgef40, Cyth4, Dlc1"
"49","BP","GO:0030900","forebrain development",313,6,1.56,115,0.00468,0.00468,0.0191693290734824,"Srgap2, Numb, Plxna4, Ophn1, Cx3cr1, Dlc1"
"50","BP","GO:1903077","negative regulation of protein localizat...",21,2,0.1,116,0.00485,0.00485,0.0952380952380952,"Numb, Pid1"
"51","BP","GO:0086005","ventricular cardiac muscle cell action p...",21,2,0.1,117,0.00485,0.00485,0.0952380952380952,"Snta1, Bin1"
"52","BP","GO:0050901","leukocyte tethering or rolling",21,2,0.1,118,0.00485,0.00485,0.0952380952380952,"Selplg, Cx3cr1"
"53","BP","GO:1901019","regulation of calcium ion transmembrane ...",69,3,0.34,119,0.00493,0.00493,0.0434782608695652,"Cacnb2, Nos1ap, Pde4d"
"54","BP","GO:0030336","negative regulation of cell migration",225,5,1.12,124,0.00529,0.00529,0.0222222222222222,"Srgap2, Ldlrad4, Ccr5, Cx3cr1, Dlc1"
"55","BP","GO:0010829","negative regulation of glucose transmemb...",22,2,0.11,125,0.00531,0.00531,0.0909090909090909,"Prkca, Pid1"
"56","BP","GO:0098901","regulation of cardiac muscle cell action...",23,2,0.11,127,0.0058,0.0058,0.0869565217391304,"Camk2d, Bin1"
"57","BP","GO:0071354","cellular response to interleukin-6",24,2,0.12,131,0.00631,0.00631,0.0833333333333333,"Fer, Pid1"
"58","BP","GO:1903579","negative regulation of ATP metabolic pro...",24,2,0.12,132,0.00631,0.00631,0.0833333333333333,"Pid1, Entpd1"
"59","BP","GO:0055013","cardiac muscle cell development",77,3,0.38,137,0.00669,0.00669,0.038961038961039,"Mef2a, Camk2d, Myo18b"
