"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"32","BP","GO:0032462","regulation of protein homooligomerizatio...",20,1,0,7,0.0039,0.0039,0.05,"Cryab"
"33","BP","GO:0048266","behavioral response to pain",21,1,0,8,0.0041,0.0041,0.0476190476190476,"Kcnip3"
"34","BP","GO:0060561","apoptotic process involved in morphogene...",25,1,0,10,0.0049,0.0049,0.04,"Cryab"
"35","BP","GO:0071480","cellular response to gamma radiation",28,1,0.01,12,0.0054,0.0054,0.0357142857142857,"Cryab"
"36","BP","GO:0002088","lens development in camera-type eye",58,1,0.01,29,0.0113,0.0113,0.0172413793103448,"Cryab"
"40","BP","GO:0032387","negative regulation of intracellular tra...",61,1,0.01,34,0.0118,0.0118,0.0163934426229508,"Cryab"
"41","BP","GO:2000378","negative regulation of reactive oxygen s...",62,1,0.01,36,0.012,0.012,0.0161290322580645,"Cryab"
"42","BP","GO:0043154","negative regulation of cysteine-type end...",62,1,0.01,37,0.012,0.012,0.0161290322580645,"Cryab"
"43","BP","GO:2000117","negative regulation of cysteine-type end...",68,1,0.01,38,0.0132,0.0132,0.0147058823529412,"Cryab"
"45","BP","GO:1901379","regulation of potassium ion transmembran...",74,1,0.01,41,0.0144,0.0144,0.0135135135135135,"Kcnip3"
"49","BP","GO:0043266","regulation of potassium ion transport",91,1,0.02,47,0.0176,0.0176,0.010989010989011,"Kcnip3"
"54","BP","GO:0042542","response to hydrogen peroxide",105,1,0.02,55,0.0203,0.0203,0.00952380952380952,"Cryab"
"55","BP","GO:0010951","negative regulation of endopeptidase act...",109,1,0.02,58,0.0211,0.0211,0.00917431192660551,"Cryab"
"56","BP","GO:0031109","microtubule polymerization or depolymeri...",114,1,0.02,62,0.0221,0.0221,0.0087719298245614,"Cryab"
"57","BP","GO:0019233","sensory perception of pain",119,1,0.02,63,0.023,0.023,0.00840336134453781,"Kcnip3"
