"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0046982","protein heterodimerization activity",467,2,0.12,1,0.0054,0.0054,0.00428265524625268,"Ttr, Sycp2"
"2","MF","GO:0050780","dopamine receptor binding",24,1,0.01,2,0.0063,0.0063,0.0416666666666667,"Grk3"
"3","MF","GO:1904680","peptide transmembrane transporter activi...",25,1,0.01,3,0.0065,0.0065,0.04,"Slc15a2"
"4","MF","GO:0005179","hormone activity",61,1,0.02,5,0.0159,0.0159,0.0163934426229508,"Ttr"
"5","MF","GO:0015294","solute:cation symporter activity",76,1,0.02,6,0.0197,0.0197,0.0131578947368421,"Slc15a2"
"6","MF","GO:0042562","hormone binding",86,1,0.02,7,0.0223,0.0223,0.0116279069767442,"Ttr"
"7","MF","GO:0015078","proton transmembrane transporter activit...",98,1,0.03,8,0.0254,0.0254,0.0102040816326531,"Slc15a2"
"8","MF","GO:0015293","symporter activity",114,1,0.03,9,0.0295,0.0295,0.0087719298245614,"Slc15a2"
"9","MF","GO:0015291","secondary active transmembrane transport...",193,1,0.05,12,0.0495,0.0495,0.00518134715025907,"Slc15a2"
"10","MF","GO:0048018","receptor ligand activity",254,1,0.07,14,0.0648,0.0648,0.00393700787401575,"Ttr"
"11","MF","GO:0030545","receptor regulator activity",281,1,0.07,15,0.0715,0.0715,0.00355871886120996,"Ttr"
"12","MF","GO:0015077","monovalent inorganic cation transmembran...",296,1,0.08,16,0.0752,0.0752,0.00337837837837838,"Slc15a2"
"13","MF","GO:0022804","active transmembrane transporter activit...",301,1,0.08,17,0.0764,0.0764,0.00332225913621262,"Slc15a2"
"14","MF","GO:0004674","protein serine/threonine kinase activity",413,1,0.11,18,0.1037,0.1037,0.00242130750605327,"Grk3"
"15","MF","GO:0022890","inorganic cation transmembrane transport...",473,1,0.12,19,0.1181,0.1181,0.00211416490486258,"Slc15a2"
"16","MF","GO:0008324","cation transmembrane transporter activit...",512,1,0.13,20,0.1274,0.1274,0.001953125,"Slc15a2"
"17","MF","GO:0004672","protein kinase activity",546,1,0.14,21,0.1354,0.1354,0.00183150183150183,"Grk3"
"18","MF","GO:0016773","phosphotransferase activity, alcohol gro...",639,1,0.17,22,0.157,0.157,0.00156494522691706,"Grk3"
"19","MF","GO:0015318","inorganic molecular entity transmembrane...",651,1,0.17,23,0.1597,0.1597,0.00153609831029186,"Slc15a2"
"20","MF","GO:0016301","kinase activity",695,1,0.18,24,0.1698,0.1698,0.00143884892086331,"Grk3"
"21","MF","GO:0015075","ion transmembrane transporter activity",701,1,0.18,25,0.1712,0.1712,0.0014265335235378,"Slc15a2"
"22","MF","GO:0016772","transferase activity, transferring phosp...",828,1,0.22,26,0.1996,0.1996,0.00120772946859903,"Grk3"
"23","MF","GO:0005102","signaling receptor binding",1214,2,0.32,11,0.2161,0.0339,0.00164744645799012,"Ttr, Grk3"
"24","MF","GO:0005524","ATP binding",1275,1,0.33,30,0.2941,0.2941,0.000784313725490196,"Grk3"
"25","MF","GO:0098772","molecular function regulator",1289,1,0.34,31,0.2969,0.2969,0.000775795190069822,"Ttr"
