"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0061351","neural precursor cell proliferation",154,2,0.2,1,0.016,0.016,0.012987012987013,"Eml1, Gli2"
"32","BP","GO:0030324","lung development",168,2,0.22,2,0.019,0.019,0.0119047619047619,"Meg3, Gli2"
"33","BP","GO:0030323","respiratory tube development",171,2,0.22,3,0.02,0.02,0.0116959064327485,"Meg3, Gli2"
"34","BP","GO:0060541","respiratory system development",190,2,0.24,4,0.024,0.024,0.0105263157894737,"Meg3, Gli2"
"35","BP","GO:0042745","circadian sleep/wake cycle",20,1,0.03,5,0.025,0.025,0.05,"Ptgds"
"36","BP","GO:0032462","regulation of protein homooligomerizatio...",20,1,0.03,6,0.025,0.025,0.05,"Cryab"
"37","BP","GO:0048566","embryonic digestive tract development",21,1,0.03,7,0.027,0.027,0.0476190476190476,"Gli2"
"38","BP","GO:0060561","apoptotic process involved in morphogene...",22,1,0.03,8,0.028,0.028,0.0454545454545455,"Cryab"
"39","BP","GO:0030431","sleep",22,1,0.03,9,0.028,0.028,0.0454545454545455,"Ptgds"
"40","BP","GO:0021904","dorsal/ventral neural tube patterning",22,1,0.03,10,0.028,0.028,0.0454545454545455,"Gli2"
"41","BP","GO:0008340","determination of adult lifespan",22,1,0.03,11,0.028,0.028,0.0454545454545455,"Meg3"
"42","BP","GO:0021522","spinal cord motor neuron differentiation",22,1,0.03,12,0.028,0.028,0.0454545454545455,"Gli2"
"43","BP","GO:0061037","negative regulation of cartilage develop...",22,1,0.03,13,0.028,0.028,0.0454545454545455,"Gli2"
"44","BP","GO:0060571","morphogenesis of an epithelial fold",23,1,0.03,14,0.029,0.029,0.0434782608695652,"Gli2"
"45","BP","GO:0001523","retinoid metabolic process",24,1,0.03,15,0.031,0.031,0.0416666666666667,"Ttr"
"46","BP","GO:0060512","prostate gland morphogenesis",24,1,0.03,16,0.031,0.031,0.0416666666666667,"Gli2"
"47","BP","GO:0060740","prostate gland epithelium morphogenesis",24,1,0.03,17,0.031,0.031,0.0416666666666667,"Gli2"
"48","BP","GO:0021515","cell differentiation in spinal cord",24,1,0.03,18,0.031,0.031,0.0416666666666667,"Gli2"
"49","BP","GO:0016101","diterpenoid metabolic process",26,1,0.03,19,0.033,0.033,0.0384615384615385,"Ttr"
"50","BP","GO:0021952","central nervous system projection neuron...",26,1,0.03,20,0.033,0.033,0.0384615384615385,"Gli2"
"51","BP","GO:0015804","neutral amino acid transport",26,1,0.03,21,0.033,0.033,0.0384615384615385,"Slc38a2"
"52","BP","GO:0015695","organic cation transport",27,1,0.03,22,0.034,0.034,0.037037037037037,"Slc38a2"
"53","BP","GO:0071480","cellular response to gamma radiation",27,1,0.03,23,0.034,0.034,0.037037037037037,"Cryab"
"54","BP","GO:0006692","prostanoid metabolic process",27,1,0.03,24,0.034,0.034,0.037037037037037,"Ptgds"
"55","BP","GO:0006693","prostaglandin metabolic process",27,1,0.03,25,0.034,0.034,0.037037037037037,"Ptgds"
"56","BP","GO:0046456","icosanoid biosynthetic process",27,1,0.03,26,0.034,0.034,0.037037037037037,"Ptgds"
"57","BP","GO:0043267","negative regulation of potassium ion tra...",28,1,0.04,27,0.036,0.036,0.0357142857142857,"Kcnab1"
"58","BP","GO:0006721","terpenoid metabolic process",28,1,0.04,28,0.036,0.036,0.0357142857142857,"Ttr"
"59","BP","GO:1902742","apoptotic process involved in developmen...",28,1,0.04,29,0.036,0.036,0.0357142857142857,"Cryab"
"60","BP","GO:0009112","nucleobase metabolic process",29,1,0.04,30,0.037,0.037,0.0344827586206897,"Ttr"
