"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0004114","3',5'-cyclic-nucleotide phosphodiesteras...",24,1,0,1,0.0032,0.0032,0.0416666666666667,"Pde10a"
"2","MF","GO:0030551","cyclic nucleotide binding",28,1,0,3,0.0037,0.0037,0.0357142857142857,"Pde10a"
"3","MF","GO:0005179","hormone activity",56,1,0.01,4,0.0074,0.0074,0.0178571428571429,"Ttr"
"4","MF","GO:0042562","hormone binding",79,1,0.01,6,0.0104,0.0104,0.0126582278481013,"Ttr"
"5","MF","GO:0032561","guanyl ribonucleotide binding",327,1,0.04,10,0.0427,0.0427,0.00305810397553517,"Pde10a"
"6","MF","GO:0019001","guanyl nucleotide binding",327,1,0.04,11,0.0427,0.0427,0.00305810397553517,"Pde10a"
"7","MF","GO:0046982","protein heterodimerization activity",476,1,0.06,12,0.0619,0.0619,0.00210084033613445,"Ttr"
"8","MF","GO:0046983","protein dimerization activity",1165,1,0.15,14,0.148,0.148,0.000858369098712446,"Ttr"
"9","MF","GO:0032559","adenyl ribonucleotide binding",1309,1,0.17,17,0.1655,0.1655,0.000763941940412529,"Pde10a"
"10","MF","GO:0030554","adenyl nucleotide binding",1319,1,0.17,18,0.1667,0.1667,0.000758150113722517,"Pde10a"
"11","MF","GO:0032555","purine ribonucleotide binding",1599,1,0.21,19,0.2001,0.2001,0.000625390869293308,"Pde10a"
"12","MF","GO:0017076","purine nucleotide binding",1610,1,0.21,20,0.2014,0.2014,0.00062111801242236,"Pde10a"
"13","MF","GO:0042802","identical protein binding",1610,1,0.21,21,0.2014,0.2014,0.00062111801242236,"Ttr"
"14","MF","GO:0032553","ribonucleotide binding",1614,1,0.21,22,0.2019,0.2019,0.000619578686493185,"Pde10a"
"15","MF","GO:0097367","carbohydrate derivative binding",1849,1,0.24,25,0.2294,0.2294,0.000540832882639265,"Pde10a"
"16","MF","GO:0043168","anion binding",2349,1,0.31,28,0.2863,0.2863,0.00042571306939123,"Pde10a"
"17","MF","GO:0046872","metal ion binding",2945,1,0.39,29,0.3513,0.3513,0.00033955857385399,"Pde10a"
"18","MF","GO:0043169","cation binding",3021,1,0.4,30,0.3594,0.3594,0.00033101621979477,"Pde10a"
"19","MF","GO:0043167","ion binding",4671,1,0.62,34,0.522,0.522,0.000214086919289231,"Pde10a"
"20","MF","GO:0003824","catalytic activity",4844,1,0.64,35,1,0.5377,0.000206440957886045,"Pde10a"
"21","MF","GO:0036094","small molecule binding",2101,1,0.28,27,1,0.2584,0.000475963826749167,"Pde10a"
"22","MF","GO:0016787","hydrolase activity",2078,1,0.27,26,1,0.2557,0.000481231953801732,"Pde10a"
"23","MF","GO:0042578","phosphoric ester hydrolase activity",318,1,0.04,9,1,0.0416,0.00314465408805031,"Pde10a"
"24","MF","GO:0016788","hydrolase activity, acting on ester bond...",605,1,0.08,13,1,0.0783,0.00165289256198347,"Pde10a"
"25","MF","GO:0030545","receptor regulator activity",275,1,0.04,8,1,0.036,0.00363636363636364,"Ttr"
"26","MF","GO:0000166","nucleotide binding",1814,1,0.24,23,1,0.2253,0.000551267916207277,"Pde10a"
"27","MF","GO:0005488","binding",10283,2,1.36,31,1,0.4615,0.000194495769717009,"Pde10a, Ttr"
"28","MF","GO:0098772","molecular function regulator",1279,1,0.17,16,1,0.1619,0.000781860828772478,"Ttr"
"29","MF","GO:0003674","molecular_function",15136,2,2,37,1,1,0.000132135306553911,"Pde10a, Ttr"
