"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0009112","nucleobase metabolic process",27,1,0,1,0.002,0.002,0.037037037037037,"Ttr"
"32","BP","GO:0001523","retinoid metabolic process",30,1,0,2,0.0022,0.0022,0.0333333333333333,"Ttr"
"33","BP","GO:0034308","primary alcohol metabolic process",44,1,0,5,0.0032,0.0032,0.0227272727272727,"Ttr"
"34","BP","GO:0034754","cellular hormone metabolic process",65,1,0,7,0.0048,0.0048,0.0153846153846154,"Ttr"
"35","BP","GO:0009914","hormone transport",268,1,0.02,10,0.0197,0.0197,0.00373134328358209,"Ttr"
"36","BP","GO:0072521","purine-containing compound metabolic pro...",382,1,0.03,12,0.0281,0.0281,0.00261780104712042,"Ttr"
"47","BP","GO:0042445","hormone metabolic process",133,1,0.01,8,1,0.0098,0.0075187969924812,"Ttr"
"48","BP","GO:0006066","alcohol metabolic process",239,1,0.02,9,1,0.0176,0.00418410041841004,"Ttr"
"55","BP","GO:0016101","diterpenoid metabolic process",32,1,0,3,1,0.0024,0.03125,"Ttr"
"57","BP","GO:1901615","organic hydroxy compound metabolic proce...",347,1,0.03,11,1,0.0255,0.00288184438040346,"Ttr"
"60","BP","GO:0006720","isoprenoid metabolic process",52,1,0,6,1,0.0038,0.0192307692307692,"Ttr"
