"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0071813","lipoprotein particle binding",25,1,0.01,1,0.0051,0.0051,0.04,"Stab1"
"2","MF","GO:0005044","scavenger receptor activity",33,1,0.01,3,0.0067,0.0067,0.0303030303030303,"Stab1"
"3","MF","GO:1990782","protein tyrosine kinase binding",92,1,0.02,6,0.0186,0.0186,0.0108695652173913,"Bank1"
"4","MF","GO:0005102","signaling receptor binding",1213,2,0.25,7,0.0191,0.0191,0.00164880461665293,"Prkca, Bank1"
"5","MF","GO:0005178","integrin binding",107,1,0.02,8,0.0216,0.0216,0.00934579439252336,"Prkca"
"6","MF","GO:0005539","glycosaminoglycan binding",159,1,0.03,9,0.032,0.032,0.00628930817610063,"Stab1"
"7","MF","GO:0031406","carboxylic acid binding",163,1,0.03,10,0.0328,0.0328,0.00613496932515337,"Stab1"
"8","MF","GO:0043177","organic acid binding",169,1,0.03,11,0.034,0.034,0.00591715976331361,"Stab1"
"9","MF","GO:0050839","cell adhesion molecule binding",202,1,0.04,12,0.0405,0.0405,0.00495049504950495,"Prkca"
"10","MF","GO:0097367","carbohydrate derivative binding",1848,2,0.38,13,0.0431,0.0431,0.00108225108225108,"Prkca, Stab1"
"11","MF","GO:0036094","small molecule binding",2087,2,0.42,14,0.0543,0.0543,0.00095831336847149,"Prkca, Stab1"
"12","MF","GO:0019899","enzyme binding",2092,2,0.43,15,0.0545,0.0545,0.000956022944550669,"Prkca, Bank1"
"13","MF","GO:0043168","anion binding",2340,2,0.48,16,0.0674,0.0674,0.000854700854700855,"Prkca, Stab1"
"14","MF","GO:0004674","protein serine/threonine kinase activity",402,1,0.08,17,0.0795,0.0795,0.00248756218905473,"Prkca"
"15","MF","GO:0005509","calcium ion binding",454,1,0.09,18,0.0895,0.0895,0.00220264317180617,"Stab1"
"16","MF","GO:0046872","metal ion binding",2890,2,0.59,19,0.0999,0.0999,0.000692041522491349,"Prkca, Stab1"
"17","MF","GO:0004672","protein kinase activity",534,1,0.11,20,0.1046,0.1046,0.00187265917602996,"Prkca"
"18","MF","GO:0043169","cation binding",2964,2,0.6,21,0.1047,0.1047,0.000674763832658569,"Prkca, Stab1"
"19","MF","GO:0008270","zinc ion binding",565,1,0.11,22,0.1105,0.1105,0.00176991150442478,"Prkca"
"20","MF","GO:0016773","phosphotransferase activity, alcohol gro...",626,1,0.13,23,0.1219,0.1219,0.00159744408945687,"Prkca"
"21","MF","GO:0019901","protein kinase binding",677,1,0.14,24,0.1314,0.1314,0.00147710487444609,"Bank1"
