"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0017148","negative regulation of translation",113,2,0.02,5,0.00017,0.00017,0.0176991150442478,"Prkca, Bank1"
"32","BP","GO:0009617","response to bacterium",407,3,0.08,1,0.00059,2e-05,0.00737100737100737,"Prkca, Bank1, Stab1"
"33","BP","GO:0050730","regulation of peptidyl-tyrosine phosphor...",214,2,0.04,8,0.00062,0.00062,0.00934579439252336,"Prkca, Bank1"
"34","BP","GO:0045765","regulation of angiogenesis",250,2,0.05,9,0.00084,0.00084,0.008,"Prkca, Stab1"
"35","BP","GO:0043410","positive regulation of MAPK cascade",426,2,0.09,18,0.00242,0.00242,0.00469483568075117,"Prkca, Bank1"
"37","BP","GO:0090330","regulation of platelet aggregation",20,1,0,27,0.00404,0.00404,0.05,"Prkca"
"38","BP","GO:0010829","negative regulation of glucose transmemb...",22,1,0,28,0.00444,0.00444,0.0454545454545455,"Prkca"
"39","BP","GO:0045822","negative regulation of heart contraction",22,1,0,29,0.00444,0.00444,0.0454545454545455,"Prkca"
"40","BP","GO:0050927","positive regulation of positive chemotax...",22,1,0,30,0.00444,0.00444,0.0454545454545455,"Prkca"
"41","BP","GO:0045780","positive regulation of bone resorption",23,1,0,31,0.00464,0.00464,0.0434782608695652,"Prkca"
"42","BP","GO:1903792","negative regulation of anion transport",28,1,0.01,40,0.00565,0.00565,0.0357142857142857,"Prkca"
"43","BP","GO:0002026","regulation of the force of heart contrac...",28,1,0.01,41,0.00565,0.00565,0.0357142857142857,"Prkca"
"44","BP","GO:1903959","regulation of anion transmembrane transp...",29,1,0.01,44,0.00585,0.00585,0.0344827586206897,"Prkca"
"46","BP","GO:0030225","macrophage differentiation",31,1,0.01,49,0.00626,0.00626,0.032258064516129,"Prkca"
"47","BP","GO:0050869","negative regulation of B cell activation",32,1,0.01,50,0.00646,0.00646,0.03125,"Bank1"
"48","BP","GO:0010613","positive regulation of cardiac muscle hy...",33,1,0.01,52,0.00666,0.00666,0.0303030303030303,"Prkca"
"49","BP","GO:0016572","histone phosphorylation",34,1,0.01,53,0.00686,0.00686,0.0294117647058824,"Prkca"
"50","BP","GO:0046627","negative regulation of insulin receptor ...",35,1,0.01,57,0.00706,0.00706,0.0285714285714286,"Prkca"
"51","BP","GO:0032355","response to estradiol",36,1,0.01,58,0.00726,0.00726,0.0277777777777778,"Prkca"
"52","BP","GO:0051898","negative regulation of protein kinase B ...",37,1,0.01,60,0.00746,0.00746,0.027027027027027,"Bank1"
"53","BP","GO:0021955","central nervous system neuron axonogenes...",39,1,0.01,63,0.00787,0.00787,0.0256410256410256,"Prkca"
"54","BP","GO:0072604","interleukin-6 secretion",39,1,0.01,64,0.00787,0.00787,0.0256410256410256,"Bank1"
"55","BP","GO:0002833","positive regulation of response to bioti...",42,1,0.01,68,0.00847,0.00847,0.0238095238095238,"Prkca"
"56","BP","GO:0032715","negative regulation of interleukin-6 pro...",44,1,0.01,72,0.00887,0.00887,0.0227272727272727,"Bank1"
"57","BP","GO:0031663","lipopolysaccharide-mediated signaling pa...",47,1,0.01,73,0.00947,0.00947,0.0212765957446809,"Prkca"
"58","BP","GO:0043536","positive regulation of blood vessel endo...",49,1,0.01,76,0.00988,0.00988,0.0204081632653061,"Prkca"
"59","BP","GO:0002763","positive regulation of myeloid leukocyte...",49,1,0.01,77,0.00988,0.00988,0.0204081632653061,"Prkca"
"60","BP","GO:0032413","negative regulation of ion transmembrane...",51,1,0.01,81,0.01028,0.01028,0.0196078431372549,"Prkca"
