"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0001228","DNA-binding transcription activator acti...",315,1,0.02,1,0.02,0.02,0.00317460317460317,"Ebf1"
"2","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",427,1,0.03,2,0.028,0.028,0.00234192037470726,"Ebf1"
"3","MF","GO:0000987","proximal promoter sequence-specific DNA ...",436,1,0.03,3,0.028,0.028,0.00229357798165138,"Ebf1"
"4","MF","GO:0000981","DNA-binding transcription factor activit...",545,1,0.04,4,0.035,0.035,0.0018348623853211,"Ebf1"
"5","MF","GO:0000977","RNA polymerase II regulatory region sequ...",613,1,0.04,5,0.04,0.04,0.00163132137030995,"Ebf1"
"6","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",621,1,0.04,6,0.04,0.04,0.00161030595813205,"Ebf1"
"7","MF","GO:0000976","transcription regulatory region sequence...",649,1,0.04,7,0.042,0.042,0.00154083204930663,"Ebf1"
"8","MF","GO:1990837","sequence-specific double-stranded DNA bi...",694,1,0.05,8,0.045,0.045,0.00144092219020173,"Ebf1"
"9","MF","GO:0019904","protein domain specific binding",714,1,0.05,9,0.046,0.046,0.00140056022408964,"Ebf1"
"10","MF","GO:0003700","DNA-binding transcription factor activit...",740,1,0.05,10,0.048,0.048,0.00135135135135135,"Ebf1"
"11","MF","GO:0044212","transcription regulatory region DNA bind...",743,1,0.05,11,0.048,0.048,0.00134589502018843,"Ebf1"
"12","MF","GO:0001067","regulatory region nucleic acid binding",747,1,0.05,12,0.048,0.048,0.00133868808567604,"Ebf1"
"13","MF","GO:0003690","double-stranded DNA binding",773,1,0.05,13,0.05,0.05,0.00129366106080207,"Ebf1"
"14","MF","GO:0043565","sequence-specific DNA binding",852,1,0.06,14,0.055,0.055,0.00117370892018779,"Ebf1"
"15","MF","GO:0140110","transcription regulator activity",1059,1,0.07,15,0.069,0.069,0.000944287063267233,"Ebf1"
"16","MF","GO:0046983","protein dimerization activity",1163,1,0.08,16,0.075,0.075,0.000859845227858985,"Ebf1"
"17","MF","GO:0003677","DNA binding",1650,1,0.11,17,0.107,0.107,0.000606060606060606,"Ebf1"
"18","MF","GO:0003676","nucleic acid binding",2592,1,0.17,18,0.168,0.168,0.000385802469135802,"Ebf1"
"19","MF","GO:0046872","metal ion binding",2995,1,0.19,19,0.194,0.194,0.000333889816360601,"Ebf1"
"20","MF","GO:0043169","cation binding",3069,1,0.2,20,0.199,0.199,0.000325839035516455,"Ebf1"
"21","MF","GO:1901363","heterocyclic compound binding",4258,1,0.28,21,0.276,0.276,0.000234852043212776,"Ebf1"
"22","MF","GO:0097159","organic cyclic compound binding",4323,1,0.28,22,0.28,0.28,0.000231320842007865,"Ebf1"
"23","MF","GO:0043167","ion binding",4730,1,0.31,23,0.307,0.307,0.000211416490486258,"Ebf1"
"24","MF","GO:0005515","protein binding",7455,1,0.48,24,0.484,0.484,0.000134138162307176,"Ebf1"
"25","MF","GO:0005488","binding",10457,1,0.68,25,0.678,0.678,9.56297217175098e-05,"Ebf1"
"26","MF","GO:0003674","molecular_function",15414,1,1,26,1,1,6.48760866744518e-05,"Ebf1"
