"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0006144","purine nucleobase metabolic process",20,1,0,1,0.0013,0.0013,0.05,"Ttr"
"32","BP","GO:0001523","retinoid metabolic process",30,1,0,2,0.002,0.002,0.0333333333333333,"Ttr"
"33","BP","GO:0034308","primary alcohol metabolic process",44,1,0,6,0.0029,0.0029,0.0227272727272727,"Ttr"
"34","BP","GO:0034754","cellular hormone metabolic process",69,1,0,8,0.0045,0.0045,0.0144927536231884,"Ttr"
"35","BP","GO:0009914","hormone transport",285,1,0.02,11,0.0185,0.0185,0.00350877192982456,"Ttr"
"46","BP","GO:0009112","nucleobase metabolic process",32,1,0,3,1,0.0021,0.03125,"Ttr"
"47","BP","GO:0042445","hormone metabolic process",151,1,0.01,9,1,0.0098,0.00662251655629139,"Ttr"
"48","BP","GO:0006066","alcohol metabolic process",254,1,0.02,10,1,0.0165,0.00393700787401575,"Ttr"
"55","BP","GO:0016101","diterpenoid metabolic process",32,1,0,4,1,0.0021,0.03125,"Ttr"
"57","BP","GO:1901615","organic hydroxy compound metabolic proce...",385,1,0.03,12,1,0.0251,0.0025974025974026,"Ttr"
"60","BP","GO:0006720","isoprenoid metabolic process",53,1,0,7,1,0.0034,0.0188679245283019,"Ttr"
