"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005179","hormone activity",45,1,0,1,0.0032,0.0032,0.0222222222222222,"Ttr"
"2","MF","GO:0042562","hormone binding",70,1,0.01,2,0.005,0.005,0.0142857142857143,"Ttr"
"3","MF","GO:0046982","protein heterodimerization activity",446,1,0.03,5,0.0321,0.0321,0.00224215246636771,"Ttr"
"4","MF","GO:0046983","protein dimerization activity",1097,1,0.08,6,0.079,0.079,0.000911577028258888,"Ttr"
"5","MF","GO:0042802","identical protein binding",1513,1,0.11,9,0.109,0.109,0.000660938532716457,"Ttr"
"6","MF","GO:0003674","molecular_function",13884,1,1,12,1,1,7.20253529242293e-05,"Ttr"
"7","MF","GO:0005488","binding",9624,1,0.69,11,1,0.6932,0.000103906899418121,"Ttr"
"8","MF","GO:0005102","signaling receptor binding",1119,1,0.08,7,1,0.0806,0.000893655049151028,"Ttr"
"9","MF","GO:0098772","molecular function regulator",1201,1,0.09,8,1,0.0865,0.000832639467110741,"Ttr"
"10","MF","GO:0030545","receptor regulator activity",246,1,0.02,4,1,0.0177,0.0040650406504065,"Ttr"
"11","MF","GO:0048018","receptor ligand activity",224,1,0.02,3,1,0.0161,0.00446428571428571,"Ttr"
"12","MF","GO:0005515","protein binding",6888,1,0.5,10,1,0.4961,0.000145180023228804,"Ttr"
"13","MF","GO:0000030","mannosyltransferase activity",25,0,0,13,1,1,0,""
"14","MF","GO:0000049","tRNA binding",52,0,0,14,1,1,0,""
"15","MF","GO:0000062","fatty-acyl-CoA binding",21,0,0,15,1,1,0,""
"16","MF","GO:0000149","SNARE binding",106,0,0.01,16,1,1,0,""
"17","MF","GO:0000166","nucleotide binding",1710,0,0.12,17,1,1,0,""
"18","MF","GO:0000175","3'-5'-exoribonuclease activity",27,0,0,18,1,1,0,""
"19","MF","GO:0000217","DNA secondary structure binding",22,0,0,19,1,1,0,""
"20","MF","GO:0000287","magnesium ion binding",160,0,0.01,20,1,1,0,""
"21","MF","GO:0000976","transcription regulatory region sequence...",593,0,0.04,21,1,1,0,""
"22","MF","GO:0000977","RNA polymerase II regulatory region sequ...",558,0,0.04,22,1,1,0,""
"23","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",388,0,0.03,23,1,1,0,""
"24","MF","GO:0000979","RNA polymerase II core promoter sequence...",35,0,0,24,1,1,0,""
"25","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",59,0,0,25,1,1,0,""
"26","MF","GO:0000981","DNA-binding transcription factor activit...",486,0,0.04,26,1,1,0,""
"27","MF","GO:0000987","proximal promoter sequence-specific DNA ...",396,0,0.03,27,1,1,0,""
"28","MF","GO:0000993","RNA polymerase II complex binding",35,0,0,28,1,1,0,""
"29","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",566,0,0.04,29,1,1,0,""
"30","MF","GO:0001046","core promoter sequence-specific DNA bind...",46,0,0,30,1,1,0,""
"31","BP","GO:0001523","retinoid metabolic process",24,1,0,1,0.0017,0.0017,0.0416666666666667,"Ttr"
"32","BP","GO:0009112","nucleobase metabolic process",29,1,0,4,0.0021,0.0021,0.0344827586206897,"Ttr"
"33","BP","GO:0034308","primary alcohol metabolic process",40,1,0,5,0.0029,0.0029,0.025,"Ttr"
"34","BP","GO:0034754","cellular hormone metabolic process",54,1,0,7,0.0039,0.0039,0.0185185185185185,"Ttr"
"35","BP","GO:0009914","hormone transport",266,1,0.02,10,0.0191,0.0191,0.0037593984962406,"Ttr"
"36","BP","GO:0072521","purine-containing compound metabolic pro...",393,1,0.03,13,0.0281,0.0281,0.00254452926208651,"Ttr"
"37","BP","GO:0006810","transport",3384,1,0.24,19,0.2424,0.2424,0.000295508274231678,"Ttr"
"38","BP","GO:0051234","establishment of localization",3504,1,0.25,20,0.251,0.251,0.000285388127853881,"Ttr"
"39","BP","GO:0051179","localization",4579,1,0.33,26,0.328,0.328,0.000218388294387421,"Ttr"
"40","BP","GO:0006629","lipid metabolic process",921,1,0.07,16,1,0.066,0.001085776330076,"Ttr"
"41","BP","GO:0034641","cellular nitrogen compound metabolic pro...",4478,1,0.32,25,1,0.3207,0.000223313979455114,"Ttr"
"42","BP","GO:0046483","heterocycle metabolic process",3976,1,0.28,22,1,0.2848,0.000251509054325956,"Ttr"
"43","BP","GO:1901564","organonitrogen compound metabolic proces...",4758,1,0.34,27,1,0.3408,0.000210172341319882,"Ttr"
"44","BP","GO:0071704","organic substance metabolic process",7497,1,0.54,31,1,0.537,0.000133386688008537,"Ttr"
"45","BP","GO:0006139","nucleobase-containing compound metabolic...",3890,1,0.28,21,1,0.2786,0.00025706940874036,"Ttr"
"46","BP","GO:0044281","small molecule metabolic process",1341,1,0.1,17,1,0.096,0.000745712155108128,"Ttr"
"47","BP","GO:0042445","hormone metabolic process",125,1,0.01,8,1,0.009,0.008,"Ttr"
"48","BP","GO:0006066","alcohol metabolic process",234,1,0.02,9,1,0.0168,0.00427350427350427,"Ttr"
"49","BP","GO:0044237","cellular metabolic process",7344,1,0.53,30,1,0.526,0.000136165577342048,"Ttr"
"50","BP","GO:0009987","cellular process",10738,1,0.77,34,1,0.7691,9.31272117712796e-05,"Ttr"
"51","BP","GO:0065007","biological regulation",8015,1,0.57,33,1,0.5741,0.000124766063630692,"Ttr"
"52","BP","GO:0008150","biological_process",13962,1,1,35,1,1,7.16229766509096e-05,"Ttr"
"53","BP","GO:0044238","primary metabolic process",7170,1,0.51,29,1,0.5135,0.000139470013947001,"Ttr"
"54","BP","GO:0065008","regulation of biological quality",3013,1,0.22,18,1,0.2158,0.000331895121141719,"Ttr"
