"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0001523","retinoid metabolic process",24,1,0,1,0.0017,0.0017,0.0416666666666667,"Ttr"
"32","BP","GO:0009112","nucleobase metabolic process",29,1,0,4,0.0021,0.0021,0.0344827586206897,"Ttr"
"33","BP","GO:0034308","primary alcohol metabolic process",40,1,0,5,0.0029,0.0029,0.025,"Ttr"
"34","BP","GO:0034754","cellular hormone metabolic process",54,1,0,7,0.0039,0.0039,0.0185185185185185,"Ttr"
"35","BP","GO:0009914","hormone transport",266,1,0.02,10,0.0191,0.0191,0.0037593984962406,"Ttr"
"36","BP","GO:0072521","purine-containing compound metabolic pro...",393,1,0.03,13,0.0281,0.0281,0.00254452926208651,"Ttr"
"47","BP","GO:0042445","hormone metabolic process",125,1,0.01,8,1,0.009,0.008,"Ttr"
"48","BP","GO:0006066","alcohol metabolic process",234,1,0.02,9,1,0.0168,0.00427350427350427,"Ttr"
"55","BP","GO:0016101","diterpenoid metabolic process",26,1,0,2,1,0.0019,0.0384615384615385,"Ttr"
"57","BP","GO:1901615","organic hydroxy compound metabolic proce...",343,1,0.02,11,1,0.0246,0.00291545189504373,"Ttr"
"60","BP","GO:0006720","isoprenoid metabolic process",45,1,0,6,1,0.0032,0.0222222222222222,"Ttr"
