"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0010107","potassium ion import",40,2,0.04,5,0.00058,0.00058,0.05,"Kcnd3, Wnk2"
"32","BP","GO:0051965","positive regulation of synapse assembly",73,2,0.07,15,0.00194,0.00194,0.0273972602739726,"Asic2, Prkca"
"33","BP","GO:0007043","cell-cell junction assembly",94,2,0.09,18,0.00319,0.00319,0.0212765957446809,"Cdh19, Prkca"
"34","BP","GO:0032414","positive regulation of ion transmembrane...",101,2,0.09,19,0.00367,0.00367,0.0198019801980198,"Asic2, Wnk2"
"35","BP","GO:0008016","regulation of heart contraction",142,2,0.13,27,0.00712,0.00712,0.0140845070422535,"Kcnd3, Prkca"
"36","BP","GO:0043271","negative regulation of ion transport",142,2,0.13,28,0.00712,0.00712,0.0140845070422535,"Wnk2, Prkca"
"37","BP","GO:1904064","positive regulation of cation transmembr...",143,2,0.13,29,0.00722,0.00722,0.013986013986014,"Asic2, Wnk2"
"38","BP","GO:0043409","negative regulation of MAPK cascade",151,2,0.14,30,0.00801,0.00801,0.0132450331125828,"Wnk2, Prkca"
"39","BP","GO:0098742","cell-cell adhesion via plasma-membrane a...",161,2,0.15,35,0.00907,0.00907,0.0124223602484472,"Mdga2, Cdh19"
"40","BP","GO:0006814","sodium ion transport",169,2,0.15,36,0.00995,0.00995,0.0118343195266272,"Asic2, Wnk2"
"41","BP","GO:0046777","protein autophosphorylation",221,2,0.2,49,0.01659,0.01659,0.00904977375565611,"Wnk2, Prkca"
"42","BP","GO:0034765","regulation of ion transmembrane transpor...",412,4,0.37,3,0.01726,0.00041,0.00970873786407767,"Asic2, Kcnd3, Wnk2, Prkca"
"43","BP","GO:0071467","cellular response to pH",20,1,0.02,50,0.018,0.018,0.05,"Asic2"
"44","BP","GO:0010738","regulation of protein kinase A signaling",20,1,0.02,51,0.018,0.018,0.05,"Pde10a"
"45","BP","GO:0010829","negative regulation of glucose transmemb...",21,1,0.02,53,0.01889,0.01889,0.0476190476190476,"Prkca"
"46","BP","GO:0006144","purine nucleobase metabolic process",21,1,0.02,54,0.01889,0.01889,0.0476190476190476,"Ttr"
"47","BP","GO:0032959","inositol trisphosphate biosynthetic proc...",21,1,0.02,55,0.01889,0.01889,0.0476190476190476,"Plce1"
"48","BP","GO:1902307","positive regulation of sodium ion transm...",21,1,0.02,56,0.01889,0.01889,0.0476190476190476,"Wnk2"
"50","BP","GO:0046852","positive regulation of bone remodeling",22,1,0.02,58,0.01979,0.01979,0.0454545454545455,"Prkca"
"51","BP","GO:0050927","positive regulation of positive chemotax...",22,1,0.02,59,0.01979,0.01979,0.0454545454545455,"Prkca"
"52","BP","GO:0045780","positive regulation of bone resorption",22,1,0.02,60,0.01979,0.01979,0.0454545454545455,"Prkca"
"53","BP","GO:0045822","negative regulation of heart contraction",23,1,0.02,62,0.02068,0.02068,0.0434782608695652,"Prkca"
"54","BP","GO:0050926","regulation of positive chemotaxis",23,1,0.02,63,0.02068,0.02068,0.0434782608695652,"Prkca"
"55","BP","GO:0043405","regulation of MAP kinase activity",254,2,0.23,64,0.02156,0.02156,0.0078740157480315,"Prkca, Plce1"
"56","BP","GO:0099622","cardiac muscle cell membrane repolarizat...",24,1,0.02,65,0.02157,0.02157,0.0416666666666667,"Kcnd3"
"57","BP","GO:0006066","alcohol metabolic process",255,2,0.23,66,0.02172,0.02172,0.00784313725490196,"Ttr, Plce1"
"58","BP","GO:0070372","regulation of ERK1 and ERK2 cascade",258,2,0.23,68,0.0222,0.0222,0.00775193798449612,"Wnk2, Prkca"
"59","BP","GO:0032957","inositol trisphosphate metabolic process",25,1,0.02,69,0.02246,0.02246,0.04,"Plce1"
"60","BP","GO:0034110","regulation of homotypic cell-cell adhesi...",26,1,0.02,70,0.02334,0.02334,0.0384615384615385,"Prkca"
