"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0016836","hydro-lyase activity",46,1,0,1,0.0033,0.0033,0.0217391304347826,"Car10"
"2","MF","GO:0008270","zinc ion binding",550,1,0.04,4,0.039,0.039,0.00181818181818182,"Car10"
"3","MF","GO:0046914","transition metal ion binding",721,1,0.05,5,0.0511,0.0511,0.0013869625520111,"Car10"
"4","MF","GO:0046872","metal ion binding",2790,1,0.2,6,0.1978,0.1978,0.0003584229390681,"Car10"
"5","MF","GO:0043169","cation binding",2855,1,0.2,7,0.2024,0.2024,0.000350262697022767,"Car10"
"6","MF","GO:0043167","ion binding",4397,1,0.31,8,0.3118,0.3118,0.000227427791676143,"Car10"
"7","MF","GO:0005488","binding",9687,1,0.69,10,0.6868,0.6868,0.000103231134510168,"Car10"
"8","MF","GO:0003674","molecular_function",14104,1,1,11,1,1,7.09018718094158e-05,"Car10"
"9","MF","GO:0016835","carbon-oxygen lyase activity",56,1,0,2,1,0.004,0.0178571428571429,"Car10"
"10","MF","GO:0016829","lyase activity",149,1,0.01,3,1,0.0106,0.00671140939597315,"Car10"
"11","MF","GO:0003824","catalytic activity",4538,1,0.32,9,1,0.3218,0.000220361392684002,"Car10"
"12","MF","GO:0000030","mannosyltransferase activity",25,0,0,12,1,1,0,""
"13","MF","GO:0000049","tRNA binding",53,0,0,13,1,1,0,""
"14","MF","GO:0000062","fatty-acyl-CoA binding",23,0,0,14,1,1,0,""
"15","MF","GO:0000149","SNARE binding",105,0,0.01,15,1,1,0,""
"16","MF","GO:0000166","nucleotide binding",1719,0,0.12,16,1,1,0,""
"17","MF","GO:0000175","3'-5'-exoribonuclease activity",27,0,0,17,1,1,0,""
"18","MF","GO:0000217","DNA secondary structure binding",23,0,0,18,1,1,0,""
"19","MF","GO:0000287","magnesium ion binding",163,0,0.01,19,1,1,0,""
"20","MF","GO:0000976","transcription regulatory region sequence...",608,0,0.04,20,1,1,0,""
"21","MF","GO:0000977","RNA polymerase II regulatory region sequ...",573,0,0.04,21,1,1,0,""
"22","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",397,0,0.03,22,1,1,0,""
"23","MF","GO:0000979","RNA polymerase II core promoter sequence...",35,0,0,23,1,1,0,""
"24","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",64,0,0,24,1,1,0,""
"25","MF","GO:0000981","DNA-binding transcription factor activit...",506,0,0.04,25,1,1,0,""
"26","MF","GO:0000987","proximal promoter sequence-specific DNA ...",406,0,0.03,26,1,1,0,""
"27","MF","GO:0000993","RNA polymerase II complex binding",36,0,0,27,1,1,0,""
"28","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",581,0,0.04,28,1,1,0,""
"29","MF","GO:0001046","core promoter sequence-specific DNA bind...",46,0,0,29,1,1,0,""
"30","MF","GO:0001047","core promoter binding",54,0,0,30,1,1,0,""
"31","BP","GO:0008150","biological_process",14188,1,1,1,1,1,7.0482097547223e-05,"Car10"
"32","BP","GO:0000002","mitochondrial genome maintenance",33,0,0,2,1,1,0,""
"33","BP","GO:0000003","reproduction",941,0,0.07,3,1,1,0,""
"34","BP","GO:0000018","regulation of DNA recombination",73,0,0.01,4,1,1,0,""
"35","BP","GO:0000027","ribosomal large subunit assembly",32,0,0,5,1,1,0,""
"36","BP","GO:0000038","very long-chain fatty acid metabolic pro...",24,0,0,6,1,1,0,""
"37","BP","GO:0000041","transition metal ion transport",74,0,0.01,7,1,1,0,""
"38","BP","GO:0000045","autophagosome assembly",91,0,0.01,8,1,1,0,""
"39","BP","GO:0000070","mitotic sister chromatid segregation",114,0,0.01,9,1,1,0,""
"40","BP","GO:0000075","cell cycle checkpoint",153,0,0.01,10,1,1,0,""
"41","BP","GO:0000077","DNA damage checkpoint",96,0,0.01,11,1,1,0,""
"42","BP","GO:0000079","regulation of cyclin-dependent protein s...",61,0,0,12,1,1,0,""
"43","BP","GO:0000082","G1/S transition of mitotic cell cycle",148,0,0.01,13,1,1,0,""
"44","BP","GO:0000086","G2/M transition of mitotic cell cycle",98,0,0.01,14,1,1,0,""
"45","BP","GO:0000096","sulfur amino acid metabolic process",30,0,0,15,1,1,0,""
"46","BP","GO:0000122","negative regulation of transcription by ...",651,0,0.05,16,1,1,0,""
"47","BP","GO:0000132","establishment of mitotic spindle orienta...",26,0,0,17,1,1,0,""
"48","BP","GO:0000154","rRNA modification",25,0,0,18,1,1,0,""
"49","BP","GO:0000165","MAPK cascade",605,0,0.04,19,1,1,0,""
"50","BP","GO:0000184","nuclear-transcribed mRNA catabolic proce...",36,0,0,20,1,1,0,""
"51","BP","GO:0000186","activation of MAPKK activity",33,0,0,21,1,1,0,""
"52","BP","GO:0000187","activation of MAPK activity",89,0,0.01,22,1,1,0,""
"53","BP","GO:0000209","protein polyubiquitination",170,0,0.01,23,1,1,0,""
"54","BP","GO:0000226","microtubule cytoskeleton organization",500,0,0.04,24,1,1,0,""
"55","BP","GO:0000245","spliceosomal complex assembly",44,0,0,25,1,1,0,""
"56","BP","GO:0000266","mitochondrial fission",34,0,0,26,1,1,0,""
"57","BP","GO:0000271","polysaccharide biosynthetic process",55,0,0,27,1,1,0,""
"58","BP","GO:0000272","polysaccharide catabolic process",20,0,0,28,1,1,0,""
"59","BP","GO:0000278","mitotic cell cycle",683,0,0.05,29,1,1,0,""
"60","BP","GO:0000280","nuclear division",310,0,0.02,30,1,1,0,""
"61","CC","GO:0005575","cellular_component",14387,1,1,1,1,1,6.95071939945784e-05,"Car10"
"62","CC","GO:0000118","histone deacetylase complex",56,0,0,2,1,1,0,""
"63","CC","GO:0000123","histone acetyltransferase complex",80,0,0.01,3,1,1,0,""
"64","CC","GO:0000139","Golgi membrane",214,0,0.01,4,1,1,0,""
"65","CC","GO:0000151","ubiquitin ligase complex",262,0,0.02,5,1,1,0,""
"66","CC","GO:0000152","nuclear ubiquitin ligase complex",38,0,0,6,1,1,0,""
"67","CC","GO:0000178","exosome (RNase complex)",22,0,0,7,1,1,0,""
"68","CC","GO:0000228","nuclear chromosome",482,0,0.03,8,1,1,0,""
"69","CC","GO:0000242","pericentriolar material",21,0,0,9,1,1,0,""
