"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005179","hormone activity",40,1,0,1,0.0029,0.0029,0.025,"Ttr"
"2","MF","GO:0042562","hormone binding",68,1,0,2,0.0049,0.0049,0.0147058823529412,"Ttr"
"3","MF","GO:0046982","protein heterodimerization activity",423,1,0.03,5,0.0306,0.0306,0.00236406619385343,"Ttr"
"4","MF","GO:0046983","protein dimerization activity",1064,1,0.08,6,0.077,0.077,0.00093984962406015,"Ttr"
"5","MF","GO:0042802","identical protein binding",1481,1,0.11,9,0.1072,0.1072,0.000675219446320054,"Ttr"
"6","MF","GO:0003674","molecular_function",13813,1,1,12,1,1,7.23955693911533e-05,"Ttr"
"7","MF","GO:0005488","binding",9516,1,0.69,11,1,0.6889,0.000105086170659941,"Ttr"
"8","MF","GO:0005102","signaling receptor binding",1094,1,0.08,7,1,0.0792,0.000914076782449726,"Ttr"
"9","MF","GO:0098772","molecular function regulator",1177,1,0.09,8,1,0.0852,0.000849617672047579,"Ttr"
"10","MF","GO:0030545","receptor regulator activity",235,1,0.02,4,1,0.017,0.00425531914893617,"Ttr"
"11","MF","GO:0048018","receptor ligand activity",211,1,0.02,3,1,0.0153,0.004739336492891,"Ttr"
"12","MF","GO:0005515","protein binding",6795,1,0.49,10,1,0.4919,0.000147167034584253,"Ttr"
"13","MF","GO:0000030","mannosyltransferase activity",25,0,0,13,1,1,0,""
"14","MF","GO:0000049","tRNA binding",53,0,0,14,1,1,0,""
"15","MF","GO:0000062","fatty-acyl-CoA binding",22,0,0,15,1,1,0,""
"16","MF","GO:0000149","SNARE binding",103,0,0.01,16,1,1,0,""
"17","MF","GO:0000166","nucleotide binding",1685,0,0.12,17,1,1,0,""
"18","MF","GO:0000175","3'-5'-exoribonuclease activity",27,0,0,18,1,1,0,""
"19","MF","GO:0000217","DNA secondary structure binding",21,0,0,19,1,1,0,""
"20","MF","GO:0000287","magnesium ion binding",163,0,0.01,20,1,1,0,""
"21","MF","GO:0000976","transcription regulatory region sequence...",596,0,0.04,21,1,1,0,""
"22","MF","GO:0000977","RNA polymerase II regulatory region sequ...",561,0,0.04,22,1,1,0,""
"23","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",392,0,0.03,23,1,1,0,""
"24","MF","GO:0000979","RNA polymerase II core promoter sequence...",34,0,0,24,1,1,0,""
"25","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",60,0,0,25,1,1,0,""
"26","MF","GO:0000981","DNA-binding transcription factor activit...",496,0,0.04,26,1,1,0,""
"27","MF","GO:0000987","proximal promoter sequence-specific DNA ...",401,0,0.03,27,1,1,0,""
"28","MF","GO:0000993","RNA polymerase II complex binding",36,0,0,28,1,1,0,""
"29","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",569,0,0.04,29,1,1,0,""
"30","MF","GO:0001046","core promoter sequence-specific DNA bind...",45,0,0,30,1,1,0,""
"31","BP","GO:0006144","purine nucleobase metabolic process",20,1,0,1,0.0014,0.0014,0.05,"Ttr"
"32","BP","GO:0001523","retinoid metabolic process",25,1,0,2,0.0018,0.0018,0.04,"Ttr"
"33","BP","GO:0034308","primary alcohol metabolic process",40,1,0,6,0.0029,0.0029,0.025,"Ttr"
"34","BP","GO:0034754","cellular hormone metabolic process",55,1,0,8,0.004,0.004,0.0181818181818182,"Ttr"
"35","BP","GO:0009914","hormone transport",254,1,0.02,11,0.0183,0.0183,0.00393700787401575,"Ttr"
"36","BP","GO:0006810","transport",3337,1,0.24,20,0.2404,0.2404,0.000299670362601139,"Ttr"
"37","BP","GO:0051234","establishment of localization",3450,1,0.25,21,0.2485,0.2485,0.000289855072463768,"Ttr"
"38","BP","GO:0051179","localization",4523,1,0.33,27,0.3258,0.3258,0.000221092195445501,"Ttr"
"39","BP","GO:0006629","lipid metabolic process",914,1,0.07,17,1,0.0658,0.00109409190371991,"Ttr"
"40","BP","GO:0034641","cellular nitrogen compound metabolic pro...",4417,1,0.32,26,1,0.3182,0.000226398007697532,"Ttr"
"41","BP","GO:0046483","heterocycle metabolic process",3919,1,0.28,23,1,0.2823,0.00025516713447308,"Ttr"
"42","BP","GO:1901564","organonitrogen compound metabolic proces...",4701,1,0.34,28,1,0.3386,0.000212720697723889,"Ttr"
"43","BP","GO:0071704","organic substance metabolic process",7403,1,0.53,32,1,0.5332,0.000135080372821829,"Ttr"
"44","BP","GO:0006139","nucleobase-containing compound metabolic...",3829,1,0.28,22,1,0.2758,0.000261164794985636,"Ttr"
"45","BP","GO:0044281","small molecule metabolic process",1332,1,0.1,18,1,0.0959,0.000750750750750751,"Ttr"
"46","BP","GO:0009112","nucleobase metabolic process",31,1,0,5,1,0.0022,0.032258064516129,"Ttr"
"47","BP","GO:0042445","hormone metabolic process",126,1,0.01,9,1,0.0091,0.00793650793650794,"Ttr"
"48","BP","GO:0006066","alcohol metabolic process",234,1,0.02,10,1,0.0169,0.00427350427350427,"Ttr"
"49","BP","GO:0065007","biological regulation",7908,1,0.57,34,1,0.5696,0.000126454223571067,"Ttr"
"50","BP","GO:0044237","cellular metabolic process",7254,1,0.52,31,1,0.5225,0.000137854976564654,"Ttr"
"51","BP","GO:0009987","cellular process",10610,1,0.76,35,1,0.7642,9.42507068803016e-05,"Ttr"
"52","BP","GO:0008150","biological_process",13883,1,1,36,1,1,7.20305409493625e-05,"Ttr"
"53","BP","GO:0044238","primary metabolic process",7088,1,0.51,30,1,0.5106,0.000141083521444695,"Ttr"
"54","BP","GO:0065008","regulation of biological quality",2965,1,0.21,19,1,0.2136,0.000337268128161889,"Ttr"
"55","BP","GO:0016101","diterpenoid metabolic process",27,1,0,3,1,0.0019,0.037037037037037,"Ttr"
"56","BP","GO:0008152","metabolic process",7769,1,0.56,33,1,0.5596,0.000128716694555284,"Ttr"
"57","BP","GO:1901615","organic hydroxy compound metabolic proce...",345,1,0.02,12,1,0.0249,0.00289855072463768,"Ttr"
"58","BP","GO:0006807","nitrogen compound metabolic process",6748,1,0.49,29,1,0.4861,0.00014819205690575,"Ttr"
"59","BP","GO:1901360","organic cyclic compound metabolic proces...",4076,1,0.29,25,1,0.2936,0.000245338567222767,"Ttr"
"60","BP","GO:0006720","isoprenoid metabolic process",48,1,0,7,1,0.0035,0.0208333333333333,"Ttr"
"61","CC","GO:0005615","extracellular space",779,1,0.06,1,0.055,0.055,0.00128369704749679,"Ttr"
"62","CC","GO:0044421","extracellular region part",956,1,0.07,2,0.068,0.068,0.00104602510460251,"Ttr"
"63","CC","GO:0005576","extracellular region",1226,1,0.09,3,0.087,0.087,0.000815660685154976,"Ttr"
"64","CC","GO:0032991","protein-containing complex",4343,1,0.31,4,0.308,0.308,0.000230255583697905,"Ttr"
"65","CC","GO:0005575","cellular_component",14104,1,1,5,1,1,7.09018718094158e-05,"Ttr"
"66","CC","GO:0000118","histone deacetylase complex",55,0,0,6,1,1,0,""
"67","CC","GO:0000123","histone acetyltransferase complex",79,0,0.01,7,1,1,0,""
"68","CC","GO:0000139","Golgi membrane",213,0,0.02,8,1,1,0,""
"69","CC","GO:0000151","ubiquitin ligase complex",259,0,0.02,9,1,1,0,""
"70","CC","GO:0000152","nuclear ubiquitin ligase complex",38,0,0,10,1,1,0,""
"71","CC","GO:0000178","exosome (RNase complex)",22,0,0,11,1,1,0,""
"72","CC","GO:0000228","nuclear chromosome",475,0,0.03,12,1,1,0,""
"73","CC","GO:0000242","pericentriolar material",20,0,0,13,1,1,0,""
"74","CC","GO:0000307","cyclin-dependent protein kinase holoenzy...",37,0,0,14,1,1,0,""
"75","CC","GO:0000313","organellar ribosome",89,0,0.01,15,1,1,0,""
"76","CC","GO:0000314","organellar small ribosomal subunit",29,0,0,16,1,1,0,""
"77","CC","GO:0000315","organellar large ribosomal subunit",58,0,0,17,1,1,0,""
"78","CC","GO:0000323","lytic vacuole",355,0,0.03,18,1,1,0,""
"79","CC","GO:0000407","phagophore assembly site",29,0,0,19,1,1,0,""
"80","CC","GO:0000428","DNA-directed RNA polymerase complex",95,0,0.01,20,1,1,0,""
"81","CC","GO:0000502","proteasome complex",61,0,0,21,1,1,0,""
"82","CC","GO:0000775","chromosome, centromeric region",152,0,0.01,22,1,1,0,""
