"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0008047","enzyme activator activity",414,3,0.2,2,0.00084,0.00084,0.0072463768115942,"Apoe, Rgs6, Nrg1"
"2","MF","GO:0048018","receptor ligand activity",296,2,0.15,6,0.00865,0.00865,0.00675675675675676,"Ttr, Nrg1"
"3","MF","GO:0005515","protein binding",7688,8,3.79,4,0.01003,0.00256,0.00104058272632674,"Ttr, Apoe, Dpp10, Rgs6, Nrg1, Pcdh15, Elmo1, Erbb4"
"4","MF","GO:0048156","tau protein binding",21,1,0.01,8,0.01032,0.01032,0.0476190476190476,"Apoe"
"5","MF","GO:0098772","molecular function regulator",1379,6,0.68,1,0.01103,9e-06,0.00435097897026831,"Ttr, Apoe, Dpp10, Rgs6, Nrg1, Elmo1"
"6","MF","GO:0050750","low-density lipoprotein particle recepto...",23,1,0.01,9,0.0113,0.0113,0.0434782608695652,"Apoe"
"7","MF","GO:0071813","lipoprotein particle binding",25,1,0.01,10,0.01227,0.01227,0.04,"Apoe"
"8","MF","GO:0071814","protein-lipid complex binding",25,1,0.01,11,0.01227,0.01227,0.04,"Apoe"
"9","MF","GO:0070325","lipoprotein particle receptor binding",25,1,0.01,12,0.01227,0.01227,0.04,"Apoe"
"10","MF","GO:0015248","sterol transporter activity",27,1,0.01,13,0.01325,0.01325,0.037037037037037,"Apoe"
"11","MF","GO:0045499","chemorepellent activity",27,1,0.01,14,0.01325,0.01325,0.037037037037037,"Nrg1"
"12","MF","GO:0005154","epidermal growth factor receptor binding",32,1,0.02,15,0.01569,0.01569,0.03125,"Erbb4"
"13","MF","GO:0043394","proteoglycan binding",33,1,0.02,16,0.01617,0.01617,0.0303030303030303,"Apoe"
"14","MF","GO:0046983","protein dimerization activity",1214,3,0.6,17,0.01763,0.01763,0.00247116968698517,"Ttr, Apoe, Erbb4"
"15","MF","GO:0015459","potassium channel regulator activity",40,1,0.02,18,0.01958,0.01958,0.025,"Dpp10"
"16","MF","GO:0015485","cholesterol binding",40,1,0.02,19,0.01958,0.01958,0.025,"Apoe"
"17","MF","GO:0032934","sterol binding",46,1,0.02,20,0.02248,0.02248,0.0217391304347826,"Apoe"
"18","MF","GO:0004714","transmembrane receptor protein tyrosine ...",53,1,0.03,21,0.02586,0.02586,0.0188679245283019,"Erbb4"
"19","MF","GO:0001540","amyloid-beta binding",55,1,0.03,22,0.02683,0.02683,0.0181818181818182,"Apoe"
"20","MF","GO:0016209","antioxidant activity",66,1,0.03,23,0.03212,0.03212,0.0151515151515152,"Apoe"
"21","MF","GO:0019199","transmembrane receptor protein kinase ac...",69,1,0.03,24,0.03356,0.03356,0.0144927536231884,"Erbb4"
"22","MF","GO:0030295","protein kinase activator activity",69,1,0.03,25,0.03356,0.03356,0.0144927536231884,"Nrg1"
"23","MF","GO:0005179","hormone activity",70,1,0.03,26,0.03404,0.03404,0.0142857142857143,"Ttr"
"24","MF","GO:0043178","alcohol binding",71,1,0.04,27,0.03451,0.03451,0.0140845070422535,"Apoe"
"25","MF","GO:0030971","receptor tyrosine kinase binding",71,1,0.04,28,0.03451,0.03451,0.0140845070422535,"Nrg1"
"26","MF","GO:0019209","kinase activator activity",75,1,0.04,29,0.03643,0.03643,0.0133333333333333,"Nrg1"
"27","MF","GO:0005496","steroid binding",81,1,0.04,31,0.03929,0.03929,0.0123456790123457,"Apoe"
"28","MF","GO:0042802","identical protein binding",1680,3,0.83,32,0.04176,0.04176,0.00178571428571429,"Ttr, Apoe, Erbb4"
"29","MF","GO:0042562","hormone binding",92,1,0.05,33,0.04452,0.04452,0.0108695652173913,"Ttr"
"30","MF","GO:1990782","protein tyrosine kinase binding",94,1,0.05,34,0.04547,0.04547,0.0106382978723404,"Nrg1"
"31","BP","GO:2000010","positive regulation of protein localizat...",20,2,0.01,1,4e-05,4e-05,0.1,"Nrg1, Erbb4"
"32","BP","GO:0001964","startle response",30,2,0.01,3,9.1e-05,9.1e-05,0.0666666666666667,"Nrg1, Pcdh15"
"33","BP","GO:0007626","locomotory behavior",225,3,0.11,4,0.00014,0.00014,0.0133333333333333,"Apoe, Nrg1, Pcdh15"
"34","BP","GO:0030336","negative regulation of cell migration",244,3,0.12,7,0.00018,0.00018,0.0122950819672131,"Apoe, Nrg1, Erbb4"
"35","BP","GO:0055025","positive regulation of cardiac muscle ti...",47,2,0.02,11,0.00023,0.00023,0.0425531914893617,"Nrg1, Erbb4"
"36","BP","GO:0045773","positive regulation of axon extension",49,2,0.02,12,0.00025,0.00025,0.0408163265306122,"Apoe, Nrg1"
"37","BP","GO:2001222","regulation of neuron migration",49,2,0.02,13,0.00025,0.00025,0.0408163265306122,"Nrg1, Erbb4"
