"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0006144","purine nucleobase metabolic process",21,1,0,1,0.0013,0.0013,0.0476190476190476,"Ttr"
"32","BP","GO:0001523","retinoid metabolic process",38,1,0,3,0.0023,0.0023,0.0263157894736842,"Ttr"
"33","BP","GO:0034308","primary alcohol metabolic process",50,1,0,6,0.003,0.003,0.02,"Ttr"
"34","BP","GO:0034754","cellular hormone metabolic process",83,1,0,8,0.005,0.005,0.0120481927710843,"Ttr"
"35","BP","GO:0009914","hormone transport",321,1,0.02,11,0.0193,0.0193,0.00311526479750779,"Ttr"
"46","BP","GO:0009112","nucleobase metabolic process",34,1,0,2,1,0.002,0.0294117647058824,"Ttr"
"47","BP","GO:0042445","hormone metabolic process",172,1,0.01,9,1,0.0104,0.00581395348837209,"Ttr"
"48","BP","GO:0006066","alcohol metabolic process",279,1,0.02,10,1,0.0168,0.003584229390681,"Ttr"
"55","BP","GO:0016101","diterpenoid metabolic process",40,1,0,4,1,0.0024,0.025,"Ttr"
"57","BP","GO:1901615","organic hydroxy compound metabolic proce...",420,1,0.03,12,1,0.0253,0.00238095238095238,"Ttr"
"60","BP","GO:0006720","isoprenoid metabolic process",64,1,0,7,1,0.0039,0.015625,"Ttr"
