"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005178","integrin binding",117,1,0.01,1,0.0071,0.0071,0.00854700854700855,"Thy1"
"2","MF","GO:0005096","GTPase activator activity",225,1,0.01,3,0.0136,0.0136,0.00444444444444444,"Thy1"
"3","MF","GO:0035091","phosphatidylinositol binding",234,1,0.01,4,0.0141,0.0141,0.00427350427350427,"Thy1"
"4","MF","GO:0030695","GTPase regulator activity",243,1,0.01,5,0.0147,0.0147,0.00411522633744856,"Thy1"
"5","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",280,1,0.02,6,0.0169,0.0169,0.00357142857142857,"Thy1"
"6","MF","GO:0005543","phospholipid binding",386,1,0.02,7,0.0233,0.0233,0.00259067357512953,"Thy1"
"7","MF","GO:0008047","enzyme activator activity",414,1,0.02,8,0.025,0.025,0.00241545893719807,"Thy1"
"8","MF","GO:0008289","lipid binding",644,1,0.04,9,0.0389,0.0389,0.0015527950310559,"Thy1"
"9","MF","GO:0019901","protein kinase binding",694,1,0.04,10,0.0419,0.0419,0.00144092219020173,"Thy1"
"10","MF","GO:0019900","kinase binding",767,1,0.05,11,0.0463,0.0463,0.00130378096479791,"Thy1"
"11","MF","GO:0030234","enzyme regulator activity",832,1,0.05,12,0.0502,0.0502,0.00120192307692308,"Thy1"
"12","MF","GO:0098772","molecular function regulator",1409,1,0.09,15,0.085,0.085,0.0007097232079489,"Thy1"
"13","MF","GO:0097367","carbohydrate derivative binding",1945,1,0.12,16,0.1173,0.1173,0.00051413881748072,"Thy1"
"14","MF","GO:0019899","enzyme binding",2160,1,0.13,17,0.1303,0.1303,0.000462962962962963,"Thy1"
"15","MF","GO:0043168","anion binding",2471,1,0.15,18,0.1491,0.1491,0.000404694455685957,"Thy1"
"16","MF","GO:0043167","ion binding",4944,1,0.3,19,0.2983,0.2983,0.000202265372168285,"Thy1"
"17","MF","GO:0003674","molecular_function",16575,1,1,22,1,1,6.03318250377074e-05,"Thy1"
"18","MF","GO:0005488","binding",11001,1,0.66,21,1,0.6637,9.09008271975275e-05,"Thy1"
"19","MF","GO:0005102","signaling receptor binding",1343,1,0.08,14,1,0.081,0.000744601638123604,"Thy1"
"20","MF","GO:0044877","protein-containing complex binding",1123,1,0.07,13,1,0.0678,0.000890471950133571,"Thy1"
"21","MF","GO:0050839","cell adhesion molecule binding",218,1,0.01,2,1,0.0132,0.00458715596330275,"Thy1"
"22","MF","GO:0005515","protein binding",7786,1,0.47,20,1,0.4697,0.000128435653737478,"Thy1"
"23","MF","GO:0000030","mannosyltransferase activity",25,0,0,23,1,1,0,""
"24","MF","GO:0000049","tRNA binding",54,0,0,24,1,1,0,""
"25","MF","GO:0000062","fatty-acyl-CoA binding",25,0,0,25,1,1,0,""
"26","MF","GO:0000149","SNARE binding",114,0,0.01,26,1,1,0,""
"27","MF","GO:0000166","nucleotide binding",1890,0,0.11,27,1,1,0,""
"28","MF","GO:0000175","3'-5'-exoribonuclease activity",28,0,0,28,1,1,0,""
"29","MF","GO:0000217","DNA secondary structure binding",23,0,0,29,1,1,0,""
"30","MF","GO:0000287","magnesium ion binding",180,0,0.01,30,1,1,0,""
"31","BP","GO:0060219","camera-type eye photoreceptor cell diffe...",21,1,0,1,0.0013,0.0013,0.0476190476190476,"Thy1"
"32","BP","GO:0002693","positive regulation of cellular extravas...",21,1,0,2,0.0013,0.0013,0.0476190476190476,"Thy1"
"33","BP","GO:0050858","negative regulation of antigen receptor-...",22,1,0,3,0.0013,0.0013,0.0454545454545455,"Thy1"
"34","BP","GO:0051894","positive regulation of focal adhesion as...",25,1,0,4,0.0015,0.0015,0.04,"Thy1"
"35","BP","GO:0061099","negative regulation of protein tyrosine ...",26,1,0,5,0.0016,0.0016,0.0384615384615385,"Thy1"
"36","BP","GO:0042462","eye photoreceptor cell development",33,1,0,9,0.002,0.002,0.0303030303030303,"Thy1"
"37","BP","GO:0051281","positive regulation of release of seques...",34,1,0,10,0.002,0.002,0.0294117647058824,"Thy1"
"38","BP","GO:0070570","regulation of neuron projection regenera...",35,1,0,11,0.0021,0.0021,0.0285714285714286,"Thy1"
"39","BP","GO:0050856","regulation of T cell receptor signaling ...",37,1,0,12,0.0022,0.0022,0.027027027027027,"Thy1"
"40","BP","GO:0034113","heterotypic cell-cell adhesion",42,1,0,13,0.0025,0.0025,0.0238095238095238,"Thy1"
"41","BP","GO:0043113","receptor clustering",63,1,0,26,0.0038,0.0038,0.0158730158730159,"Thy1"
"42","BP","GO:0050771","negative regulation of axonogenesis",67,1,0,28,0.004,0.004,0.0149253731343284,"Thy1"
"43","BP","GO:0007229","integrin-mediated signaling pathway",83,1,0,36,0.005,0.005,0.0120481927710843,"Thy1"
"44","BP","GO:0050870","positive regulation of T cell activation",165,1,0.01,64,0.0099,0.0099,0.00606060606060606,"Thy1"
"45","BP","GO:0043547","positive regulation of GTPase activity",189,1,0.01,71,0.0114,0.0114,0.00529100529100529,"Thy1"
"46","BP","GO:0046777","protein autophosphorylation",231,1,0.01,81,0.0139,0.0139,0.00432900432900433,"Thy1"
"47","BP","GO:0030336","negative regulation of cell migration",245,1,0.01,87,0.0147,0.0147,0.00408163265306122,"Thy1"
"48","BP","GO:2000146","negative regulation of cell motility",256,1,0.02,89,0.0154,0.0154,0.00390625,"Thy1"
"49","BP","GO:0043087","regulation of GTPase activity",265,1,0.02,93,0.0159,0.0159,0.00377358490566038,"Thy1"
"50","BP","GO:0051271","negative regulation of cellular componen...",291,1,0.02,104,0.0175,0.0175,0.00343642611683849,"Thy1"
"51","BP","GO:0040013","negative regulation of locomotion",306,1,0.02,106,0.0184,0.0184,0.00326797385620915,"Thy1"
"52","BP","GO:0071900","regulation of protein serine/threonine k...",393,1,0.02,124,0.0236,0.0236,0.00254452926208651,"Thy1"
"53","BP","GO:0051345","positive regulation of hydrolase activit...",451,1,0.03,136,0.0271,0.0271,0.00221729490022173,"Thy1"
"54","BP","GO:0001525","angiogenesis",454,1,0.03,137,0.0273,0.0273,0.00220264317180617,"Thy1"
"55","BP","GO:0048514","blood vessel morphogenesis",552,1,0.03,155,0.0332,0.0332,0.00181159420289855,"Thy1"
"56","BP","GO:0001568","blood vessel development",636,1,0.04,172,0.0382,0.0382,0.00157232704402516,"Thy1"
"57","BP","GO:0001944","vasculature development",666,1,0.04,179,0.0401,0.0401,0.0015015015015015,"Thy1"
"58","BP","GO:0072358","cardiovascular system development",678,1,0.04,180,0.0408,0.0408,0.00147492625368732,"Thy1"
"59","BP","GO:0035239","tube morphogenesis",800,1,0.05,195,0.0481,0.0481,0.00125,"Thy1"
"60","BP","GO:0051336","regulation of hydrolase activity",836,1,0.05,200,0.0503,0.0503,0.00119617224880383,"Thy1"
"61","CC","GO:0031233","intrinsic component of external side of ...",20,1,0,1,0.0012,0.0012,0.05,"Thy1"
"62","CC","GO:0030673","axolemma",21,1,0,2,0.0012,0.0012,0.0476190476190476,"Thy1"
"63","CC","GO:0032809","neuronal cell body membrane",31,1,0,3,0.0018,0.0018,0.032258064516129,"Thy1"
"64","CC","GO:0032590","dendrite membrane",44,1,0,5,0.0026,0.0026,0.0227272727272727,"Thy1"
"65","CC","GO:0046658","anchored component of plasma membrane",57,1,0,6,0.0034,0.0034,0.0175438596491228,"Thy1"
"66","CC","GO:0030426","growth cone",196,1,0.01,11,0.0116,0.0116,0.00510204081632653,"Thy1"
"67","CC","GO:0030427","site of polarized growth",198,1,0.01,12,0.0117,0.0117,0.00505050505050505,"Thy1"
"68","CC","GO:0043209","myelin sheath",208,1,0.01,13,0.0123,0.0123,0.00480769230769231,"Thy1"
"69","CC","GO:0016324","apical plasma membrane",270,1,0.02,14,0.016,0.016,0.0037037037037037,"Thy1"
"70","CC","GO:0045121","membrane raft",336,1,0.02,17,0.0199,0.0199,0.00297619047619048,"Thy1"
"71","CC","GO:0098857","membrane microdomain",337,1,0.02,18,0.0199,0.0199,0.0029673590504451,"Thy1"
"72","CC","GO:0098589","membrane region",347,1,0.02,19,0.0205,0.0205,0.00288184438040346,"Thy1"
"73","CC","GO:0150034","distal axon",351,1,0.02,20,0.0208,0.0208,0.00284900284900285,"Thy1"
"74","CC","GO:0045177","apical part of cell",358,1,0.02,21,0.0212,0.0212,0.00279329608938547,"Thy1"
"75","CC","GO:0098805","whole membrane",1012,1,0.06,32,0.0598,0.0598,0.000988142292490119,"Thy1"
"76","CC","GO:0005783","endoplasmic reticulum",1517,1,0.09,38,0.0897,0.0897,0.000659195781147001,"Thy1"
"77","CC","GO:0005829","cytosol",2994,1,0.18,43,0.177,0.177,0.000334001336005344,"Thy1"
"78","CC","GO:0012505","endomembrane system",3395,1,0.2,44,0.2007,0.2007,0.000294550810014728,"Thy1"
"79","CC","GO:0044444","cytoplasmic part",7505,1,0.44,50,0.4437,0.4437,0.000133244503664224,"Thy1"
"80","CC","GO:0043231","intracellular membrane-bounded organelle",9108,1,0.54,51,0.5385,0.5385,0.000109793588054458,"Thy1"
"81","CC","GO:0005737","cytoplasm",9686,1,0.57,52,0.5727,0.5727,0.000103241792277514,"Thy1"
"82","CC","GO:0043227","membrane-bounded organelle",9694,1,0.57,53,0.5731,0.5731,0.00010315659170621,"Thy1"
"83","CC","GO:0043229","intracellular organelle",10538,1,0.62,54,0.623,0.623,9.48946669197191e-05,"Thy1"
"84","CC","GO:0043226","organelle",10801,1,0.64,55,0.6386,0.6386,9.25840199981483e-05,"Thy1"
"85","CC","GO:0005622","intracellular",11941,1,0.71,56,0.706,0.706,8.37450799765514e-05,"Thy1"
"86","CC","GO:0044424","intracellular part",11941,1,0.71,57,0.706,0.706,8.37450799765514e-05,"Thy1"
