"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0043394","proteoglycan binding",29,5,0.3,1,1e-05,1e-05,0.172413793103448,"Apoe, Ptprc, Lpl, Ctsb, Hpse"
"2","MF","GO:0071813","lipoprotein particle binding",25,4,0.26,7,0.00011,0.00011,0.16,"Apoe, Lpl, Ldlr, Colec12"
"3","MF","GO:0005126","cytokine receptor binding",182,8,1.86,12,0.00057,0.00057,0.043956043956044,"Tgfbr2, Tnfsf8, Ccl4, Ccl3, Csf1, Cd300lf, Il12b, Efna5"
"4","MF","GO:0042802","identical protein binding",1612,29,16.49,16,0.00173,0.00173,0.0179900744416873,"Cadm1, Acaca, Prkg1, Myo5a, Apoe, Flt1, Ctse, Rassf3, Baiap2l2, Ccl4, Abcd2, Csf1, Lpl, Plek, Plekhh2, Cst7, Cpq, Adarb1, Ifi207, Ttr, Bcl2, Kynu, Pacsin1, Il12b, Ldlr, Zc3hav1, Dgkd, Clip1, Kcnj2"
"5","MF","GO:0005543","phospholipid binding",365,13,3.73,6,0.00173,9.6e-05,0.0356164383561644,"Myo1e, Apoe, Axl, Baiap2l2, Cd300lf, Plek, Thy1, Asap1, Arap2, Anxa3, Pacsin1, Gab2, Kcnj2"
"6","MF","GO:0001540","amyloid-beta binding",54,4,0.55,17,0.00224,0.00224,0.0740740740740741,"Apbb2, Apoe, Ldlrad3, Ldlr"
"7","MF","GO:0008047","enzyme activator activity",398,11,4.07,18,0.00263,0.00263,0.0276381909547739,"Fgf13, Igf1, Arhgap24, Nrp1, Apoe, Thy1, Gnas, Asap1, Arap2, Apobec1, Tbc1d4"
"8","MF","GO:0005125","cytokine activity",97,5,0.99,19,0.00317,0.00317,0.0515463917525773,"Tnfsf8, Ccl4, Ccl3, Csf1, Il12b"
"9","MF","GO:0019199","transmembrane receptor protein kinase ac...",65,4,0.66,21,0.00439,0.00439,0.0615384615384615,"Nrp1, Tgfbr2, Flt1, Axl"
"10","MF","GO:0070888","E-box binding",35,3,0.36,22,0.0054,0.0054,0.0857142857142857,"Hif1a, Mitf, Lmo2"
"11","MF","GO:0008092","cytoskeletal protein binding",857,17,8.77,24,0.00666,0.00666,0.0198366394399067,"Fgf13, Myo1e, Myo5a, Ctnna3, Apoe, Axl, Ptprc, Plekhh2, Gnas, Myo1f, Gas2l3, Gas7, Pacsin1, Actr3b, Clip1, Fmn1, Plekhm2"
"12","MF","GO:0008201","heparin binding",116,5,1.19,25,0.00677,0.00677,0.0431034482758621,"Nrp1, Apoe, Serpine2, Ptprc, Lpl"
"13","MF","GO:0005547","phosphatidylinositol-3,4,5-trisphosphate...",38,3,0.39,26,0.00681,0.00681,0.0789473684210526,"Asap1, Arap2, Gab2"
"14","MF","GO:0046983","protein dimerization activity",1156,21,11.82,27,0.00709,0.00709,0.0181660899653979,"Cadm1, Prkg1, Myo5a, Hif1a, Apoe, Ctse, Axl, Abcd2, Csf1, Lpl, Plek, Mitf, Cst7, Cpq, Adarb1, Ttr, Bcl2, Kynu, Il12b, Hpse, Dgkd"
"15","MF","GO:0004984","olfactory receptor activity",44,3,0.45,29,0.01023,0.01023,0.0681818181818182,"Olfr111, Olfr110, Olfr112"
"16","MF","GO:0005515","protein binding",7287,100,74.53,2,0.01058,1.9e-05,0.0137230684781117,"Fgf13, Myo1e, Apbb2, Cacna1a, Etl4, Cadm1, Acaca, Prkg1, Igf1, Hdac9, Myo5a, Nrp1, Hif1a, Ctnna3, Tgfbr2, Tmem163, Apoe, Serpine2, Cd9, Flt1, Fnip2, Akt3, Ctse, Axl, Rassf3, Tnfsf8, Dkk2, Baiap2l2, Cpeb2, Ccl4, Abcd2, Ccl3, Csf1, Cd300lf, Ptprc, Lpl, Plek, Plekhh2, Gng12, Mitf, Thy1, Plaur, Gnas, Cst7, Bcar3, Asap1, Cacnb4, Cpq, Socs6, Adarb1, Ifi207, Trps1, Ctsb, Gab3, Ttr, Myo1f, Cd274, Rnf144b, Dgkz, Samsn1, Gas2l3, Bcl2, Anxa3, Gas7, Cd244a, Hbb-bs, Kynu, Pacsin1, Apobec1, Il12b, Gab2, Ldlr, Hacd2, Asph, Prickle1, Hpse, Sp100, Atp8a1, Peli2, Actr3b, Dna2, Zc3hav1, Dgkd, Ly86, Clint1, Cd180, Cd48, Clip1, Rtp4, Efna5, Satb2, Lamp2, Lrguk, Neat1, Tbc1d4, Fmn1, Eya4, Kcnj2, Plekhm2, Lmo2"
"17","MF","GO:0003779","actin binding",368,9,3.76,30,0.01345,0.01345,0.0244565217391304,"Myo1e, Myo5a, Ctnna3, Plekhh2, Myo1f, Gas2l3, Gas7, Actr3b, Fmn1"
"18","MF","GO:0004714","transmembrane receptor protein tyrosine ...",49,3,0.5,31,0.01371,0.01371,0.0612244897959184,"Nrp1, Flt1, Axl"
"19","MF","GO:0016787","hydrolase activity",2038,31,20.85,32,0.01418,0.01418,0.0152109911678116,"Myo1e, Hdac9, Myo5a, Ctse, Otulin, Abcd2, Ptprc, Lpl, Gng12, Gnas, Acer3, Cpq, Adarb1, Ctsb, Myo1f, Rab7b, Gm4951, Kynu, Usp12, Apobec1, Abhd12, Hpse, Atp8a1, Nceh1, Dna2, Abcb1b, Pnpla7, Plpp1, Eya4, St14, Ctsz"
"20","MF","GO:0001786","phosphatidylserine binding",50,3,0.51,33,0.01448,0.01448,0.06,"Axl, Cd300lf, Asap1"
"21","MF","GO:0042803","protein homodimerization activity",787,15,8.05,34,0.01489,0.01489,0.0190597204574333,"Cadm1, Prkg1, Apoe, Ctse, Abcd2, Csf1, Lpl, Plek, Cst7, Cpq, Adarb1, Bcl2, Kynu, Il12b, Dgkd"
"22","MF","GO:0016810","hydrolase activity, acting on carbon-nit...",94,4,0.96,36,0.01577,0.01577,0.0425531914893617,"Hdac9, Acer3, Adarb1, Apobec1"
"23","MF","GO:0008083","growth factor activity",94,4,0.96,37,0.01577,0.01577,0.0425531914893617,"Fgf13, Igf1, Csf1, Il12b"
"24","MF","GO:1902936","phosphatidylinositol bisphosphate bindin...",95,4,0.97,38,0.01633,0.01633,0.0421052631578947,"Plek, Asap1, Gab2, Kcnj2"
"25","MF","GO:0052689","carboxylic ester hydrolase activity",99,4,1.01,40,0.01872,0.01872,0.0404040404040404,"Lpl, Abhd12, Nceh1, Pnpla7"
"26","MF","GO:0005102","signaling receptor binding",1213,25,12.41,11,0.01888,0.00057,0.0206100577081616,"Fgf13, Cadm1, Igf1, Hif1a, Tgfbr2, Apoe, Serpine2, Cd9, Tnfsf8, Dkk2, Ccl4, Ccl3, Csf1, Cd300lf, Ptprc, Lpl, Thy1, Plaur, Gnas, Ttr, Cd244a, Il12b, Gab2, Rtp4, Efna5"
"27","MF","GO:0019239","deaminase activity",21,2,0.21,41,0.01922,0.01922,0.0952380952380952,"Adarb1, Apobec1"
"28","MF","GO:0005080","protein kinase C binding",56,3,0.57,42,0.01959,0.01959,0.0535714285714286,"Hdac9, Akt3, Plek"
