"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0019239","deaminase activity",21,1,0,1,0.0027,0.0027,0.0476190476190476,"Adarb2"
"2","MF","GO:0016814","hydrolase activity, acting on carbon-nit...",23,1,0,2,0.003,0.003,0.0434782608695652,"Adarb2"
"3","MF","GO:0005179","hormone activity",66,1,0.01,3,0.0085,0.0085,0.0151515151515152,"Ttr"
"4","MF","GO:0003725","double-stranded RNA binding",77,1,0.01,4,0.01,0.01,0.012987012987013,"Adarb2"
"5","MF","GO:0042562","hormone binding",82,1,0.01,5,0.0106,0.0106,0.0121951219512195,"Ttr"
"6","MF","GO:0046982","protein heterodimerization activity",464,1,0.06,9,0.0593,0.0593,0.0021551724137931,"Ttr"
"7","MF","GO:0046983","protein dimerization activity",1163,1,0.15,11,0.1452,0.1452,0.000859845227858985,"Ttr"
"8","MF","GO:0042802","identical protein binding",1616,1,0.21,14,0.1987,0.1987,0.000618811881188119,"Ttr"
"9","MF","GO:0046872","metal ion binding",2995,1,0.39,17,0.3509,0.3509,0.000333889816360601,"Adarb2"
"10","MF","GO:0043169","cation binding",3069,1,0.4,18,0.3586,0.3586,0.000325839035516455,"Adarb2"
"11","MF","GO:0043167","ion binding",4730,1,0.61,22,0.5196,0.5196,0.000211416490486258,"Adarb2"
"12","MF","GO:0003824","catalytic activity",4873,1,0.63,23,1,0.5324,0.000205212394828648,"Adarb2"
"13","MF","GO:0098772","molecular function regulator",1314,1,0.17,13,1,0.1632,0.00076103500761035,"Ttr"
"14","MF","GO:0005515","protein binding",7455,1,0.97,24,1,0.7334,0.000134138162307176,"Ttr"
"15","MF","GO:0030545","receptor regulator activity",304,1,0.04,8,1,0.0391,0.00328947368421053,"Ttr"
"16","MF","GO:0005488","binding",10457,2,1.36,19,1,0.4602,0.00019125944343502,"Ttr, Adarb2"
"17","MF","GO:1901363","heterocyclic compound binding",4258,1,0.55,20,1,0.4762,0.000234852043212776,"Adarb2"
"18","MF","GO:0016810","hydrolase activity, acting on carbon-nit...",100,1,0.01,6,1,0.0129,0.01,"Adarb2"
"19","MF","GO:0005102","signaling receptor binding",1260,1,0.16,12,1,0.1568,0.000793650793650794,"Ttr"
"20","MF","GO:0003723","RNA binding",961,1,0.12,10,1,0.1208,0.00104058272632674,"Adarb2"
"21","MF","GO:0016787","hydrolase activity",2111,1,0.27,15,1,0.2552,0.000473709142586452,"Adarb2"
"22","MF","GO:0003674","molecular_function",15414,2,2,25,1,1,0.000129752173348904,"Ttr, Adarb2"
"23","MF","GO:0003676","nucleic acid binding",2592,1,0.34,16,1,0.308,0.000385802469135802,"Adarb2"
"24","MF","GO:0097159","organic cyclic compound binding",4323,1,0.56,21,1,0.4823,0.000231320842007865,"Adarb2"
"25","MF","GO:0048018","receptor ligand activity",277,1,0.04,7,1,0.0356,0.0036101083032491,"Ttr"
"26","MF","GO:0000030","mannosyltransferase activity",25,0,0,26,1,1,0,""
"27","MF","GO:0000049","tRNA binding",54,0,0.01,27,1,1,0,""
"28","MF","GO:0000062","fatty-acyl-CoA binding",24,0,0,28,1,1,0,""
"29","MF","GO:0000149","SNARE binding",110,0,0.01,29,1,1,0,""
"30","MF","GO:0000166","nucleotide binding",1831,0,0.24,30,1,1,0,""
"31","BP","GO:0006144","purine nucleobase metabolic process",20,1,0,1,0.0026,0.0026,0.05,"Ttr"
"32","BP","GO:0001523","retinoid metabolic process",27,1,0,2,0.0035,0.0035,0.037037037037037,"Ttr"
"33","BP","GO:0034308","primary alcohol metabolic process",43,1,0.01,6,0.0055,0.0055,0.0232558139534884,"Ttr"
"34","BP","GO:0034754","cellular hormone metabolic process",65,1,0.01,8,0.0084,0.0084,0.0153846153846154,"Ttr"
"35","BP","GO:0009451","RNA modification",132,1,0.02,9,0.017,0.017,0.00757575757575758,"Adarb2"
"36","BP","GO:0009914","hormone transport",294,1,0.04,12,0.0376,0.0376,0.00340136054421769,"Ttr"
"37","BP","GO:0006397","mRNA processing",416,1,0.05,15,0.053,0.053,0.00240384615384615,"Adarb2"
"38","BP","GO:0016071","mRNA metabolic process",578,1,0.07,19,0.0732,0.0732,0.00173010380622837,"Adarb2"
"39","BP","GO:0006396","RNA processing",768,1,0.1,25,0.0967,0.0967,0.00130208333333333,"Adarb2"
"40","BP","GO:0006139","nucleobase-containing compound metabolic...",4122,2,0.53,18,0.2652,0.0708,0.000485201358563804,"Ttr, Adarb2"
"41","BP","GO:0046483","heterocycle metabolic process",4220,2,0.54,20,0.2715,0.0742,0.0004739336492891,"Ttr, Adarb2"
"42","BP","GO:0006725","cellular aromatic compound metabolic pro...",4273,2,0.55,21,0.275,0.0761,0.000468055230517201,"Ttr, Adarb2"
"43","BP","GO:1901360","organic cyclic compound metabolic proces...",4408,2,0.57,22,0.2837,0.081,0.000453720508166969,"Ttr, Adarb2"
"44","BP","GO:0034641","cellular nitrogen compound metabolic pro...",4744,2,0.61,23,0.3054,0.0938,0.000421585160202361,"Ttr, Adarb2"
"45","BP","GO:0043412","macromolecule modification",3143,1,0.41,33,0.3647,0.3647,0.000318167356029271,"Adarb2"
"46","BP","GO:0016070","RNA metabolic process",3183,1,0.41,34,0.3688,0.3688,0.000314169022934339,"Adarb2"
"47","BP","GO:0006810","transport",3661,1,0.47,36,0.4169,0.4169,0.000273149412728763,"Ttr"
"48","BP","GO:0090304","nucleic acid metabolic process",3661,1,0.47,37,0.4169,0.4169,0.000273149412728763,"Adarb2"
"49","BP","GO:0051234","establishment of localization",3791,1,0.49,38,0.4296,0.4296,0.000263782643102084,"Ttr"
"50","BP","GO:0010467","gene expression",3929,1,0.51,39,0.443,0.443,0.000254517688979384,"Adarb2"
"51","BP","GO:0006807","nitrogen compound metabolic process",7303,2,0.94,28,0.4708,0.2223,0.000273860057510612,"Ttr, Adarb2"
"52","BP","GO:0044238","primary metabolic process",7683,2,0.99,29,0.4946,0.2461,0.000260314981127164,"Ttr, Adarb2"
"53","BP","GO:0044237","cellular metabolic process",7821,2,1.01,30,0.502,0.255,0.000255721774709117,"Ttr, Adarb2"
"54","BP","GO:0071704","organic substance metabolic process",8043,2,1.04,31,0.517,0.2697,0.000248663434042024,"Ttr, Adarb2"
"55","BP","GO:0051179","localization",4957,1,0.64,40,0.5377,0.5377,0.000201734920314706,"Ttr"
"56","BP","GO:0008152","metabolic process",8432,2,1.09,32,0.5412,0.2964,0.00023719165085389,"Ttr, Adarb2"
"57","BP","GO:0043170","macromolecule metabolic process",6837,1,0.88,43,0.688,0.688,0.00014626298083955,"Adarb2"
"58","BP","GO:0009987","cellular process",11659,2,1.51,42,0.7513,0.5667,0.00017154129856763,"Ttr, Adarb2"
"59","BP","GO:0044281","small molecule metabolic process",1445,1,0.19,27,1,0.1779,0.000692041522491349,"Ttr"
"60","BP","GO:1901564","organonitrogen compound metabolic proces...",5077,1,0.66,41,1,0.5482,0.000196966712625566,"Ttr"
"61","CC","GO:0005730","nucleolus",759,1,0.1,1,0.094,0.094,0.00131752305665349,"Adarb2"
"62","CC","GO:0005615","extracellular space",965,1,0.12,2,0.119,0.119,0.00103626943005181,"Ttr"
"63","CC","GO:0044421","extracellular region part",1164,1,0.15,3,0.142,0.142,0.000859106529209622,"Ttr"
"64","CC","GO:0005576","extracellular region",1491,1,0.19,4,0.181,0.181,0.000670690811535882,"Ttr"
"65","CC","GO:0031981","nuclear lumen",3113,1,0.4,5,0.357,0.357,0.00032123353678124,"Adarb2"
"66","CC","GO:0043233","organelle lumen",3457,1,0.44,6,0.391,0.391,0.000289268151576511,"Adarb2"
"67","CC","GO:0070013","intracellular organelle lumen",3457,1,0.44,7,0.391,0.391,0.000289268151576511,"Adarb2"
"68","CC","GO:0031974","membrane-enclosed lumen",3457,1,0.44,8,0.391,0.391,0.000289268151576511,"Adarb2"
"69","CC","GO:0044428","nuclear part",3527,1,0.45,9,0.398,0.398,0.000283527076835838,"Adarb2"
