"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",67,1,0.02,1,0.022,0.022,0.0149253731343284,"Zbtb16"
"2","MF","GO:0001158","enhancer sequence-specific DNA binding",85,1,0.03,2,0.027,0.027,0.0117647058823529,"Zbtb16"
"3","MF","GO:0035326","enhancer binding",95,1,0.03,3,0.031,0.031,0.0105263157894737,"Zbtb16"
"4","MF","GO:0005178","integrin binding",105,1,0.03,4,0.034,0.034,0.00952380952380952,"Thy1"
"5","MF","GO:0030246","carbohydrate binding",184,1,0.06,5,0.059,0.059,0.00543478260869565,"C4b"
"6","MF","GO:0001227","DNA-binding transcription repressor acti...",184,1,0.06,6,0.059,0.059,0.00543478260869565,"Zbtb16"
"7","MF","GO:0050839","cell adhesion molecule binding",200,1,0.07,7,0.064,0.064,0.005,"Thy1"
"8","MF","GO:0005096","GTPase activator activity",223,1,0.07,8,0.071,0.071,0.00448430493273543,"Thy1"
"9","MF","GO:0008022","protein C-terminus binding",226,1,0.07,9,0.072,0.072,0.00442477876106195,"Zbtb16"
"10","MF","GO:0035091","phosphatidylinositol binding",228,1,0.07,10,0.072,0.072,0.0043859649122807,"Thy1"
"11","MF","GO:0030695","GTPase regulator activity",240,1,0.08,11,0.076,0.076,0.00416666666666667,"Thy1"
"12","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",277,1,0.09,12,0.087,0.087,0.0036101083032491,"Thy1"
"13","MF","GO:0005543","phospholipid binding",367,1,0.12,13,0.114,0.114,0.00272479564032698,"Thy1"
"14","MF","GO:0008047","enzyme activator activity",406,1,0.13,14,0.126,0.126,0.00246305418719212,"Thy1"
"15","MF","GO:0000981","DNA-binding transcription factor activit...",552,1,0.18,15,0.168,0.168,0.00181159420289855,"Zbtb16"
"16","MF","GO:0005515","protein binding",7406,4,2.42,16,0.168,0.168,0.000540102619497705,"Zbtb16, Tmem108, Thy1, C4b"
