"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0015491","cation:cation antiporter activity",23,2,0.04,1,7e-04,7e-04,0.0869565217391304,"Slc8a1, Slc24a3"
"2","MF","GO:0004620","phospholipase activity",65,2,0.11,4,0.0055,0.0055,0.0307692307692308,"Plcl1, Pnpla7"
"3","MF","GO:0015081","sodium ion transmembrane transporter act...",99,2,0.17,7,0.0125,0.0125,0.0202020202020202,"Slc8a1, Slc24a3"
"4","MF","GO:0008270","zinc ion binding",545,4,0.94,8,0.0132,0.0132,0.0073394495412844,"Otud7a, Zfand4, Dtnb, Gli2"
"5","MF","GO:0015085","calcium ion transmembrane transporter ac...",118,2,0.2,9,0.0174,0.0174,0.0169491525423729,"Slc8a1, Slc24a3"
"6","MF","GO:0043167","ion binding",4418,13,7.62,10,0.0187,0.0187,0.00294250792213671,"Plcl1, Spock1, Otud7a, Mast4, Slc8a1, Ptgds, Zfand4, Dtnb, Cdh19, Gli2, Slc25a13, Rhoj, Sgk3"
"7","MF","GO:0046914","transition metal ion binding",721,4,1.24,11,0.0332,0.0332,0.00554785020804438,"Otud7a, Zfand4, Dtnb, Gli2"
"8","MF","GO:0070530","K63-linked polyubiquitin modification-de...",20,1,0.03,13,0.0339,0.0339,0.05,"Otud7a"
"9","MF","GO:0019840","isoprenoid binding",21,1,0.04,14,0.0356,0.0356,0.0476190476190476,"Ptgds"
"10","MF","GO:0046872","metal ion binding",2781,9,4.79,15,0.0358,0.0358,0.00323624595469256,"Spock1, Otud7a, Mast4, Slc8a1, Zfand4, Dtnb, Cdh19, Gli2, Slc25a13"
"11","MF","GO:0005488","binding",9667,21,16.67,16,0.0374,0.0374,0.00217233888486604,"Ttr, Plcl1, Spock1, Otud7a, Mast4, Slc8a1, Elmo1, Tenm2, Hbb-bs, Ptprk, Ptgds, Zfand4, Hif3a, Enox1, Dtnb, Cdh19, Pcdh11x, Gli2, Slc25a13, Rhoj, Sgk3"
"12","MF","GO:0005509","calcium ion binding",437,3,0.75,17,0.0381,0.0381,0.0068649885583524,"Spock1, Cdh19, Slc25a13"
"13","MF","GO:0043169","cation binding",2849,9,4.91,18,0.0412,0.0412,0.00315900315900316,"Spock1, Otud7a, Mast4, Slc8a1, Zfand4, Dtnb, Cdh19, Gli2, Slc25a13"
"14","MF","GO:0050839","cell adhesion molecule binding",190,2,0.33,19,0.042,0.042,0.0105263157894737,"Tenm2, Cdh19"
"15","MF","GO:0005310","dicarboxylic acid transmembrane transpor...",28,1,0.05,20,0.0472,0.0472,0.0357142857142857,"Slc25a13"
"16","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",29,1,0.05,21,0.0489,0.0489,0.0344827586206897,"Spock1"
"17","MF","GO:0005504","fatty acid binding",31,1,0.05,22,0.0521,0.0521,0.032258064516129,"Ptgds"
"18","MF","GO:0005326","neurotransmitter transporter activity",33,1,0.06,23,0.0554,0.0554,0.0303030303030303,"Slc25a13"
"19","MF","GO:0004601","peroxidase activity",34,1,0.06,24,0.057,0.057,0.0294117647058824,"Hbb-bs"
"20","MF","GO:0016860","intramolecular oxidoreductase activity",38,1,0.07,25,0.0635,0.0635,0.0263157894736842,"Ptgds"
"21","MF","GO:0016684","oxidoreductase activity, acting on perox...",38,1,0.07,26,0.0635,0.0635,0.0263157894736842,"Hbb-bs"
"22","MF","GO:0015459","potassium channel regulator activity",38,1,0.07,27,0.0635,0.0635,0.0263157894736842,"Sgk3"
"23","MF","GO:0016491","oxidoreductase activity",542,3,0.93,28,0.0648,0.0648,0.00553505535055351,"Hbb-bs, Oxr1, Enox1"
"24","MF","GO:0050840","extracellular matrix binding",44,1,0.08,29,0.0732,0.0732,0.0227272727272727,"Spock1"
"25","MF","GO:0015179","L-amino acid transmembrane transporter a...",44,1,0.08,30,0.0732,0.0732,0.0227272727272727,"Slc25a13"
"26","MF","GO:0033293","monocarboxylic acid binding",45,1,0.08,31,0.0748,0.0748,0.0222222222222222,"Ptgds"
"27","MF","GO:1990841","promoter-specific chromatin binding",46,1,0.08,33,0.0764,0.0764,0.0217391304347826,"Gli2"
"28","MF","GO:0015077","monovalent inorganic cation transmembran...",268,2,0.46,34,0.0772,0.0772,0.00746268656716418,"Slc8a1, Slc24a3"
