"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005178","integrin binding",108,2,0.03,1,3e-04,3e-04,0.0185185185185185,"Gfap, Thy1"
"2","MF","GO:0019900","kinase binding",741,3,0.2,2,0.00045,0.00045,0.00404858299595142,"Gfap, Thy1, Angpt1"
"3","MF","GO:0019901","protein kinase binding",670,2,0.18,6,0.01106,0.01106,0.00298507462686567,"Thy1, Angpt1"
"4","MF","GO:0005200","structural constituent of cytoskeleton",47,1,0.01,7,0.01236,0.01236,0.0212765957446809,"Gfap"
"5","MF","GO:0030971","receptor tyrosine kinase binding",67,1,0.02,8,0.01759,0.01759,0.0149253731343284,"Angpt1"
"6","MF","GO:1990782","protein tyrosine kinase binding",90,1,0.02,9,0.02358,0.02358,0.0111111111111111,"Angpt1"
"7","MF","GO:0036459","thiol-dependent ubiquitinyl hydrolase ac...",90,1,0.02,10,0.02358,0.02358,0.0111111111111111,"Usp53"
"8","MF","GO:0101005","ubiquitinyl hydrolase activity",91,1,0.02,11,0.02383,0.02383,0.010989010989011,"Usp53"
"9","MF","GO:0019783","ubiquitin-like protein-specific protease...",100,1,0.03,12,0.02617,0.02617,0.01,"Usp53"
"10","MF","GO:0070851","growth factor receptor binding",104,1,0.03,13,0.0272,0.0272,0.00961538461538462,"Angpt1"
"11","MF","GO:0008234","cysteine-type peptidase activity",147,1,0.04,15,0.03829,0.03829,0.00680272108843537,"Usp53"
"12","MF","GO:0005126","cytokine receptor binding",173,1,0.05,16,0.04495,0.04495,0.00578034682080925,"Angpt1"
"13","MF","GO:0005096","GTPase activator activity",215,1,0.06,18,0.05562,0.05562,0.00465116279069767,"Thy1"
"14","MF","GO:0035091","phosphatidylinositol binding",225,1,0.06,19,0.05815,0.05815,0.00444444444444444,"Thy1"
"15","MF","GO:0030695","GTPase regulator activity",231,1,0.06,20,0.05967,0.05967,0.00432900432900433,"Thy1"
"16","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",268,1,0.07,21,0.06897,0.06897,0.00373134328358209,"Thy1"
"17","MF","GO:0005543","phospholipid binding",363,1,0.1,22,0.09254,0.09254,0.00275482093663912,"Thy1"
"18","MF","GO:0008047","enzyme activator activity",396,1,0.1,23,0.10062,0.10062,0.00252525252525253,"Thy1"
"19","MF","GO:0070011","peptidase activity, acting on L-amino ac...",430,1,0.11,24,0.1089,0.1089,0.00232558139534884,"Usp53"
"20","MF","GO:0008233","peptidase activity",453,1,0.12,25,0.11446,0.11446,0.0022075055187638,"Usp53"
"21","MF","GO:0005198","structural molecule activity",495,1,0.13,26,0.12455,0.12455,0.00202020202020202,"Gfap"
"22","MF","GO:0005102","signaling receptor binding",1208,3,0.32,4,0.14104,0.00191,0.00248344370860927,"Gfap, Thy1, Angpt1"
"23","MF","GO:0008289","lipid binding",584,1,0.15,27,0.14564,0.14564,0.00171232876712329,"Thy1"
"24","MF","GO:0030234","enzyme regulator activity",770,1,0.2,28,0.1885,0.1885,0.0012987012987013,"Thy1"
"25","MF","GO:0098772","molecular function regulator",1279,1,0.34,30,0.29755,0.29755,0.000781860828772478,"Thy1"
"26","MF","GO:0042802","identical protein binding",1610,1,0.43,31,0.36231,0.36231,0.00062111801242236,"Gfap"
"27","MF","GO:0140096","catalytic activity, acting on a protein",1844,1,0.49,32,0.40531,0.40531,0.000542299349240781,"Usp53"
"28","MF","GO:0097367","carbohydrate derivative binding",1849,1,0.49,33,0.4062,0.4062,0.000540832882639265,"Thy1"
"29","MF","GO:0016787","hydrolase activity",2078,1,0.55,34,0.4461,0.4461,0.000481231953801732,"Usp53"
"30","MF","GO:0005515","protein binding",7313,4,1.93,17,0.45328,0.05447,0.000546971147271981,"Gfap, Usp53, Thy1, Angpt1"
"31","BP","GO:0010977","negative regulation of neuron projection...",163,2,0.04,3,0.00068,0.00068,0.0122699386503067,"Gfap, Thy1"
"32","BP","GO:0051402","neuron apoptotic process",260,2,0.07,10,0.00171,0.00171,0.00769230769230769,"Usp53, Angpt1"
"33","BP","GO:0031102","neuron projection regeneration",55,2,0.01,1,0.00395,7.7e-05,0.0363636363636364,"Gfap, Thy1"
"34","BP","GO:0060219","camera-type eye photoreceptor cell diffe...",20,1,0.01,24,0.00525,0.00525,0.05,"Thy1"
"35","BP","GO:0002719","negative regulation of cytokine producti...",20,1,0.01,25,0.00525,0.00525,0.05,"Angpt1"
"36","BP","GO:0002693","positive regulation of cellular extravas...",20,1,0.01,26,0.00525,0.00525,0.05,"Thy1"
"37","BP","GO:0061440","kidney vasculature development",20,1,0.01,27,0.00525,0.00525,0.05,"Angpt1"
"38","BP","GO:0046823","negative regulation of nucleocytoplasmic...",21,1,0.01,30,0.00552,0.00552,0.0476190476190476,"Angpt1"
"39","BP","GO:0050858","negative regulation of antigen receptor-...",21,1,0.01,31,0.00552,0.00552,0.0476190476190476,"Thy1"
"40","BP","GO:2000352","negative regulation of endothelial cell ...",24,1,0.01,36,0.0063,0.0063,0.0416666666666667,"Angpt1"
