"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005179","hormone activity",46,1,0.01,1,0.0063,0.0063,0.0217391304347826,"Ttr"
"2","MF","GO:0045296","cadherin binding",52,1,0.01,2,0.0071,0.0071,0.0192307692307692,"Ctnna3"
"3","MF","GO:0042562","hormone binding",72,1,0.01,3,0.0099,0.0099,0.0138888888888889,"Ttr"
"4","MF","GO:0008013","beta-catenin binding",82,1,0.01,4,0.0113,0.0113,0.0121951219512195,"Ctnna3"
"5","MF","GO:0051015","actin filament binding",170,1,0.02,5,0.0233,0.0233,0.00588235294117647,"Ctnna3"
"6","MF","GO:0003779","actin binding",360,1,0.05,9,0.0489,0.0489,0.00277777777777778,"Ctnna3"
"7","MF","GO:0046982","protein heterodimerization activity",466,1,0.06,10,0.0631,0.0631,0.00214592274678112,"Ttr"
"8","MF","GO:0008092","cytoskeletal protein binding",842,1,0.12,11,0.1125,0.1125,0.00118764845605701,"Ctnna3"
"9","MF","GO:0044877","protein-containing complex binding",1061,1,0.15,12,0.1407,0.1407,0.000942507068803016,"Ctnna3"
"10","MF","GO:0046983","protein dimerization activity",1139,1,0.16,13,0.1506,0.1506,0.000877963125548727,"Ttr"
"11","MF","GO:0042802","identical protein binding",1589,1,0.22,16,0.2068,0.2068,0.000629326620516048,"Ttr"
"12","MF","GO:0003674","molecular_function",14531,2,2,19,1,1,0.000137636776546693,"Ttr, Ctnna3"
"13","MF","GO:0005488","binding",10026,2,1.38,18,1,0.476,0.000199481348493916,"Ttr, Ctnna3"
"14","MF","GO:0005102","signaling receptor binding",1177,1,0.16,14,1,0.1554,0.000849617672047579,"Ttr"
"15","MF","GO:0050839","cell adhesion molecule binding",197,1,0.03,6,1,0.0269,0.0050761421319797,"Ctnna3"
"16","MF","GO:0098772","molecular function regulator",1256,1,0.17,15,1,0.1654,0.000796178343949045,"Ttr"
"17","MF","GO:0030545","receptor regulator activity",265,1,0.04,8,1,0.0361,0.00377358490566038,"Ttr"
"18","MF","GO:0048018","receptor ligand activity",243,1,0.03,7,1,0.0332,0.00411522633744856,"Ttr"
"19","MF","GO:0005515","protein binding",7188,2,0.99,17,1,0.2447,0.000278241513633834,"Ttr, Ctnna3"
"20","MF","GO:0000030","mannosyltransferase activity",24,0,0,20,1,1,0,""
"21","MF","GO:0000049","tRNA binding",54,0,0.01,21,1,1,0,""
"22","MF","GO:0000062","fatty-acyl-CoA binding",22,0,0,22,1,1,0,""
"23","MF","GO:0000149","SNARE binding",110,0,0.02,23,1,1,0,""
"24","MF","GO:0000166","nucleotide binding",1780,0,0.24,24,1,1,0,""
"25","MF","GO:0000175","3'-5'-exoribonuclease activity",28,0,0,25,1,1,0,""
"26","MF","GO:0000217","DNA secondary structure binding",23,0,0,26,1,1,0,""
"27","MF","GO:0000287","magnesium ion binding",167,0,0.02,27,1,1,0,""
"28","MF","GO:0000976","transcription regulatory region sequence...",616,0,0.08,28,1,1,0,""
"29","MF","GO:0000977","RNA polymerase II regulatory region sequ...",580,0,0.08,29,1,1,0,""
