"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0008047","enzyme activator activity",399,6,0.97,4,0.00037,0.00037,0.0150375939849624,"Fgf13, Arhgap24, Igf1, Nrp1, Thy1, Apobec1"
"2","MF","GO:0035925","mRNA 3'-UTR AU-rich region binding",26,2,0.06,8,0.00181,0.00181,0.0769230769230769,"Cpeb2, Apobec1"
"3","MF","GO:0005178","integrin binding",108,3,0.26,10,0.00229,0.00229,0.0277777777777778,"Igf1, Cd9, Thy1"
"4","MF","GO:0016247","channel regulator activity",115,3,0.28,11,0.00273,0.00273,0.0260869565217391,"Fgf13, Prkg1, Bcl2"
"5","MF","GO:0035035","histone acetyltransferase binding",33,2,0.08,12,0.00292,0.00292,0.0606060606060606,"Apbb2, Hif1a"
"6","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",273,4,0.67,13,0.00424,0.00424,0.0146520146520147,"Arhgap24, Fnip2, Nrp1, Thy1"
"7","MF","GO:0019900","kinase binding",742,8,1.81,3,0.00448,0.00034,0.0107816711590297,"Acaca, Prkg1, Hdac9, Myo5a, Hif1a, Nrp1, Akt3, Thy1"
"8","MF","GO:0008375","acetylglucosaminyltransferase activity",46,2,0.11,14,0.0056,0.0056,0.0434782608695652,"Xylt1, Gcnt2"
"9","MF","GO:0005539","glycosaminoglycan binding",158,3,0.39,15,0.00664,0.00664,0.0189873417721519,"Nrp1, Mamdc2, Serpine2"
"10","MF","GO:0005080","protein kinase C binding",55,2,0.13,17,0.00793,0.00793,0.0363636363636364,"Hdac9, Akt3"
"11","MF","GO:0005516","calmodulin binding",169,3,0.41,18,0.00799,0.00799,0.0177514792899408,"Myo1e, Cacna1a, Myo5a"
"12","MF","GO:0051015","actin filament binding",171,3,0.42,19,0.00825,0.00825,0.0175438596491228,"Myo1e, Myo5a, Ctnna3"
"13","MF","GO:0030295","protein kinase activator activity",65,2,0.16,20,0.01094,0.01094,0.0307692307692308,"Fgf13, Igf1"
