"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0061036","positive regulation of cartilage develop...",23,1,0,1,0.0015,0.0015,0.0434782608695652,"Zbtb16"
"32","BP","GO:0035116","embryonic hindlimb morphogenesis",26,1,0,2,0.0017,0.0017,0.0384615384615385,"Zbtb16"
"33","BP","GO:0035136","forelimb morphogenesis",28,1,0,3,0.0018,0.0018,0.0357142857142857,"Zbtb16"
"34","BP","GO:0046638","positive regulation of alpha-beta T cell...",37,1,0,5,0.0024,0.0024,0.027027027027027,"Zbtb16"
"35","BP","GO:0032330","regulation of chondrocyte differentiatio...",39,1,0,6,0.0025,0.0025,0.0256410256410256,"Zbtb16"
"36","BP","GO:0017145","stem cell division",44,1,0,7,0.0029,0.0029,0.0227272727272727,"Zbtb16"
"37","BP","GO:0009880","embryonic pattern specification",52,1,0,10,0.0034,0.0034,0.0192307692307692,"Zbtb16"
"38","BP","GO:0045600","positive regulation of fat cell differen...",57,1,0,12,0.0037,0.0037,0.0175438596491228,"Zbtb16"
"39","BP","GO:0042733","embryonic digit morphogenesis",59,1,0,13,0.0038,0.0038,0.0169491525423729,"Zbtb16"
"40","BP","GO:0045638","negative regulation of myeloid cell diff...",74,1,0,15,0.0048,0.0048,0.0135135135135135,"Zbtb16"
"41","BP","GO:0001823","mesonephros development",85,1,0.01,19,0.0055,0.0055,0.0117647058823529,"Zbtb16"
"42","BP","GO:0045778","positive regulation of ossification",87,1,0.01,20,0.0057,0.0057,0.0114942528735632,"Zbtb16"
"43","BP","GO:0009952","anterior/posterior pattern specification",153,1,0.01,33,0.01,0.01,0.0065359477124183,"Zbtb16"
"44","BP","GO:0007281","germ cell development",222,1,0.01,48,0.0144,0.0144,0.0045045045045045,"Zbtb16"
"45","BP","GO:0034504","protein localization to nucleus",247,1,0.02,53,0.0161,0.0161,0.00404858299595142,"Zbtb16"
"46","BP","GO:0022412","cellular process involved in reproductio...",298,1,0.02,59,0.0194,0.0194,0.00335570469798658,"Zbtb16"
"47","BP","GO:0007283","spermatogenesis",387,1,0.03,69,0.0252,0.0252,0.00258397932816537,"Zbtb16"
"48","BP","GO:0048232","male gamete generation",404,1,0.03,72,0.0263,0.0263,0.00247524752475248,"Zbtb16"
