"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0001523","retinoid metabolic process",25,1,0,1,0.0018,0.0018,0.04,"Ttr"
"32","BP","GO:0009112","nucleobase metabolic process",31,1,0,4,0.0022,0.0022,0.032258064516129,"Ttr"
"33","BP","GO:0034308","primary alcohol metabolic process",40,1,0,5,0.0029,0.0029,0.025,"Ttr"
"34","BP","GO:0034754","cellular hormone metabolic process",56,1,0,7,0.004,0.004,0.0178571428571429,"Ttr"
"35","BP","GO:0009914","hormone transport",264,1,0.02,10,0.0189,0.0189,0.00378787878787879,"Ttr"
"36","BP","GO:0072521","purine-containing compound metabolic pro...",400,1,0.03,13,0.0286,0.0286,0.0025,"Ttr"
"47","BP","GO:0042445","hormone metabolic process",128,1,0.01,8,1,0.0091,0.0078125,"Ttr"
"48","BP","GO:0006066","alcohol metabolic process",235,1,0.02,9,1,0.0168,0.00425531914893617,"Ttr"
"55","BP","GO:0016101","diterpenoid metabolic process",27,1,0,2,1,0.0019,0.037037037037037,"Ttr"
"57","BP","GO:1901615","organic hydroxy compound metabolic proce...",345,1,0.02,11,1,0.0246,0.00289855072463768,"Ttr"
"60","BP","GO:0006720","isoprenoid metabolic process",47,1,0,6,1,0.0034,0.0212765957446809,"Ttr"
