"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005178","integrin binding",105,1,0.02,1,0.015,0.015,0.00952380952380952,"Thy1"
"2","MF","GO:0030246","carbohydrate binding",167,1,0.02,2,0.024,0.024,0.00598802395209581,"C4b"
"3","MF","GO:0050839","cell adhesion molecule binding",189,1,0.03,3,0.027,0.027,0.00529100529100529,"Thy1"
"4","MF","GO:0005096","GTPase activator activity",215,1,0.03,4,0.031,0.031,0.00465116279069767,"Thy1"
"5","MF","GO:0035091","phosphatidylinositol binding",216,1,0.03,5,0.031,0.031,0.00462962962962963,"Thy1"
"6","MF","GO:0030695","GTPase regulator activity",231,1,0.03,6,0.033,0.033,0.00432900432900433,"Thy1"
"7","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",267,1,0.04,7,0.038,0.038,0.00374531835205993,"Thy1"
"8","MF","GO:0005543","phospholipid binding",339,1,0.05,8,0.048,0.048,0.00294985250737463,"Thy1"
"9","MF","GO:0008047","enzyme activator activity",392,1,0.06,9,0.056,0.056,0.00255102040816327,"Thy1"
"10","MF","GO:0008289","lipid binding",536,1,0.08,10,0.076,0.076,0.00186567164179104,"Thy1"
"11","MF","GO:0019901","protein kinase binding",643,1,0.09,11,0.09,0.09,0.0015552099533437,"Thy1"
"12","MF","GO:0019900","kinase binding",709,1,0.1,12,0.1,0.1,0.00141043723554302,"Thy1"
"13","MF","GO:0030234","enzyme regulator activity",737,1,0.11,13,0.103,0.103,0.00135685210312076,"Thy1"
"14","MF","GO:0044877","protein-containing complex binding",1028,1,0.15,14,0.143,0.143,0.000972762645914397,"Thy1"
"15","MF","GO:0005102","signaling receptor binding",1119,1,0.16,15,0.155,0.155,0.000893655049151028,"Thy1"
"16","MF","GO:0098772","molecular function regulator",1201,1,0.17,16,0.166,0.166,0.000832639467110741,"Thy1"
"17","MF","GO:0097367","carbohydrate derivative binding",1746,1,0.25,17,0.236,0.236,0.000572737686139748,"Thy1"
"18","MF","GO:0005515","protein binding",6888,2,0.99,18,0.246,0.246,0.000290360046457607,"C4b, Thy1"
"19","MF","GO:0019899","enzyme binding",1999,1,0.29,19,0.267,0.267,0.000500250125062531,"Thy1"
"20","MF","GO:0043168","anion binding",2203,1,0.32,20,0.292,0.292,0.000453926463912846,"Thy1"
"21","MF","GO:0005488","binding",9624,2,1.39,21,0.48,0.48,0.000207813798836243,"C4b, Thy1"
"22","MF","GO:0043167","ion binding",4400,1,0.63,22,0.533,0.533,0.000227272727272727,"Thy1"
"23","MF","GO:0003674","molecular_function",13884,2,2,23,1,1,0.000144050705848459,"C4b, Thy1"
"24","MF","GO:0000030","mannosyltransferase activity",25,0,0,24,1,1,0,""
"25","MF","GO:0000049","tRNA binding",52,0,0.01,25,1,1,0,""
"26","MF","GO:0000062","fatty-acyl-CoA binding",21,0,0,26,1,1,0,""
"27","MF","GO:0000149","SNARE binding",106,0,0.02,27,1,1,0,""
"28","MF","GO:0000166","nucleotide binding",1710,0,0.25,28,1,1,0,""
"29","MF","GO:0000175","3'-5'-exoribonuclease activity",27,0,0,29,1,1,0,""
"30","MF","GO:0000217","DNA secondary structure binding",22,0,0,30,1,1,0,""
"31","BP","GO:0061099","negative regulation of protein tyrosine ...",23,1,0,6,0.0033,0.0033,0.0434782608695652,"Thy1"
"32","BP","GO:0002691","regulation of cellular extravasation",24,1,0,7,0.0034,0.0034,0.0416666666666667,"Thy1"
"33","BP","GO:0051894","positive regulation of focal adhesion as...",25,1,0,8,0.0036,0.0036,0.04,"Thy1"
"34","BP","GO:0042462","eye photoreceptor cell development",26,1,0,9,0.0037,0.0037,0.0384615384615385,"Thy1"
"35","BP","GO:0051281","positive regulation of release of seques...",27,1,0,10,0.0039,0.0039,0.037037037037037,"Thy1"
"36","BP","GO:0050856","regulation of T cell receptor signaling ...",27,1,0,11,0.0039,0.0039,0.037037037037037,"Thy1"
"37","BP","GO:0006956","complement activation",29,1,0,13,0.0041,0.0041,0.0344827586206897,"C4b"
"38","BP","GO:0070570","regulation of neuron projection regenera...",33,1,0,16,0.0047,0.0047,0.0303030303030303,"Thy1"
"39","BP","GO:0034113","heterotypic cell-cell adhesion",34,1,0,17,0.0049,0.0049,0.0294117647058824,"Thy1"
"40","BP","GO:0003407","neural retina development",43,1,0.01,23,0.0062,0.0062,0.0232558139534884,"Thy1"
"41","BP","GO:0060042","retina morphogenesis in camera-type eye",45,1,0.01,24,0.0064,0.0064,0.0222222222222222,"Thy1"
"42","BP","GO:0043113","receptor clustering",60,1,0.01,32,0.0086,0.0086,0.0166666666666667,"Thy1"
"43","BP","GO:0050771","negative regulation of axonogenesis",63,1,0.01,36,0.009,0.009,0.0158730158730159,"Thy1"
"44","BP","GO:0016064","immunoglobulin mediated immune response",71,1,0.01,39,0.0101,0.0101,0.0140845070422535,"C4b"
"45","BP","GO:0019724","B cell mediated immunity",74,1,0.01,42,0.0106,0.0106,0.0135135135135135,"C4b"
"46","BP","GO:0007229","integrin-mediated signaling pathway",76,1,0.01,44,0.0109,0.0109,0.0131578947368421,"Thy1"
"47","BP","GO:0002687","positive regulation of leukocyte migrati...",90,1,0.01,52,0.0129,0.0129,0.0111111111111111,"Thy1"
"48","BP","GO:0050870","positive regulation of T cell activation",128,1,0.02,72,0.0183,0.0183,0.0078125,"Thy1"
"49","BP","GO:1903039","positive regulation of leukocyte cell-ce...",139,1,0.02,75,0.0198,0.0198,0.00719424460431655,"Thy1"
"50","BP","GO:0002449","lymphocyte mediated immunity",152,1,0.02,77,0.0217,0.0217,0.00657894736842105,"C4b"
"51","BP","GO:0022409","positive regulation of cell-cell adhesio...",166,1,0.02,79,0.0236,0.0236,0.00602409638554217,"Thy1"
"52","BP","GO:0002460","adaptive immune response based on somati...",170,1,0.02,82,0.0242,0.0242,0.00588235294117647,"C4b"
"53","BP","GO:0043547","positive regulation of GTPase activity",177,1,0.03,85,0.0252,0.0252,0.00564971751412429,"Thy1"
"54","BP","GO:0051251","positive regulation of lymphocyte activa...",182,1,0.03,87,0.0259,0.0259,0.00549450549450549,"Thy1"
"55","BP","GO:1903037","regulation of leukocyte cell-cell adhesi...",200,1,0.03,93,0.0284,0.0284,0.005,"Thy1"
"56","BP","GO:0002443","leukocyte mediated immunity",206,1,0.03,95,0.0293,0.0293,0.00485436893203883,"C4b"
"57","BP","GO:0050863","regulation of T cell activation",212,1,0.03,99,0.0301,0.0301,0.00471698113207547,"Thy1"
"58","BP","GO:0030336","negative regulation of cell migration",214,1,0.03,100,0.0304,0.0304,0.00467289719626168,"Thy1"
"59","BP","GO:0046777","protein autophosphorylation",214,1,0.03,101,0.0304,0.0304,0.00467289719626168,"Thy1"
"60","BP","GO:0002696","positive regulation of leukocyte activat...",216,1,0.03,102,0.0307,0.0307,0.00462962962962963,"Thy1"
"61","CC","GO:0030673","axolemma",21,1,0,6,0.003,0.003,0.0476190476190476,"Thy1"
"62","CC","GO:0032809","neuronal cell body membrane",30,1,0,8,0.0042,0.0042,0.0333333333333333,"Thy1"
"63","CC","GO:0032590","dendrite membrane",42,1,0.01,10,0.0059,0.0059,0.0238095238095238,"Thy1"
"64","CC","GO:0046658","anchored component of plasma membrane",49,1,0.01,11,0.0069,0.0069,0.0204081632653061,"Thy1"
"65","CC","GO:0030426","growth cone",194,1,0.03,22,0.0272,0.0272,0.00515463917525773,"Thy1"
"66","CC","GO:0030427","site of polarized growth",195,1,0.03,23,0.0273,0.0273,0.00512820512820513,"Thy1"
"67","CC","GO:0043209","myelin sheath",201,1,0.03,24,0.0282,0.0282,0.00497512437810945,"Thy1"
"68","CC","GO:0016324","apical plasma membrane",217,1,0.03,25,0.0304,0.0304,0.00460829493087558,"Thy1"
"69","CC","GO:0009897","external side of plasma membrane",222,1,0.03,26,0.0311,0.0311,0.0045045045045045,"Thy1"
"70","CC","GO:0043025","neuronal cell body",608,2,0.09,1,0.0409,0.0018,0.00328947368421053,"C4b, Thy1"
"71","CC","GO:0045121","membrane raft",293,1,0.04,28,0.0409,0.0409,0.00341296928327645,"Thy1"
"72","CC","GO:0098857","membrane microdomain",294,1,0.04,29,0.0411,0.0411,0.00340136054421769,"Thy1"
"73","CC","GO:0045177","apical part of cell",296,1,0.04,30,0.0413,0.0413,0.00337837837837838,"Thy1"
"74","CC","GO:0030425","dendrite",631,2,0.09,3,0.0417,0.002,0.00316957210776545,"C4b, Thy1"
"75","CC","GO:0097447","dendritic tree",634,2,0.09,4,0.0419,0.002,0.00315457413249211,"C4b, Thy1"
"76","CC","GO:0098589","membrane region",302,1,0.04,31,0.0422,0.0422,0.0033112582781457,"Thy1"
"77","CC","GO:0030424","axon",619,2,0.09,2,0.0423,0.0019,0.00323101777059774,"C4b, Thy1"
"78","CC","GO:0150034","distal axon",323,1,0.05,32,0.0451,0.0451,0.00309597523219814,"Thy1"
"79","CC","GO:0044297","cell body",681,2,0.1,5,0.046,0.0023,0.00293685756240822,"C4b, Thy1"
"80","CC","GO:0098552","side of membrane",373,1,0.05,34,0.0519,0.0519,0.00268096514745308,"Thy1"
"81","CC","GO:0036477","somatodendritic compartment",892,2,0.13,7,0.059,0.004,0.00224215246636771,"C4b, Thy1"
"82","CC","GO:0009986","cell surface",589,1,0.08,36,0.0814,0.0814,0.00169779286926995,"Thy1"
"83","CC","GO:0043005","neuron projection",1273,2,0.18,12,0.086,0.0081,0.00157109190887667,"C4b, Thy1"
"84","CC","GO:0044463","cell projection part",1307,2,0.18,13,0.0884,0.0085,0.00153022188217292,"C4b, Thy1"
"85","CC","GO:0120038","plasma membrane bounded cell projection ...",1307,2,0.18,14,0.0884,0.0085,0.00153022188217292,"C4b, Thy1"
"86","CC","GO:0005615","extracellular space",806,1,0.11,37,0.1105,0.1105,0.00124069478908189,"C4b"
"87","CC","GO:0097458","neuron part",1670,2,0.24,17,0.113,0.0139,0.00119760479041916,"C4b, Thy1"
"88","CC","GO:0098805","whole membrane",928,1,0.13,38,0.1267,0.1267,0.00107758620689655,"Thy1"
"89","CC","GO:0120025","plasma membrane bounded cell projection",1860,2,0.26,19,0.1276,0.0172,0.0010752688172043,"C4b, Thy1"
"90","CC","GO:0044421","extracellular region part",977,1,0.14,41,0.1331,0.1331,0.00102354145342886,"C4b"
