"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0061099","negative regulation of protein tyrosine ...",23,1,0,6,0.0033,0.0033,0.0434782608695652,"Thy1"
"32","BP","GO:0002691","regulation of cellular extravasation",24,1,0,7,0.0034,0.0034,0.0416666666666667,"Thy1"
"33","BP","GO:0051894","positive regulation of focal adhesion as...",25,1,0,8,0.0036,0.0036,0.04,"Thy1"
"34","BP","GO:0042462","eye photoreceptor cell development",26,1,0,9,0.0037,0.0037,0.0384615384615385,"Thy1"
"35","BP","GO:0051281","positive regulation of release of seques...",27,1,0,10,0.0039,0.0039,0.037037037037037,"Thy1"
"36","BP","GO:0050856","regulation of T cell receptor signaling ...",27,1,0,11,0.0039,0.0039,0.037037037037037,"Thy1"
"37","BP","GO:0006956","complement activation",29,1,0,13,0.0041,0.0041,0.0344827586206897,"C4b"
"38","BP","GO:0070570","regulation of neuron projection regenera...",33,1,0,16,0.0047,0.0047,0.0303030303030303,"Thy1"
"39","BP","GO:0034113","heterotypic cell-cell adhesion",34,1,0,17,0.0049,0.0049,0.0294117647058824,"Thy1"
"40","BP","GO:0003407","neural retina development",43,1,0.01,23,0.0062,0.0062,0.0232558139534884,"Thy1"
"41","BP","GO:0060042","retina morphogenesis in camera-type eye",45,1,0.01,24,0.0064,0.0064,0.0222222222222222,"Thy1"
"42","BP","GO:0043113","receptor clustering",60,1,0.01,32,0.0086,0.0086,0.0166666666666667,"Thy1"
"43","BP","GO:0050771","negative regulation of axonogenesis",63,1,0.01,36,0.009,0.009,0.0158730158730159,"Thy1"
"44","BP","GO:0016064","immunoglobulin mediated immune response",71,1,0.01,39,0.0101,0.0101,0.0140845070422535,"C4b"
"45","BP","GO:0019724","B cell mediated immunity",74,1,0.01,42,0.0106,0.0106,0.0135135135135135,"C4b"
"46","BP","GO:0007229","integrin-mediated signaling pathway",76,1,0.01,44,0.0109,0.0109,0.0131578947368421,"Thy1"
"47","BP","GO:0002687","positive regulation of leukocyte migrati...",90,1,0.01,52,0.0129,0.0129,0.0111111111111111,"Thy1"
"48","BP","GO:0050870","positive regulation of T cell activation",128,1,0.02,72,0.0183,0.0183,0.0078125,"Thy1"
"49","BP","GO:1903039","positive regulation of leukocyte cell-ce...",139,1,0.02,75,0.0198,0.0198,0.00719424460431655,"Thy1"
"50","BP","GO:0002449","lymphocyte mediated immunity",152,1,0.02,77,0.0217,0.0217,0.00657894736842105,"C4b"
"51","BP","GO:0022409","positive regulation of cell-cell adhesio...",166,1,0.02,79,0.0236,0.0236,0.00602409638554217,"Thy1"
"52","BP","GO:0002460","adaptive immune response based on somati...",170,1,0.02,82,0.0242,0.0242,0.00588235294117647,"C4b"
"53","BP","GO:0043547","positive regulation of GTPase activity",177,1,0.03,85,0.0252,0.0252,0.00564971751412429,"Thy1"
"54","BP","GO:0051251","positive regulation of lymphocyte activa...",182,1,0.03,87,0.0259,0.0259,0.00549450549450549,"Thy1"
"55","BP","GO:1903037","regulation of leukocyte cell-cell adhesi...",200,1,0.03,93,0.0284,0.0284,0.005,"Thy1"
"56","BP","GO:0002443","leukocyte mediated immunity",206,1,0.03,95,0.0293,0.0293,0.00485436893203883,"C4b"
"57","BP","GO:0050863","regulation of T cell activation",212,1,0.03,99,0.0301,0.0301,0.00471698113207547,"Thy1"
"58","BP","GO:0030336","negative regulation of cell migration",214,1,0.03,100,0.0304,0.0304,0.00467289719626168,"Thy1"
"59","BP","GO:0046777","protein autophosphorylation",214,1,0.03,101,0.0304,0.0304,0.00467289719626168,"Thy1"
"60","BP","GO:0002696","positive regulation of leukocyte activat...",216,1,0.03,102,0.0307,0.0307,0.00462962962962963,"Thy1"
