"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0090181","regulation of cholesterol metabolic proc...",28,2,0.02,1,0.00025,0.00025,0.0714285714285714,"Ldlr, Fgf1"
"32","BP","GO:0046889","positive regulation of lipid biosyntheti...",75,2,0.06,3,0.00182,0.00182,0.0266666666666667,"Ldlr, Fgf1"
"33","BP","GO:0010771","negative regulation of cell morphogenesi...",96,2,0.08,9,0.00297,0.00297,0.0208333333333333,"Thy1, Ube3a"
"34","BP","GO:0010977","negative regulation of neuron projection...",168,2,0.14,21,0.00882,0.00882,0.0119047619047619,"Thy1, Ube3a"
"37","BP","GO:0050770","regulation of axonogenesis",191,2,0.16,25,0.01127,0.01127,0.0104712041884817,"Thy1, Lrrc4c"
"38","BP","GO:0035265","organ growth",191,2,0.16,26,0.01127,0.01127,0.0104712041884817,"Ube3a, Fgf1"
"42","BP","GO:1903362","regulation of cellular protein catabolic...",228,2,0.2,33,0.01579,0.01579,0.0087719298245614,"Ldlr, Ube3a"
"44","BP","GO:0010893","positive regulation of steroid biosynthe...",20,1,0.02,38,0.017,0.017,0.05,"Fgf1"
"45","BP","GO:0019433","triglyceride catabolic process",20,1,0.02,39,0.017,0.017,0.05,"Ldlr"
"46","BP","GO:0046475","glycerophospholipid catabolic process",20,1,0.02,40,0.017,0.017,0.05,"Ldlr"
"47","BP","GO:0050996","positive regulation of lipid catabolic p...",20,1,0.02,41,0.017,0.017,0.05,"Ldlr"
"48","BP","GO:0031065","positive regulation of histone deacetyla...",20,1,0.02,42,0.017,0.017,0.05,"Akap8l"
"49","BP","GO:0060219","camera-type eye photoreceptor cell diffe...",20,1,0.02,43,0.017,0.017,0.05,"Thy1"
"50","BP","GO:2001026","regulation of endothelial cell chemotaxi...",21,1,0.02,46,0.01785,0.01785,0.0476190476190476,"Fgf1"
"51","BP","GO:0090208","positive regulation of triglyceride meta...",21,1,0.02,47,0.01785,0.01785,0.0476190476190476,"Ldlr"
"52","BP","GO:0032366","intracellular sterol transport",21,1,0.02,48,0.01785,0.01785,0.0476190476190476,"Ldlr"
"53","BP","GO:0032367","intracellular cholesterol transport",21,1,0.02,49,0.01785,0.01785,0.0476190476190476,"Ldlr"
"55","BP","GO:0006144","purine nucleobase metabolic process",22,1,0.02,51,0.01869,0.01869,0.0454545454545455,"Ttr"
"56","BP","GO:0050858","negative regulation of antigen receptor-...",22,1,0.02,52,0.01869,0.01869,0.0454545454545455,"Thy1"
"57","BP","GO:0055094","response to lipoprotein particle",23,1,0.02,54,0.01953,0.01953,0.0434782608695652,"Ldlr"
"58","BP","GO:1902932","positive regulation of alcohol biosynthe...",23,1,0.02,55,0.01953,0.01953,0.0434782608695652,"Fgf1"
"59","BP","GO:1905809","negative regulation of synapse organizat...",24,1,0.02,57,0.02037,0.02037,0.0416666666666667,"Ube3a"
"60","BP","GO:0045940","positive regulation of steroid metabolic...",25,1,0.02,58,0.02121,0.02121,0.04,"Fgf1"
