"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0042803","protein homodimerization activity",808,15,5.31,3,0.00025,0.00025,0.0185643564356436,"Dpyd, Cdh4, Cdh9, Dgkh, Tenm1, Slit2, Camk2d, Cdh12, Cdh20, Tenm2, Homer2, Runx1t1, Zbtb16, Ext1, Nr3c2"
"2","MF","GO:0045296","cadherin binding",54,4,0.35,5,0.00043,0.00043,0.0740740740740741,"Cdh4, Cdh9, Cdh12, Cdh20"
"3","MF","GO:0005509","calcium ion binding",499,11,3.28,6,0.00043,0.00043,0.0220440881763527,"Cdh4, Dgkb, Cdh9, Kcnip4, Slit2, Egfem1, Cdh12, Cdh20, Pcdh15, Pam, Clstn2"
"4","MF","GO:0045499","chemorepellent activity",27,3,0.18,7,0.00072,0.00072,0.111111111111111,"Nrg1, Slit2, Sema6d"
"5","MF","GO:0008376","acetylgalactosaminyltransferase activity",37,3,0.24,10,0.00182,0.00182,0.0810810810810811,"Galnt17, Galntl6, Chsy3"
"6","MF","GO:0046982","protein heterodimerization activity",477,9,3.13,11,0.00417,0.00417,0.0188679245283019,"Npas3, Ttr, Sox5, Tenm1, Tenm2, Homer2, Bcl11a, Ext1, Nr3c2"
"7","MF","GO:0015276","ligand-gated ion channel activity",111,4,0.73,13,0.00616,0.00616,0.036036036036036,"Gria1, Gabra2, Pex5l, Kcnj3"
"8","MF","GO:0098632","cell-cell adhesion mediator activity",27,2,0.18,17,0.01349,0.01349,0.0740740740740741,"Cdh9, Cntn5"
"9","MF","GO:0008194","UDP-glycosyltransferase activity",116,6,0.76,1,0.01415,0.00012,0.0517241379310345,"Galnt17, Galntl6, Large1, Ext1, Chsy3, Ndst3"
"10","MF","GO:0099094","ligand-gated cation channel activity",82,3,0.54,19,0.01678,0.01678,0.0365853658536585,"Gria1, Pex5l, Kcnj3"
"11","MF","GO:0043394","proteoglycan binding",33,2,0.22,22,0.01978,0.01978,0.0606060606060606,"Lrrtm4, Slit2"
"12","MF","GO:0030594","neurotransmitter receptor activity",91,3,0.6,23,0.02207,0.02207,0.032967032967033,"Htr1f, Gria1, Gabra2"
"13","MF","GO:0098631","cell adhesion mediator activity",35,2,0.23,24,0.02211,0.02211,0.0571428571428571,"Cdh9, Cntn5"
"14","MF","GO:0003700","DNA-binding transcription factor activit...",738,10,4.85,25,0.02321,0.02321,0.013550135501355,"Npas3, Sox5, Bcl11b, Runx1t1, Meis2, Bcl11a, Zbtb16, Rora, Pbx3, Nr3c2"
"15","MF","GO:0099106","ion channel regulator activity",95,3,0.62,26,0.02468,0.02468,0.0315789473684211,"Kcnip4, Dpp10, Camk2d"
"16","MF","GO:0000981","DNA-binding transcription factor activit...",541,8,3.56,27,0.02609,0.02609,0.0147874306839187,"Npas3, Sox5, Bcl11b, Meis2, Bcl11a, Zbtb16, Rora, Pbx3"
"17","MF","GO:0008092","cytoskeletal protein binding",885,11,5.82,30,0.03074,0.03074,0.0124293785310734,"Cdh4, Gria1, Cdh9, Unc5c, Camk2d, Cdh12, Cdh20, Homer2, Sntb2, Wipf3, Sntg2"
"18","MF","GO:0038023","signaling receptor activity",885,11,5.82,31,0.03074,0.03074,0.0124293785310734,"Htr1f, Dcc, Gria1, Gabra2, Unc5c, Rxfp1, Rora, Ephb1, Ephb2, Unc5d, Nr3c2"
"19","MF","GO:0015459","potassium channel regulator activity",42,2,0.28,32,0.03105,0.03105,0.0476190476190476,"Kcnip4, Dpp10"
"20","MF","GO:0005261","cation channel activity",276,5,1.81,33,0.03549,0.03549,0.0181159420289855,"Gria1, Kcnip4, Pex5l, Trpm3, Kcnj3"
"21","MF","GO:0008146","sulfotransferase activity",46,2,0.3,37,0.03671,0.03671,0.0434782608695652,"Hs6st3, Ndst3"
"22","MF","GO:0003707","steroid hormone receptor activity",46,2,0.3,38,0.03671,0.03671,0.0434782608695652,"Rora, Nr3c2"
"23","MF","GO:0030165","PDZ domain binding",113,3,0.74,39,0.0384,0.0384,0.0265486725663717,"Gria1, Erc2, Sntg2"
"24","MF","GO:1904315","transmitter-gated ion channel activity i...",48,2,0.32,40,0.03967,0.03967,0.0416666666666667,"Gria1, Gabra2"
"25","MF","GO:0008375","acetylglucosaminyltransferase activity",48,2,0.32,41,0.03967,0.03967,0.0416666666666667,"Ext1, Ndst3"
"26","MF","GO:0051018","protein kinase A binding",49,2,0.32,42,0.04118,0.04118,0.0408163265306122,"Gria1, Sphkap"
"27","MF","GO:0060089","molecular transducer activity",930,11,6.11,44,0.04173,0.04173,0.0118279569892473,"Htr1f, Dcc, Gria1, Gabra2, Unc5c, Rxfp1, Rora, Ephb1, Ephb2, Unc5d, Nr3c2"
"28","MF","GO:0099529","neurotransmitter receptor activity invol...",51,2,0.34,46,0.04428,0.04428,0.0392156862745098,"Gria1, Gabra2"
"29","MF","GO:0140110","transcription regulator activity",1059,12,6.96,47,0.04492,0.04492,0.0113314447592068,"Dcc, Npas3, Nrg1, Sox5, Bcl11b, Runx1t1, Meis2, Bcl11a, Zbtb16, Rora, Pbx3, Nr3c2"
"30","MF","GO:0016247","channel regulator activity",122,3,0.8,48,0.04644,0.04644,0.0245901639344262,"Kcnip4, Dpp10, Camk2d"
"31","BP","GO:0007411","axon guidance",204,12,1.36,1,1.1e-08,1.1e-08,0.0588235294117647,"Dcc, Cdh4, Bcl11b, Slit2, Unc5c, Cntn5, Tenm2, Sema6d, Ephb1, Ext1, Ephb2, Unc5d"
"32","BP","GO:0007156","homophilic cell adhesion via plasma memb...",90,7,0.6,27,2.3e-06,2.3e-06,0.0777777777777778,"Cdh4, Cdh9, Cdh12, Cdh20, Cntn5, Pcdh15, Clstn2"
"33","BP","GO:0051965","positive regulation of synapse assembly",71,6,0.47,33,7.7e-06,7.7e-06,0.0845070422535211,"Lrrtm4, Lingo2, Ephb1, Prkca, Clstn2, Ephb2"
"34","BP","GO:0016339","calcium-dependent cell-cell adhesion via...",26,4,0.17,41,2.5e-05,2.5e-05,0.153846153846154,"Cdh4, Cdh9, Cdh12, Cdh20"
"35","BP","GO:0021952","central nervous system projection neuron...",27,4,0.18,42,2.9e-05,2.9e-05,0.148148148148148,"Dcc, Slit2, Ephb1, Ephb2"
"36","BP","GO:0044331","cell-cell adhesion mediated by cadherin",31,4,0.21,45,5.1e-05,5.1e-05,0.129032258064516,"Cdh4, Cdh9, Cdh12, Cdh20"
"37","BP","GO:0050771","negative regulation of axonogenesis",66,5,0.44,47,7.8e-05,7.8e-05,0.0757575757575758,"Slit2, Dab1, Sema6d, Bcl11a, Ephb2"
"38","BP","GO:0007626","locomotory behavior",219,8,1.46,51,0.00011,0.00011,0.0365296803652968,"Npas3, Fign, Ankfn1, Nrg1, Negr1, Dab1, Pcdh15, Pbx3"
