"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0007411","axon guidance",200,10,1.32,8,8e-07,8e-07,0.05,"Sema6d, Unc5d, Ephb1, Ephb2, Cntn5, Cdh4, Dcc, Unc5c, Bcl11b, Epha7"
"32","BP","GO:0050771","negative regulation of axonogenesis",65,6,0.43,20,4.3e-06,4.3e-06,0.0923076923076923,"Dab1, Sema6d, Bcl11a, Ephb2, Fstl4, Epha7"
"33","BP","GO:0016339","calcium-dependent cell-cell adhesion via...",26,4,0.17,34,2.4e-05,2.4e-05,0.153846153846154,"Cdh20, Cdh12, Cdh4, Cdh9"
"34","BP","GO:2000300","regulation of synaptic vesicle exocytosi...",93,6,0.61,37,3.4e-05,3.4e-05,0.0645161290322581,"Prkca, Nr3c2, Ppfia2, Prkcb, Prkcg, Grm8"
"35","BP","GO:0044331","cell-cell adhesion mediated by cadherin",31,4,0.2,44,4.9e-05,4.9e-05,0.129032258064516,"Cdh20, Cdh12, Cdh4, Cdh9"
"36","BP","GO:0007156","homophilic cell adhesion via plasma memb...",89,5,0.59,77,3e-04,3e-04,0.0561797752808989,"Cdh20, Cdh12, Cntn5, Cdh4, Cdh9"
"37","BP","GO:0007043","cell-cell junction assembly",91,5,0.6,79,0.00034,0.00034,0.0549450549450549,"Cdh20, Prkca, Cdh12, Cdh4, Cdh9"
"38","BP","GO:0048670","regulation of collateral sprouting",23,3,0.15,82,0.00045,0.00045,0.130434782608696,"Bcl11a, Fstl4, Epha7"
"40","BP","GO:0021952","central nervous system projection neuron...",26,3,0.17,87,0.00065,0.00065,0.115384615384615,"Ephb1, Ephb2, Dcc"
"41","BP","GO:0009101","glycoprotein biosynthetic process",245,7,1.62,96,0.00119,0.00119,0.0285714285714286,"Hs6st3, Mgat4c, Fut9, Ndst3, Galntl6, Large1, Necab1"
"42","BP","GO:0048013","ephrin receptor signaling pathway",32,3,0.21,97,0.00121,0.00121,0.09375,"Ephb1, Ephb2, Epha7"
"44","BP","GO:0021953","central nervous system neuron differenti...",165,8,1.09,29,0.00201,1.3e-05,0.0484848484848485,"Unc5d, Prkca, Ephb1, Ephb2, Dcc, Sox5, Bcl11b, Spock1"
"45","BP","GO:0050919","negative chemotaxis",43,3,0.28,118,0.00285,0.00285,0.0697674418604651,"Sema6d, Unc5c, Nrg1"
"46","BP","GO:0001764","neuron migration",157,5,1.04,123,0.00384,0.00384,0.0318471337579618,"Dab1, Unc5d, Dcc, Spock1, Nrg1"
"47","BP","GO:0051963","regulation of synapse assembly",108,4,0.71,126,0.00568,0.00568,0.037037037037037,"Prkca, Ephb1, Ephb2, Epha7"
"48","BP","GO:0007416","synapse assembly",165,7,1.09,53,0.00576,0.00011,0.0424242424242424,"Prkca, Ephb1, Ephb2, Cntn5, Epha7, Cdh9, Nrg1"
"49","BP","GO:1990138","neuron projection extension",176,5,1.16,128,0.0062,0.0062,0.0284090909090909,"Sema6d, Bcl11a, Cdh4, Sh3gl2, Nrg1"
"50","BP","GO:0050773","regulation of dendrite development",176,5,1.16,129,0.0062,0.0062,0.0284090909090909,"Hecw2, Bcl11a, Fstl4, Csmd3, Nrg1"
"52","BP","GO:0032413","negative regulation of ion transmembrane...",57,3,0.38,131,0.00631,0.00631,0.0526315789473684,"Hecw2, Prkca, Ephb2"
"53","BP","GO:0021675","nerve development",59,3,0.39,134,0.00695,0.00695,0.0508474576271186,"Ephb1, Ephb2, Prkcg"
"54","BP","GO:0048640","negative regulation of developmental gro...",116,4,0.77,135,0.00729,0.00729,0.0344827586206897,"Sema6d, Bcl11a, Fstl4, Epha7"
"55","BP","GO:0060996","dendritic spine development",117,4,0.77,136,0.00751,0.00751,0.0341880341880342,"Ephb1, Ephb2, Fstl4, Nrg1"
"56","BP","GO:0034332","adherens junction organization",118,4,0.78,137,0.00773,0.00773,0.0338983050847458,"Cdh20, Cdh12, Cdh4, Cdh9"
"58","BP","GO:0010829","negative regulation of glucose transmemb...",21,2,0.14,140,0.00835,0.00835,0.0952380952380952,"Prkca, Prkcb"
"59","BP","GO:0098742","cell-cell adhesion via plasma-membrane a...",162,8,1.07,26,0.00875,1.2e-05,0.0493827160493827,"Dab1, Cdh20, Unc5d, Cdh12, Cntn5, Cdh4, Cdh9, Tenm1"
