"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0008081","phosphoric diester hydrolase activity",80,2,0.12,1,0.0069,0.0069,0.025,"Pde10a, Plce1"
"2","MF","GO:0005261","cation channel activity",263,3,0.41,2,0.0077,0.0077,0.0114068441064639,"Kcnn2, Asic2, Kcnd3"
"3","MF","GO:0022839","ion gated channel activity",264,3,0.41,3,0.0078,0.0078,0.0113636363636364,"Kcnn2, Asic2, Kcnd3"
"4","MF","GO:0099106","ion channel regulator activity",97,2,0.15,5,0.01,0.01,0.0206185567010309,"Grm3, Wnk2"
"5","MF","GO:0015077","monovalent inorganic cation transmembran...",293,3,0.46,6,0.0103,0.0103,0.0102389078498294,"Kcnn2, Asic2, Kcnd3"
"6","MF","GO:0005267","potassium channel activity",104,2,0.16,7,0.0114,0.0114,0.0192307692307692,"Kcnn2, Kcnd3"
"7","MF","GO:0046873","metal ion transmembrane transporter acti...",363,3,0.57,15,0.0183,0.0183,0.00826446280991736,"Kcnn2, Asic2, Kcnd3"
"8","MF","GO:0015079","potassium ion transmembrane transporter ...",137,2,0.21,16,0.0192,0.0192,0.0145985401459854,"Kcnn2, Kcnd3"
"9","MF","GO:0005227","calcium activated cation channel activit...",24,1,0.04,18,0.0369,0.0369,0.0416666666666667,"Kcnn2"
"10","MF","GO:0030371","translation repressor activity",24,1,0.04,19,0.0369,0.0369,0.0416666666666667,"Samd4"
"11","MF","GO:0050839","cell adhesion molecule binding",202,2,0.32,20,0.0393,0.0393,0.0099009900990099,"Cdh19, Prkca"
"12","MF","GO:0016709","oxidoreductase activity, acting on paire...",26,1,0.04,21,0.0399,0.0399,0.0384615384615385,"Msmo1"
"13","MF","GO:0008066","glutamate receptor activity",26,1,0.04,22,0.0399,0.0399,0.0384615384615385,"Grm3"
"14","MF","GO:0004114","3',5'-cyclic-nucleotide phosphodiesteras...",26,1,0.04,23,0.0399,0.0399,0.0384615384615385,"Pde10a"
"15","MF","GO:0004112","cyclic-nucleotide phosphodiesterase acti...",27,1,0.04,24,0.0414,0.0414,0.037037037037037,"Pde10a"
"16","MF","GO:0030551","cyclic nucleotide binding",28,1,0.04,25,0.0429,0.0429,0.0357142857142857,"Pde10a"
"17","MF","GO:0008200","ion channel inhibitor activity",28,1,0.04,26,0.0429,0.0429,0.0357142857142857,"Wnk2"
"18","MF","GO:0016248","channel inhibitor activity",29,1,0.05,27,0.0444,0.0444,0.0344827586206897,"Wnk2"
"19","MF","GO:0005272","sodium channel activity",30,1,0.05,29,0.0459,0.0459,0.0333333333333333,"Asic2"
"20","MF","GO:0005246","calcium channel regulator activity",35,1,0.05,30,0.0533,0.0533,0.0285714285714286,"Grm3"
"21","MF","GO:0008376","acetylgalactosaminyltransferase activity",36,1,0.06,31,0.0548,0.0548,0.0277777777777778,"Galnt18"
"22","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",36,1,0.06,32,0.0548,0.0548,0.0277777777777778,"Pttg1"
"23","MF","GO:0004601","peroxidase activity",37,1,0.06,33,0.0563,0.0563,0.027027027027027,"Hbb-bs"
"24","MF","GO:0016684","oxidoreductase activity, acting on perox...",41,1,0.06,34,0.0622,0.0622,0.024390243902439,"Hbb-bs"
"25","MF","GO:0015459","potassium channel regulator activity",43,1,0.07,35,0.0651,0.0651,0.0232558139534884,"Wnk2"
"26","MF","GO:0046872","metal ion binding",2995,8,4.68,38,0.0788,0.0788,0.00267111853088481,"Zswim6, Msmo1, Galnt18, Pde10a, Kcnd3, Cdh19, Prkca, Plce1"
