"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"32","BP","GO:0007178","transmembrane receptor protein serine/th...",262,2,0.16,2,0.0106,0.0106,0.00763358778625954,"Ptprk, Meg3"
"33","BP","GO:1901798","positive regulation of signal transducti...",22,1,0.01,3,0.0134,0.0134,0.0454545454545455,"Spred2"
"34","BP","GO:0008340","determination of adult lifespan",22,1,0.01,4,0.0134,0.0134,0.0454545454545455,"Meg3"
"35","BP","GO:0010837","regulation of keratinocyte proliferation",28,1,0.02,5,0.0171,0.0171,0.0357142857142857,"Ptprk"
"36","BP","GO:0043516","regulation of DNA damage response, signa...",31,1,0.02,6,0.0189,0.0189,0.032258064516129,"Spred2"
"37","BP","GO:0071514","genetic imprinting",32,1,0.02,7,0.0195,0.0195,0.03125,"Meg3"
"38","BP","GO:2000816","negative regulation of mitotic sister ch...",32,1,0.02,8,0.0195,0.0195,0.03125,"Pttg1"
"39","BP","GO:1905819","negative regulation of chromosome separa...",33,1,0.02,9,0.0201,0.0201,0.0303030303030303,"Pttg1"
"40","BP","GO:0033048","negative regulation of mitotic sister ch...",34,1,0.02,10,0.0207,0.0207,0.0294117647058824,"Pttg1"
"41","BP","GO:0006956","complement activation",35,1,0.02,11,0.0213,0.0213,0.0285714285714286,"C4b"
"42","BP","GO:0043616","keratinocyte proliferation",35,1,0.02,12,0.0213,0.0213,0.0285714285714286,"Ptprk"
"43","BP","GO:0010259","multicellular organism aging",36,1,0.02,13,0.0219,0.0219,0.0277777777777778,"Meg3"
"44","BP","GO:0033046","negative regulation of sister chromatid ...",36,1,0.02,14,0.0219,0.0219,0.0277777777777778,"Pttg1"
"45","BP","GO:0045786","negative regulation of cell cycle",393,2,0.24,15,0.0228,0.0228,0.00508905852417303,"Ptprk, Pttg1"
"46","BP","GO:0051985","negative regulation of chromosome segreg...",38,1,0.02,16,0.0231,0.0231,0.0263157894736842,"Pttg1"
"47","BP","GO:0007157","heterophilic cell-cell adhesion via plas...",40,1,0.02,17,0.0243,0.0243,0.025,"Tenm2"
"49","BP","GO:0010799","regulation of peptidyl-threonine phospho...",43,1,0.03,20,0.0261,0.0261,0.0232558139534884,"Spred2"
"50","BP","GO:0072376","protein activation cascade",43,1,0.03,21,0.0261,0.0261,0.0232558139534884,"C4b"
"51","BP","GO:0090311","regulation of protein deacetylation",43,1,0.03,22,0.0261,0.0261,0.0232558139534884,"Spred2"
"52","BP","GO:0045839","negative regulation of mitotic nuclear d...",45,1,0.03,23,0.0273,0.0273,0.0222222222222222,"Pttg1"
"53","BP","GO:0045143","homologous chromosome segregation",46,1,0.03,24,0.0279,0.0279,0.0217391304347826,"Pttg1"
"54","BP","GO:0007062","sister chromatid cohesion",47,1,0.03,25,0.0285,0.0285,0.0212765957446809,"Pttg1"
"55","BP","GO:0010965","regulation of mitotic sister chromatid s...",48,1,0.03,26,0.0291,0.0291,0.0208333333333333,"Pttg1"
"56","BP","GO:0048286","lung alveolus development",49,1,0.03,27,0.0297,0.0297,0.0204081632653061,"Meg3"
"57","BP","GO:0051784","negative regulation of nuclear division",50,1,0.03,28,0.0303,0.0303,0.02,"Pttg1"
"58","BP","GO:0051306","mitotic sister chromatid separation",52,1,0.03,29,0.0315,0.0315,0.0192307692307692,"Pttg1"
"59","BP","GO:1905818","regulation of chromosome separation",53,1,0.03,30,0.0321,0.0321,0.0188679245283019,"Pttg1"
