"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0050839","cell adhesion molecule binding",214,3,0.13,4,0.00024,0.00024,0.014018691588785,"Thy1, Lrrc4c, Tenm4"
"2","MF","GO:0005249","voltage-gated potassium channel activity",75,2,0.05,8,0.00089,0.00089,0.0266666666666667,"Kcnt2, Kcnq5"
"3","MF","GO:0046982","protein heterodimerization activity",495,3,0.3,15,0.00274,0.00274,0.00606060606060606,"Ttr, Tenm4, Scube1"
"4","MF","GO:0098772","molecular function regulator",1391,4,0.84,19,0.00693,0.00693,0.00287562904385334,"Thy1, Sema5a, Ttr, Cacnb2"
"5","MF","GO:0030215","semaphorin receptor binding",21,1,0.01,22,0.01263,0.01263,0.0476190476190476,"Sema5a"
"6","MF","GO:0005251","delayed rectifier potassium channel acti...",23,1,0.01,23,0.01383,0.01383,0.0434782608695652,"Kcnq5"
"7","MF","GO:0048018","receptor ligand activity",307,2,0.19,24,0.01402,0.01402,0.00651465798045603,"Sema5a, Ttr"
"8","MF","GO:0030545","receptor regulator activity",333,2,0.2,27,0.01636,0.01636,0.00600600600600601,"Sema5a, Ttr"
"9","MF","GO:0045499","chemorepellent activity",28,1,0.02,28,0.01681,0.01681,0.0357142857142857,"Sema5a"
"10","MF","GO:0098632","cell-cell adhesion mediator activity",28,1,0.02,29,0.01681,0.01681,0.0357142857142857,"Lrrc4c"
"11","MF","GO:0043394","proteoglycan binding",33,1,0.02,31,0.01979,0.01979,0.0303030303030303,"Sema5a"
"12","MF","GO:0005246","calcium channel regulator activity",37,1,0.02,32,0.02216,0.02216,0.027027027027027,"Cacnb2"
"13","MF","GO:0098631","cell adhesion mediator activity",37,1,0.02,33,0.02216,0.02216,0.027027027027027,"Lrrc4c"
"14","MF","GO:0022843","voltage-gated cation channel activity",132,3,0.08,1,0.02738,5.7e-05,0.0227272727272727,"Kcnt2, Cacnb2, Kcnq5"
"15","MF","GO:0005245","voltage-gated calcium channel activity",49,1,0.03,34,0.02926,0.02926,0.0204081632653061,"Cacnb2"
"16","MF","GO:0005102","signaling receptor binding",1332,3,0.81,37,0.04076,0.04076,0.00225225225225225,"Thy1, Sema5a, Ttr"
"17","MF","GO:0005179","hormone activity",74,1,0.04,38,0.04388,0.04388,0.0135135135135135,"Ttr"
"18","MF","GO:0005244","voltage-gated ion channel activity",178,3,0.11,2,0.049,0.00014,0.0168539325842697,"Kcnt2, Cacnb2, Kcnq5"
"19","MF","GO:0022832","voltage-gated channel activity",178,3,0.11,3,0.049,0.00014,0.0168539325842697,"Kcnt2, Cacnb2, Kcnq5"
"20","MF","GO:0042562","hormone binding",90,1,0.05,39,0.05314,0.05314,0.0111111111111111,"Ttr"
"21","MF","GO:0099106","ion channel regulator activity",96,1,0.06,40,0.05659,0.05659,0.0104166666666667,"Cacnb2"
"22","MF","GO:0051219","phosphoprotein binding",97,1,0.06,41,0.05716,0.05716,0.0103092783505155,"Cacnb2"
"23","MF","GO:0019901","protein kinase binding",688,2,0.42,42,0.06236,0.06236,0.00290697674418605,"Thy1, Cacnb2"
"24","MF","GO:0005262","calcium channel activity",116,1,0.07,43,0.06801,0.06801,0.00862068965517241,"Cacnb2"
"25","MF","GO:0005178","integrin binding",117,1,0.07,44,0.06858,0.06858,0.00854700854700855,"Thy1"
"26","MF","GO:0016247","channel regulator activity",121,1,0.07,45,0.07085,0.07085,0.00826446280991736,"Cacnb2"
"27","MF","GO:0042802","identical protein binding",1688,3,1.02,46,0.0738,0.0738,0.00177725118483412,"Ttr, Cacnb2, Tenm4"
"28","MF","GO:0019900","kinase binding",759,2,0.46,47,0.07418,0.07418,0.00263504611330698,"Thy1, Cacnb2"
"29","MF","GO:0015085","calcium ion transmembrane transporter ac...",133,1,0.08,48,0.07762,0.07762,0.0075187969924812,"Cacnb2"
"30","MF","GO:0005539","glycosaminoglycan binding",170,1,0.1,49,0.09823,0.09823,0.00588235294117647,"Sema5a"
"31","BP","GO:0050771","negative regulation of axonogenesis",67,2,0.04,5,0.00086,0.00086,0.0298507462686567,"Thy1, Sema5a"
"32","BP","GO:1904427","positive regulation of calcium ion trans...",71,2,0.05,6,0.00097,0.00097,0.028169014084507,"Thy1, Cacnb2"
