"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0003723","RNA binding",958,1,0.06,1,0.063,0.063,0.00104384133611691,"Rbm28"
"2","MF","GO:0003676","nucleic acid binding",2535,1,0.17,2,0.167,0.167,0.000394477317554241,"Rbm28"
"3","MF","GO:1901363","heterocyclic compound binding",4173,1,0.27,3,0.274,0.274,0.000239635753654445,"Rbm28"
"4","MF","GO:0097159","organic cyclic compound binding",4235,1,0.28,4,0.279,0.279,0.000236127508854782,"Rbm28"
"5","MF","GO:0005488","binding",10283,1,0.68,5,0.676,0.676,9.72478848585043e-05,"Rbm28"
"6","MF","GO:0003674","molecular_function",15205,1,1,6,1,1,6.57678395264716e-05,"Rbm28"
"7","MF","GO:0000030","mannosyltransferase activity",25,0,0,7,1,1,0,""
"8","MF","GO:0000049","tRNA binding",54,0,0,8,1,1,0,""
"9","MF","GO:0000062","fatty-acyl-CoA binding",24,0,0,9,1,1,0,""
"10","MF","GO:0000149","SNARE binding",112,0,0.01,10,1,1,0,""
"11","MF","GO:0000166","nucleotide binding",1804,0,0.12,11,1,1,0,""
"12","MF","GO:0000175","3'-5'-exoribonuclease activity",27,0,0,12,1,1,0,""
"13","MF","GO:0000217","DNA secondary structure binding",23,0,0,13,1,1,0,""
"14","MF","GO:0000287","magnesium ion binding",172,0,0.01,14,1,1,0,""
"15","MF","GO:0000976","transcription regulatory region sequence...",620,0,0.04,15,1,1,0,""
"16","MF","GO:0000977","RNA polymerase II regulatory region sequ...",585,0,0.04,16,1,1,0,""
"17","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",408,0,0.03,17,1,1,0,""
"18","MF","GO:0000979","RNA polymerase II core promoter sequence...",35,0,0,18,1,1,0,""
"19","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",64,0,0,19,1,1,0,""
"20","MF","GO:0000981","DNA-binding transcription factor activit...",515,0,0.03,20,1,1,0,""
"21","MF","GO:0000987","proximal promoter sequence-specific DNA ...",415,0,0.03,21,1,1,0,""
"22","MF","GO:0000993","RNA polymerase II complex binding",35,0,0,22,1,1,0,""
"23","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",593,0,0.04,23,1,1,0,""
"24","MF","GO:0001046","core promoter sequence-specific DNA bind...",46,0,0,24,1,1,0,""
"25","MF","GO:0001047","core promoter binding",56,0,0,25,1,1,0,""
"26","MF","GO:0001067","regulatory region nucleic acid binding",720,0,0.05,26,1,1,0,""
"27","MF","GO:0001085","RNA polymerase II transcription factor b...",132,0,0.01,27,1,1,0,""
"28","MF","GO:0001091","RNA polymerase II basal transcription fa...",21,0,0,28,1,1,0,""
"29","MF","GO:0001098","basal transcription machinery binding",55,0,0,29,1,1,0,""
"30","MF","GO:0001099","basal RNA polymerase II transcription ma...",55,0,0,30,1,1,0,""
"31","BP","GO:0008380","RNA splicing",335,1,0.02,1,0.022,0.022,0.00298507462686567,"Rbm28"
"32","BP","GO:0006397","mRNA processing",416,1,0.03,2,0.027,0.027,0.00240384615384615,"Rbm28"
"33","BP","GO:0016071","mRNA metabolic process",579,1,0.04,3,0.038,0.038,0.00172711571675302,"Rbm28"
"34","BP","GO:0006396","RNA processing",764,1,0.05,4,0.05,0.05,0.00130890052356021,"Rbm28"
"35","BP","GO:0016070","RNA metabolic process",3115,1,0.2,5,0.204,0.204,0.000321027287319422,"Rbm28"
