"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0006144","purine nucleobase metabolic process",20,1,0,1,0.0026,0.0026,0.05,"Ttr"
"32","BP","GO:1905809","negative regulation of synapse organizat...",23,1,0,2,0.003,0.003,0.0434782608695652,"Ube3a"
"33","BP","GO:0001523","retinoid metabolic process",26,1,0,3,0.0034,0.0034,0.0384615384615385,"Ttr"
"34","BP","GO:0030521","androgen receptor signaling pathway",32,1,0,6,0.0042,0.0042,0.03125,"Ube3a"
"35","BP","GO:2000171","negative regulation of dendrite developm...",33,1,0,7,0.0043,0.0043,0.0303030303030303,"Ube3a"
"36","BP","GO:0030850","prostate gland development",43,1,0.01,9,0.0056,0.0056,0.0232558139534884,"Ube3a"
"37","BP","GO:0034308","primary alcohol metabolic process",44,1,0.01,10,0.0057,0.0057,0.0227272727272727,"Ttr"
"38","BP","GO:0061001","regulation of dendritic spine morphogene...",50,1,0.01,11,0.0065,0.0065,0.02,"Ube3a"
"39","BP","GO:0070936","protein K48-linked ubiquitination",51,1,0.01,13,0.0066,0.0066,0.0196078431372549,"Ube3a"
"40","BP","GO:0001541","ovarian follicle development",57,1,0.01,14,0.0074,0.0074,0.0175438596491228,"Ube3a"
"41","BP","GO:0014068","positive regulation of phosphatidylinosi...",63,1,0.01,15,0.0082,0.0082,0.0158730158730159,"Ube3a"
"42","BP","GO:0034754","cellular hormone metabolic process",64,1,0.01,16,0.0083,0.0083,0.015625,"Ttr"
"43","BP","GO:0051865","protein autoubiquitination",66,1,0.01,17,0.0086,0.0086,0.0151515151515152,"Ube3a"
"44","BP","GO:0010771","negative regulation of cell morphogenesi...",94,1,0.01,24,0.0122,0.0122,0.0106382978723404,"Ube3a"
"45","BP","GO:0007338","single fertilization",97,1,0.01,27,0.0126,0.0126,0.0103092783505155,"Ube3a"
"46","BP","GO:1901654","response to ketone",97,1,0.01,28,0.0126,0.0126,0.0103092783505155,"Ube3a"
"47","BP","GO:0031398","positive regulation of protein ubiquitin...",103,1,0.01,30,0.0134,0.0134,0.00970873786407767,"Ube3a"
"48","BP","GO:0042752","regulation of circadian rhythm",105,1,0.01,31,0.0137,0.0137,0.00952380952380952,"Ube3a"
"49","BP","GO:1903322","positive regulation of protein modificat...",125,1,0.02,37,0.0162,0.0162,0.008,"Ube3a"
"50","BP","GO:0009566","fertilization",133,1,0.02,40,0.0173,0.0173,0.0075187969924812,"Ube3a"
"51","BP","GO:2000058","regulation of ubiquitin-dependent protei...",138,1,0.02,41,0.0179,0.0179,0.0072463768115942,"Ube3a"
"52","BP","GO:0035265","organ growth",178,1,0.02,52,0.0231,0.0231,0.00561797752808989,"Ube3a"
"53","BP","GO:0007623","circadian rhythm",179,1,0.02,53,0.0232,0.0232,0.00558659217877095,"Ube3a"
"54","BP","GO:0031396","regulation of protein ubiquitination",187,1,0.02,56,0.0243,0.0243,0.0053475935828877,"Ube3a"
"55","BP","GO:1903050","regulation of proteolysis involved in ce...",193,1,0.03,57,0.025,0.025,0.00518134715025907,"Ube3a"
"56","BP","GO:1903320","regulation of protein modification by sm...",216,1,0.03,60,0.028,0.028,0.00462962962962963,"Ube3a"
"57","BP","GO:1903362","regulation of cellular protein catabolic...",222,1,0.03,61,0.0288,0.0288,0.0045045045045045,"Ube3a"
"58","BP","GO:0048511","rhythmic process",250,1,0.03,63,0.0324,0.0324,0.004,"Ube3a"
"59","BP","GO:0009914","hormone transport",292,1,0.04,69,0.0377,0.0377,0.00342465753424658,"Ttr"
"60","BP","GO:0042176","regulation of protein catabolic process",351,1,0.05,78,0.0453,0.0453,0.00284900284900285,"Ube3a"
