"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0016101","diterpenoid metabolic process",21,1,0,1,0.0017,0.0017,0.0476190476190476,"Ttr"
"32","BP","GO:0009112","nucleobase metabolic process",28,1,0,3,0.0022,0.0022,0.0357142857142857,"Ttr"
"33","BP","GO:0034308","primary alcohol metabolic process",34,1,0,4,0.0027,0.0027,0.0294117647058824,"Ttr"
"34","BP","GO:0034754","cellular hormone metabolic process",46,1,0,6,0.0037,0.0037,0.0217391304347826,"Ttr"
"35","BP","GO:0009914","hormone transport",225,1,0.02,9,0.0179,0.0179,0.00444444444444444,"Ttr"
"36","BP","GO:0072521","purine-containing compound metabolic pro...",365,1,0.03,12,0.029,0.029,0.00273972602739726,"Ttr"
"47","BP","GO:0042445","hormone metabolic process",101,1,0.01,7,1,0.008,0.0099009900990099,"Ttr"
"48","BP","GO:0006066","alcohol metabolic process",210,1,0.02,8,1,0.0167,0.00476190476190476,"Ttr"
"56","BP","GO:1901615","organic hydroxy compound metabolic proce...",305,1,0.02,10,1,0.0242,0.00327868852459016,"Ttr"
"59","BP","GO:0006720","isoprenoid metabolic process",39,1,0,5,1,0.0031,0.0256410256410256,"Ttr"
"60","BP","GO:0006721","terpenoid metabolic process",23,1,0,2,1,0.0018,0.0434782608695652,"Ttr"
