"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0031072","heat shock protein binding",124,2,0.04,1,7e-04,7e-04,0.0161290322580645,"Pttg1, Pacrg"
"2","MF","GO:0015631","tubulin binding",303,2,0.1,3,0.0041,0.0041,0.0066006600660066,"Pacrg, Eml1"
"3","MF","GO:0030291","protein serine/threonine kinase inhibito...",27,1,0.01,4,0.0092,0.0092,0.037037037037037,"Spred2"
"4","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",34,1,0.01,5,0.0116,0.0116,0.0294117647058824,"Pttg1"
"5","MF","GO:0043014","alpha-tubulin binding",35,1,0.01,6,0.0119,0.0119,0.0285714285714286,"Pacrg"
"6","MF","GO:0051879","Hsp90 protein binding",38,1,0.01,7,0.013,0.013,0.0263157894736842,"Pacrg"
"7","MF","GO:0048487","beta-tubulin binding",41,1,0.01,8,0.014,0.014,0.024390243902439,"Pacrg"
"8","MF","GO:0030544","Hsp70 protein binding",43,1,0.01,9,0.0146,0.0146,0.0232558139534884,"Pacrg"
"9","MF","GO:0043022","ribosome binding",59,1,0.02,12,0.0201,0.0201,0.0169491525423729,"Pttg1"
"10","MF","GO:0051087","chaperone binding",91,1,0.03,15,0.0308,0.0308,0.010989010989011,"Pacrg"
"11","MF","GO:0004866","endopeptidase inhibitor activity",93,1,0.03,16,0.0315,0.0315,0.010752688172043,"Pttg1"
"12","MF","GO:0030414","peptidase inhibitor activity",98,1,0.03,17,0.0331,0.0331,0.0102040816326531,"Pttg1"
"13","MF","GO:0061135","endopeptidase regulator activity",101,1,0.03,18,0.0341,0.0341,0.0099009900990099,"Pttg1"
"14","MF","GO:0017124","SH3 domain binding",115,1,0.04,19,0.0388,0.0388,0.00869565217391304,"Pttg1"
"15","MF","GO:0061134","peptidase regulator activity",127,1,0.04,20,0.0428,0.0428,0.0078740157480315,"Pttg1"
"16","MF","GO:0043021","ribonucleoprotein complex binding",137,1,0.05,21,0.0461,0.0461,0.0072992700729927,"Pttg1"
"17","MF","GO:0005102","signaling receptor binding",1172,2,0.4,24,0.0547,0.0547,0.00170648464163823,"Pacrg, Spred2"
"18","MF","GO:0005126","cytokine receptor binding",174,1,0.06,25,0.0582,0.0582,0.00574712643678161,"Spred2"
"19","MF","GO:0004857","enzyme inhibitor activity",244,2,0.08,2,0.0583,0.0027,0.00819672131147541,"Pttg1, Spred2"
"20","MF","GO:0001664","G protein-coupled receptor binding",191,1,0.07,27,0.0638,0.0638,0.00523560209424084,"Pacrg"
"21","MF","GO:0008017","microtubule binding",214,1,0.07,28,0.0712,0.0712,0.00467289719626168,"Eml1"
"22","MF","GO:0031625","ubiquitin protein ligase binding",273,1,0.09,29,0.0901,0.0901,0.00366300366300366,"Pacrg"
"23","MF","GO:0044389","ubiquitin-like protein ligase binding",286,1,0.1,30,0.0942,0.0942,0.0034965034965035,"Pacrg"
"24","MF","GO:0003779","actin binding",360,1,0.12,31,0.1174,0.1174,0.00277777777777778,"Pacrg"
"25","MF","GO:0019899","enzyme binding",2040,2,0.7,32,0.1463,0.1463,0.000980392156862745,"Pacrg, Spred2"
"26","MF","GO:0000981","DNA-binding transcription factor activit...",498,1,0.17,33,0.1594,0.1594,0.00200803212851406,"Pttg1"
"27","MF","GO:0030234","enzyme regulator activity",759,2,0.26,13,0.1864,0.0243,0.00263504611330698,"Pttg1, Spred2"
"28","MF","GO:0019901","protein kinase binding",652,1,0.22,35,0.2043,0.2043,0.00153374233128834,"Spred2"
"29","MF","GO:0003700","DNA-binding transcription factor activit...",686,1,0.24,36,0.214,0.214,0.00145772594752187,"Pttg1"
"30","MF","GO:0019904","protein domain specific binding",695,1,0.24,37,0.2165,0.2165,0.00143884892086331,"Pttg1"
"31","BP","GO:1901798","positive regulation of signal transducti...",22,1,0.01,1,0.009,0.009,0.0454545454545455,"Spred2"
"32","BP","GO:0008340","determination of adult lifespan",22,1,0.01,2,0.009,0.009,0.0454545454545455,"Meg3"
"33","BP","GO:0043516","regulation of DNA damage response, signa...",31,1,0.01,3,0.013,0.013,0.032258064516129,"Spred2"
"34","BP","GO:2000816","negative regulation of mitotic sister ch...",32,1,0.01,4,0.013,0.013,0.03125,"Pttg1"
"35","BP","GO:0071514","genetic imprinting",32,1,0.01,5,0.013,0.013,0.03125,"Meg3"
"36","BP","GO:1905819","negative regulation of chromosome separa...",33,1,0.01,6,0.013,0.013,0.0303030303030303,"Pttg1"
"37","BP","GO:0033048","negative regulation of mitotic sister ch...",34,1,0.01,7,0.014,0.014,0.0294117647058824,"Pttg1"
"38","BP","GO:0033046","negative regulation of sister chromatid ...",36,1,0.01,8,0.015,0.015,0.0277777777777778,"Pttg1"
"39","BP","GO:0051985","negative regulation of chromosome segreg...",38,1,0.02,10,0.015,0.015,0.0263157894736842,"Pttg1"
"40","BP","GO:0010799","regulation of peptidyl-threonine phospho...",43,1,0.02,11,0.017,0.017,0.0232558139534884,"Spred2"
"41","BP","GO:0090311","regulation of protein deacetylation",43,1,0.02,12,0.017,0.017,0.0232558139534884,"Spred2"
"42","BP","GO:0033554","cellular response to stress",1522,3,0.62,13,0.018,0.018,0.00197109067017083,"Pttg1, Pacrg, Spred2"
"43","BP","GO:0045839","negative regulation of mitotic nuclear d...",45,1,0.02,14,0.018,0.018,0.0222222222222222,"Pttg1"
