"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:1901798","positive regulation of signal transducti...",22,1,0.01,1,0.009,0.009,0.0454545454545455,"Spred2"
"32","BP","GO:0008340","determination of adult lifespan",22,1,0.01,2,0.009,0.009,0.0454545454545455,"Meg3"
"33","BP","GO:0043516","regulation of DNA damage response, signa...",31,1,0.01,3,0.013,0.013,0.032258064516129,"Spred2"
"34","BP","GO:2000816","negative regulation of mitotic sister ch...",32,1,0.01,4,0.013,0.013,0.03125,"Pttg1"
"35","BP","GO:0071514","genetic imprinting",32,1,0.01,5,0.013,0.013,0.03125,"Meg3"
"36","BP","GO:1905819","negative regulation of chromosome separa...",33,1,0.01,6,0.013,0.013,0.0303030303030303,"Pttg1"
"37","BP","GO:0033048","negative regulation of mitotic sister ch...",34,1,0.01,7,0.014,0.014,0.0294117647058824,"Pttg1"
"38","BP","GO:0033046","negative regulation of sister chromatid ...",36,1,0.01,8,0.015,0.015,0.0277777777777778,"Pttg1"
"39","BP","GO:0051985","negative regulation of chromosome segreg...",38,1,0.02,10,0.015,0.015,0.0263157894736842,"Pttg1"
"40","BP","GO:0010799","regulation of peptidyl-threonine phospho...",43,1,0.02,11,0.017,0.017,0.0232558139534884,"Spred2"
"41","BP","GO:0090311","regulation of protein deacetylation",43,1,0.02,12,0.017,0.017,0.0232558139534884,"Spred2"
"43","BP","GO:0045839","negative regulation of mitotic nuclear d...",45,1,0.02,14,0.018,0.018,0.0222222222222222,"Pttg1"
"44","BP","GO:0045143","homologous chromosome segregation",46,1,0.02,15,0.019,0.019,0.0217391304347826,"Pttg1"
"45","BP","GO:0007062","sister chromatid cohesion",47,1,0.02,16,0.019,0.019,0.0212765957446809,"Pttg1"
"46","BP","GO:0010965","regulation of mitotic sister chromatid s...",48,1,0.02,17,0.019,0.019,0.0208333333333333,"Pttg1"
"47","BP","GO:0048286","lung alveolus development",49,1,0.02,18,0.02,0.02,0.0204081632653061,"Meg3"
"48","BP","GO:0051784","negative regulation of nuclear division",50,1,0.02,19,0.02,0.02,0.02,"Pttg1"
"50","BP","GO:0051306","mitotic sister chromatid separation",52,1,0.02,21,0.021,0.021,0.0192307692307692,"Pttg1"
"51","BP","GO:1905818","regulation of chromosome separation",53,1,0.02,22,0.022,0.022,0.0188679245283019,"Pttg1"
"52","BP","GO:0043407","negative regulation of MAP kinase activi...",56,1,0.02,23,0.023,0.023,0.0178571428571429,"Spred2"
"53","BP","GO:0030330","DNA damage response, signal transduction...",57,1,0.02,24,0.023,0.023,0.0175438596491228,"Spred2"
"54","BP","GO:0033047","regulation of mitotic sister chromatid s...",58,1,0.02,25,0.024,0.024,0.0172413793103448,"Pttg1"
"55","BP","GO:0006305","DNA alkylation",58,1,0.02,26,0.024,0.024,0.0172413793103448,"Meg3"
"56","BP","GO:0006306","DNA methylation",58,1,0.02,27,0.024,0.024,0.0172413793103448,"Meg3"
"57","BP","GO:0007405","neuroblast proliferation",59,1,0.02,28,0.024,0.024,0.0169491525423729,"Eml1"
"58","BP","GO:0060395","SMAD protein signal transduction",60,1,0.02,29,0.024,0.024,0.0166666666666667,"Meg3"
"60","BP","GO:0034620","cellular response to unfolded protein",70,1,0.03,32,0.028,0.028,0.0142857142857143,"Pacrg"
