"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005179","hormone activity",76,1,0.01,1,0.0091,0.0091,0.0131578947368421,"Ttr"
"2","MF","GO:0042562","hormone binding",93,1,0.01,2,0.0111,0.0111,0.010752688172043,"Ttr"
"3","MF","GO:0003713","transcription coactivator activity",242,1,0.03,3,0.0287,0.0287,0.00413223140495868,"Maml2"
"4","MF","GO:0003712","transcription coregulator activity",417,1,0.05,6,0.0492,0.0492,0.00239808153477218,"Maml2"
"5","MF","GO:0046982","protein heterodimerization activity",501,1,0.06,7,0.059,0.059,0.00199600798403194,"Ttr"
"6","MF","GO:0140110","transcription regulator activity",1125,1,0.13,8,0.13,0.13,0.000888888888888889,"Maml2"
"7","MF","GO:0046983","protein dimerization activity",1235,1,0.15,9,0.1422,0.1422,0.000809716599190283,"Ttr"
"8","MF","GO:0042802","identical protein binding",1702,1,0.2,12,0.1931,0.1931,0.000587544065804935,"Ttr"
"9","MF","GO:0003674","molecular_function",16732,2,2,15,1,1,0.00011953143676787,"Ttr, Maml2"
"10","MF","GO:0005488","binding",11063,1,1.32,14,1,0.8852,9.03913947392208e-05,"Ttr"
"11","MF","GO:0005102","signaling receptor binding",1356,1,0.16,10,1,0.1555,0.000737463126843658,"Ttr"
"12","MF","GO:0098772","molecular function regulator",1411,1,0.17,11,1,0.1616,0.00070871722182849,"Ttr"
"13","MF","GO:0030545","receptor regulator activity",346,1,0.04,5,1,0.0409,0.00289017341040462,"Ttr"
"14","MF","GO:0048018","receptor ligand activity",319,1,0.04,4,1,0.0378,0.00313479623824451,"Ttr"
"15","MF","GO:0005515","protein binding",7819,1,0.93,13,1,0.7163,0.000127893592531014,"Ttr"
"16","MF","GO:0000030","mannosyltransferase activity",26,0,0,16,1,1,0,""
"17","MF","GO:0000049","tRNA binding",54,0,0.01,17,1,1,0,""
"18","MF","GO:0000062","fatty-acyl-CoA binding",24,0,0,18,1,1,0,""
"19","MF","GO:0000149","SNARE binding",112,0,0.01,19,1,1,0,""
"20","MF","GO:0000166","nucleotide binding",1897,0,0.23,20,1,1,0,""
"21","MF","GO:0000175","3'-5'-exoribonuclease activity",27,0,0,21,1,1,0,""
"22","MF","GO:0000217","DNA secondary structure binding",23,0,0,22,1,1,0,""
"23","MF","GO:0000287","magnesium ion binding",179,0,0.02,23,1,1,0,""
"24","MF","GO:0000976","transcription regulatory region sequence...",702,0,0.08,24,1,1,0,""
"25","MF","GO:0000977","RNA polymerase II regulatory region sequ...",663,0,0.08,25,1,1,0,""
"26","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",457,0,0.05,26,1,1,0,""
"27","MF","GO:0000979","RNA polymerase II core promoter sequence...",35,0,0,27,1,1,0,""
"28","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",73,0,0.01,28,1,1,0,""
"29","MF","GO:0000981","DNA-binding transcription factor activit...",592,0,0.07,29,1,1,0,""
"30","MF","GO:0000987","proximal promoter sequence-specific DNA ...",469,0,0.06,30,1,1,0,""
"31","BP","GO:0006144","purine nucleobase metabolic process",22,1,0,1,0.0026,0.0026,0.0454545454545455,"Ttr"
"32","BP","GO:0001523","retinoid metabolic process",32,1,0,2,0.0038,0.0038,0.03125,"Ttr"
"33","BP","GO:0034308","primary alcohol metabolic process",48,1,0.01,6,0.0057,0.0057,0.0208333333333333,"Ttr"
"34","BP","GO:0034754","cellular hormone metabolic process",76,1,0.01,8,0.009,0.009,0.0131578947368421,"Ttr"
"35","BP","GO:0007219","Notch signaling pathway",153,1,0.02,9,0.0182,0.0182,0.0065359477124183,"Maml2"
"36","BP","GO:0009914","hormone transport",319,1,0.04,12,0.0377,0.0377,0.00313479623824451,"Ttr"
"37","BP","GO:0045944","positive regulation of transcription by ...",1026,1,0.12,23,0.1185,0.1185,0.000974658869395711,"Maml2"
"38","BP","GO:0045893","positive regulation of transcription, DN...",1312,1,0.16,25,0.1503,0.1503,0.00076219512195122,"Maml2"
"39","BP","GO:1903508","positive regulation of nucleic acid-temp...",1315,1,0.16,26,0.1506,0.1506,0.000760456273764259,"Maml2"
"40","BP","GO:1902680","positive regulation of RNA biosynthetic ...",1316,1,0.16,27,0.1507,0.1507,0.000759878419452888,"Maml2"
"41","BP","GO:0051254","positive regulation of RNA metabolic pro...",1403,1,0.17,28,0.1602,0.1602,0.000712758374910905,"Maml2"
"42","BP","GO:0010557","positive regulation of macromolecule bio...",1548,1,0.18,30,0.176,0.176,0.000645994832041344,"Maml2"
"43","BP","GO:0045935","positive regulation of nucleobase-contai...",1582,1,0.19,31,0.1797,0.1797,0.000632111251580278,"Maml2"
"44","BP","GO:0031328","positive regulation of cellular biosynth...",1638,1,0.2,32,0.1857,0.1857,0.000610500610500611,"Maml2"
"45","BP","GO:0006357","regulation of transcription by RNA polym...",1672,1,0.2,33,0.1894,0.1894,0.000598086124401914,"Maml2"
"46","BP","GO:0009891","positive regulation of biosynthetic proc...",1673,1,0.2,34,0.1895,0.1895,0.000597728631201434,"Maml2"
"47","BP","GO:0010628","positive regulation of gene expression",1698,1,0.2,35,0.1921,0.1921,0.000588928150765607,"Maml2"
"48","BP","GO:0006366","transcription by RNA polymerase II",1725,1,0.21,36,0.195,0.195,0.000579710144927536,"Maml2"
"49","BP","GO:0007166","cell surface receptor signaling pathway",2022,1,0.24,38,0.2265,0.2265,0.000494559841740851,"Maml2"
"50","BP","GO:0006139","nucleobase-containing compound metabolic...",4267,2,0.51,16,0.2533,0.0646,0.000468713381767049,"Ttr, Maml2"
"51","BP","GO:0046483","heterocycle metabolic process",4374,2,0.52,18,0.2597,0.0679,0.000457247370827618,"Ttr, Maml2"
"52","BP","GO:0006725","cellular aromatic compound metabolic pro...",4433,2,0.53,19,0.2632,0.0698,0.000451161741484322,"Ttr, Maml2"
"53","BP","GO:0006355","regulation of transcription, DNA-templat...",2382,1,0.28,42,0.2638,0.2638,0.000419815281276238,"Maml2"
"54","BP","GO:1903506","regulation of nucleic acid-templated tra...",2388,1,0.28,43,0.2644,0.2644,0.000418760469011725,"Maml2"
"55","BP","GO:2001141","regulation of RNA biosynthetic process",2397,1,0.29,44,0.2653,0.2653,0.000417188151856487,"Maml2"
"56","BP","GO:1901360","organic cyclic compound metabolic proces...",4590,2,0.55,20,0.2726,0.0748,0.000435729847494553,"Ttr, Maml2"
"57","BP","GO:0006351","transcription, DNA-templated",2474,1,0.29,45,0.2731,0.2731,0.000404203718674212,"Maml2"
"58","BP","GO:0097659","nucleic acid-templated transcription",2480,1,0.3,46,0.2737,0.2737,0.000403225806451613,"Maml2"
"59","BP","GO:0032774","RNA biosynthetic process",2493,1,0.3,47,0.2751,0.2751,0.000401123144805455,"Maml2"
"60","BP","GO:0051252","regulation of RNA metabolic process",2623,1,0.31,49,0.2882,0.2882,0.000381242851696531,"Maml2"
"61","CC","GO:0005615","extracellular space",1106,1,0.13,1,0.13,0.13,0.000904159132007233,"Ttr"
"62","CC","GO:0044421","extracellular region part",1319,1,0.15,2,0.15,0.15,0.000758150113722517,"Ttr"
"63","CC","GO:0005576","extracellular region",1705,1,0.2,3,0.19,0.19,0.000586510263929619,"Ttr"
"64","CC","GO:0005654","nucleoplasm",2412,1,0.28,4,0.26,0.26,0.000414593698175788,"Maml2"
"65","CC","GO:0031981","nuclear lumen",3192,1,0.37,5,0.34,0.34,0.00031328320802005,"Maml2"
