"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0030336","negative regulation of cell migration",233,5,0.26,2,4.7e-06,4.7e-06,0.0214592274678112,"Thy1, Robo1, Slit2, Nrg1, Ptprt"
"32","BP","GO:0050919","negative chemotaxis",42,3,0.05,5,1.3e-05,1.3e-05,0.0714285714285714,"Robo1, Slit2, Nrg1"
"33","BP","GO:0003177","pulmonary valve development",20,2,0.02,14,0.00023,0.00023,0.1,"Robo1, Slit2"
"34","BP","GO:0003176","aortic valve development",21,2,0.02,15,0.00025,0.00025,0.0952380952380952,"Robo1, Slit2"
"35","BP","GO:0006929","substrate-dependent cell migration",28,2,0.03,24,0.00045,0.00045,0.0714285714285714,"Robo1, Slit2"
"36","BP","GO:0001964","startle response",29,2,0.03,27,0.00048,0.00048,0.0689655172413793,"Grid2, Nrg1"
"37","BP","GO:0021772","olfactory bulb development",31,2,0.03,28,0.00055,0.00055,0.0645161290322581,"Robo1, Slit2"
"38","BP","GO:0070098","chemokine-mediated signaling pathway",32,2,0.04,30,0.00058,0.00058,0.0625,"Robo1, Slit2"
"39","BP","GO:0021884","forebrain neuron development",32,2,0.04,31,0.00058,0.00058,0.0625,"Robo1, Slit2"
"40","BP","GO:0060603","mammary gland duct morphogenesis",33,2,0.04,35,0.00062,0.00062,0.0606060606060606,"Robo1, Slit2"
"41","BP","GO:0060412","ventricular septum morphogenesis",39,2,0.04,47,0.00087,0.00087,0.0512820512820513,"Robo1, Slit2"
"42","BP","GO:0006469","negative regulation of protein kinase ac...",177,3,0.2,58,0.00097,0.00097,0.0169491525423729,"Thy1, Hmgcr, Ptprt"
"43","BP","GO:0001960","negative regulation of cytokine-mediated...",42,2,0.05,61,0.00101,0.00101,0.0476190476190476,"Robo1, Slit2"
"44","BP","GO:0003179","heart valve morphogenesis",42,2,0.05,62,0.00101,0.00101,0.0476190476190476,"Robo1, Slit2"
"45","BP","GO:0002042","cell migration involved in sprouting ang...",48,2,0.05,76,0.00131,0.00131,0.0416666666666667,"Robo1, Slit2"
"46","BP","GO:0046676","negative regulation of insulin secretion",48,2,0.05,77,0.00131,0.00131,0.0416666666666667,"Hmgcr, Pde1c"
"47","BP","GO:0048016","inositol phosphate-mediated signaling",49,2,0.06,79,0.00137,0.00137,0.0408163265306122,"Htr2c, Nrg1"
"48","BP","GO:0050922","negative regulation of chemotaxis",50,2,0.06,82,0.00142,0.00142,0.04,"Robo1, Slit2"
"50","BP","GO:0021795","cerebral cortex cell migration",51,2,0.06,85,0.00148,0.00148,0.0392156862745098,"Robo1, Slit2"
"51","BP","GO:0046579","positive regulation of Ras protein signa...",56,2,0.06,90,0.00178,0.00178,0.0357142857142857,"Robo1, Nrg1"
"52","BP","GO:0045600","positive regulation of fat cell differen...",57,2,0.06,92,0.00185,0.00185,0.0350877192982456,"Htr2c, Zbtb16"
"53","BP","GO:0050771","negative regulation of axonogenesis",65,2,0.07,111,0.00239,0.00239,0.0307692307692308,"Thy1, Slit2"
"55","BP","GO:0045844","positive regulation of striated muscle t...",71,2,0.08,123,0.00285,0.00285,0.028169014084507,"Hmgcr, Nrg1"
"56","BP","GO:0061178","regulation of insulin secretion involved...",72,2,0.08,125,0.00293,0.00293,0.0277777777777778,"Hmgcr, Pde1c"
"58","BP","GO:0001823","mesonephros development",89,2,0.1,147,0.00444,0.00444,0.0224719101123595,"Slit2, Zbtb16"
"59","BP","GO:0097756","negative regulation of blood vessel diam...",90,2,0.1,150,0.00453,0.00453,0.0222222222222222,"Hmgcr, Htr2c"
"60","BP","GO:0007156","homophilic cell adhesion via plasma memb...",91,2,0.1,155,0.00463,0.00463,0.021978021978022,"Robo1, Ptprt"
