"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0004601","peroxidase activity",33,1,0,1,0.0021,0.0021,0.0303030303030303,"Hbb-bs"
"2","MF","GO:0008144","drug binding",1489,1,0.1,5,0.0955,0.0955,0.000671591672263264,"Hbb-bs"
"3","MF","GO:0036094","small molecule binding",2146,1,0.14,6,0.1377,0.1377,0.000465983224603914,"Hbb-bs"
"4","MF","GO:0005515","protein binding",7447,1,0.48,8,0.4779,0.4779,0.000134282261313281,"Hbb-bs"
"5","MF","GO:0005488","binding",10499,1,0.67,9,0.6737,0.6737,9.52471663967997e-05,"Hbb-bs"
"6","MF","GO:0003674","molecular_function",15584,1,1,10,1,1,6.41683778234086e-05,"Hbb-bs"
"7","MF","GO:0016684","oxidoreductase activity, acting on perox...",37,1,0,2,1,0.0024,0.027027027027027,"Hbb-bs"
"8","MF","GO:0016491","oxidoreductase activity",608,1,0.04,4,1,0.039,0.00164473684210526,"Hbb-bs"
"9","MF","GO:0016209","antioxidant activity",58,1,0,3,1,0.0037,0.0172413793103448,"Hbb-bs"
"10","MF","GO:0003824","catalytic activity",4885,1,0.31,7,1,0.3135,0.000204708290685773,"Hbb-bs"
"11","MF","GO:0000030","mannosyltransferase activity",26,0,0,11,1,1,0,""
"12","MF","GO:0000049","tRNA binding",53,0,0,12,1,1,0,""
"13","MF","GO:0000062","fatty-acyl-CoA binding",24,0,0,13,1,1,0,""
"14","MF","GO:0000149","SNARE binding",112,0,0.01,14,1,1,0,""
"15","MF","GO:0000166","nucleotide binding",1847,0,0.12,15,1,1,0,""
"16","MF","GO:0000175","3'-5'-exoribonuclease activity",27,0,0,16,1,1,0,""
"17","MF","GO:0000217","DNA secondary structure binding",23,0,0,17,1,1,0,""
"18","MF","GO:0000287","magnesium ion binding",173,0,0.01,18,1,1,0,""
"19","MF","GO:0000976","transcription regulatory region sequence...",647,0,0.04,19,1,1,0,""
"20","MF","GO:0000977","RNA polymerase II regulatory region sequ...",611,0,0.04,20,1,1,0,""
"21","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",430,0,0.03,21,1,1,0,""
"22","MF","GO:0000979","RNA polymerase II core promoter sequence...",35,0,0,22,1,1,0,""
"23","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",65,0,0,23,1,1,0,""
"24","MF","GO:0000981","DNA-binding transcription factor activit...",549,0,0.04,24,1,1,0,""
"25","MF","GO:0000987","proximal promoter sequence-specific DNA ...",440,0,0.03,25,1,1,0,""
